Description_lang,Title_lang,ID,ScenarioID,CriteriatreeID,RewardQuestID,RelatedStep,Supersedes,OrderIndex,Flags,VisibilityPlayerConditionID,WidgetSetID
Bring Brewmaster Bo to the Unga Ingoo Brewing Cauldron.,Escort Brewmaster Bo,24,15,21004,0,0,0,0,0,0,0
Bring 200 Unga Jungle Brew to the Brewing Cauldron.,Fill the Brewing Cauldron,25,15,27707,0,0,0,1,0,0,0
Defeat Captain Ook.,Defeat Captain Ook,26,15,21008,0,0,0,2,0,0,0
Defeat the corrupted Shado-Pan Leader.,End the Terror,114,39,21048,0,0,0,0,0,0,0
Delve deeper into the crypt and search the bottom level.,Search the Crypt,115,39,22065,0,0,0,2,0,0,0
Defeat the monsters attacking the Greenstone villagers.,Rescue the Villagers,116,40,20975,0,0,0,0,0,0,0
Defeat Vengeful Hui.,Defeat Vengeful Hui,117,40,20982,0,0,0,4,0,0,0
Find burgled brew barrels in the forest and return them to the village dojo.,Recover Burgled Barrels,118,40,21059,0,0,0,2,0,0,0
Defeat the Sha corrupted forces inside the Temple of the Jade Serpent.,Temple of the Jade Serpent,123,44,21078,0,0,0,0,0,0,0
Defeat the forces creating chaos within the Stormstout Brewery.,Stormstout Brewery,124,45,21087,0,0,0,0,0,0,0
Defeat the forces opposing you within the Shado-Pan Monastery.,Shado-Pan Monastery,125,46,21095,0,0,0,0,0,0,0
Defeat the Mantid forces assaulting the Gate of the Setting Sun.,Gate of the Setting Sun,127,48,21100,0,0,0,0,0,0,0
Defeat the Mantid forces sieging the Niuzao Temple.,Siege of Niuzao Temple,128,49,21105,0,0,0,0,0,0,0
,Mogu'shan Palace,129,50,21110,0,0,0,0,0,0,0
Defeat the necromantic forces within Scholomance.,Scholomance,130,51,21120,0,0,0,0,0,0,0
Defeat the forces of the Scarlet Crusade.,Scarlet Halls,131,52,21130,0,0,0,0,0,0,0
Travel to the Masons' Quarter and awaken the unconscious villagers.,Rescue Greenstone Masons,132,40,21126,0,0,0,3,0,0,0
Defeat the forces of the Scarlet Crusade inside their monastery.,Scarlet Monastery,133,53,21134,0,0,0,0,0,0,0
"Summon and defeat the mighty dragon turtle, Scar-Shell.",Scar-Shell,138,58,21323,0,0,0,0,0,0,0
"Summon and defeat the grummle-eating, snow-stalking horror, Jol'Grum.",Jol'Grum,139,58,21325,0,0,0,1,0,0,0
"Summon and defeat the playful fire spirit, Liuyang.",Little Liuyang,140,58,21327,0,0,0,2,0,0,0
"Summon and defeat the wandering yaungol warrior, Chagan Firehoof.",Chagan Firehoof,141,58,21332,0,0,0,3,0,0,0
Summon and defeat the final challenger and then claim your reward from Wodin!,Defeat the Final Challenger!,142,58,21334,0,0,0,4,0,0,0
Help Brewmaster Boof's assistants gather the ingredients for the Kun-Lai Kicker.,The Brewmoon Festival!,154,63,21845,0,0,0,0,0,0,0
Stop the Bataari invasion on Binan Village.,The Yaungol attack!,155,63,21849,0,0,0,2,0,0,0
Defeat Warbringer Qobi.,Warbringer Qobi,156,63,21851,0,0,0,3,0,0,0
Investigate the Yaungol sightings.,The Scouts Report.,157,63,21853,0,0,0,1,0,0,0
Assist Blanche in brewing her famous Boomer's Brew.,Make Boomer's Brew,159,65,21993,0,0,0,0,0,0,0
Escort Blanche down Thunderpaw Road.,Road to Thunderpaw,160,65,21995,0,0,0,1,0,0,0
Defeat Borokhula the Destroyer.,Save Thunderpaw Refuge,161,65,21999,0,0,0,2,0,0,0
Destroy the Abomination of Anger.,Destroy the Sha,166,39,21050,0,0,0,3,0,0,0
"Defeat General Zhun, Herald of the Thunder King.",Kill General Zhun,167,68,22571,0,0,0,4,0,0,0
Rescue the captured Golden Lotus expedition.,Rescue the Golden Lotus,171,68,22730,0,0,0,1,0,0,0
Stop Lorewalker Fu's execution.,Stop the Execution,172,68,22732,0,0,0,2,0,0,0
Defeat the defenders of the four ancient Mogu artifacts.,Capture the Artifacts,173,68,22737,0,0,0,3,0,0,0
[PH] Defeat the three masters.,[PH] Defeat Masters,174,70,0,0,0,0,0,0,0,0
Fight past the enemy into the heart of ruined Theramore.,Into the Ruins,175,71,27452,0,0,0,2,0,0,0
Slay Alliance captains and rig powder barrels on all ships.,To the Waterline!,179,72,22975,0,0,0,0,0,0,0
Inform Blastmaster Sparkfuse of your success.,The Blastmaster,180,72,22989,0,0,0,1,0,0,0
Slay Baldruc and his gryphons.,"Gryphon, Down",181,72,22977,0,0,0,2,0,0,0
Destroy Big Bessa and sabotage any unmanned tanks.,Tanks for Nothing!,182,72,22980,0,0,0,3,0,0,0
Slay Hedric Evencane and free Thalen Songweaver from Foothold Citadel.,"Fly, Spy!",183,72,22986,0,0,0,4,0,0,0
Destroy the siege engine at the west gate and recover the stolen standards.,Destroy the Destroyer,185,71,27457,0,0,0,4,0,0,0
Protect Jaina while she attunes to the Focusing Iris.,The Last Stand,186,71,27460,0,0,0,5,0,0,0
Defend the ship from oncoming Horde.,Welcome to Theramore,193,71,27242,0,0,0,0,0,0,0
Defeat the monsters attacking Greenstone's dojo.,Rescue the Dojo,194,40,21061,0,0,0,1,0,0,0
Defeat the Horde in the harbor.,Sweep the Harbor,210,71,27256,0,0,0,1,0,0,0
Cleanse the Sha corruption from the Pool of Life.,The Pool of Life,211,39,27197,0,0,0,1,0,0,0
