ID,PathID,Sequence,LocationID
330944,37975,1,330857
330945,37975,2,330858
330946,37975,3,330859
330947,37975,4,330860
330948,37975,5,330861
330949,37975,6,330862
330950,37975,7,330863
330951,37975,8,330864
330952,37977,1,330865
330953,37977,2,330866
330954,37977,3,330867
330955,37977,4,330868
330956,37977,5,330869
330957,37977,6,330870
330958,37977,7,330871
330959,37977,8,330872
330960,37977,9,330873
330961,37977,10,330874
330962,37977,11,330875
330972,37979,1,330885
330973,37979,2,330886
330974,37979,3,330887
330975,37979,4,330888
330976,37979,5,330889
330977,37979,6,330890
330978,37979,7,330891
330979,37979,8,330892
330980,37977,12,330893
330989,37978,1,330901
330990,37978,2,330902
330991,37978,3,330903
330992,37978,4,330904
330993,37978,5,330905
330994,37978,6,330906
330995,37978,7,330907
330996,37978,8,330908
330997,37978,9,330909
330998,37978,10,330910
330999,37978,11,330911
331000,37978,12,330912
444526,53059,1,444290
444527,53059,2,444291
444528,53059,3,444292
444529,53059,4,444293
444530,53059,5,444294
444531,53059,6,444295
444532,53059,7,444296
444533,53059,8,444297
