ID,AcceptURL,PromotionID,LocaleID,AdTexture,LogoTexture,AcceptButtonTexture,DeclineButtonTexture
1,http://deDE.nydus.battle.net/WOW/deDE/client/upgrade-offer/PROMO2?accountRegion=EU&accountName=%s,1,-1,656452,656523,656520,656519
2,http://enGB.nydus.battle.net/WOW/enGB/client/upgrade-offer/PROMO2?accountRegion=EU&accountName=%s,1,1,656458,656523,656522,656521
5,http://deDE.nydus.battle.net/WOW/deDE/client/upgrade-offer/PROMO1?accountRegion=EU&accountName=%s,3,-1,656449,656523,656520,656519
6,http://enUS.nydus.battle.net/WOW/enUS/client/upgrade-offer/PROMO1?accountRegion=US&accountName=%s,4,-1,656461,656523,656522,656521
7,http://enUS.nydus.battle.net/WOW/enUS/client/upgrade-offer/PROMO2?accountRegion=US&accountName=%s,5,-1,656464,656523,656522,656521
8,http://deDE.nydus.battle.net/WOW/deDE/client/upgrade-offer/PROMO1?accountRegion=EU&accountName=%s,3,5,656449,656523,656520,656519
9,http://deDE.nydus.battle.net/WOW/deDE/client/upgrade-offer/PROMO2?accountRegion=EU&accountName=%s,1,5,656452,656523,656520,656519
10,http://enGB.nydus.battle.net/WOW/enGB/client/upgrade-offer/PROMO1?accountRegion=EU&accountName=%s,3,1,656455,656523,656522,656521
11,http://enUS.nydus.battle.net/WOW/enUS/client/upgrade-offer/PROMO1?accountRegion=US&accountName=%s,4,1,656461,656523,656522,656521
12,http://enUS.nydus.battle.net/WOW/enUS/client/upgrade-offer/PROMO2?accountRegion=US&accountName=%s,5,1,656464,656523,656522,656521
13,http://esES.nydus.battle.net/WOW/esES/client/upgrade-offer/PROMO1?accountRegion=EU&accountName=%s,3,7,656467,656523,656525,656524
14,http://esES.nydus.battle.net/WOW/esES/client/upgrade-offer/PROMO2?accountRegion=EU&accountName=%s,1,7,656470,656523,656525,656524
15,http://frFR.nydus.battle.net/WOW/frFR/client/upgrade-offer/PROMO1?accountRegion=EU&accountName=%s,3,4,656477,656530,656529,656528
16,http://frFR.nydus.battle.net/WOW/frFR/client/upgrade-offer/PROMO2?accountRegion=EU&accountName=%s,1,4,656480,656530,656529,656528
18,http://esMX.nydus.battle.net/WOW/esMX/client/upgrade-offer/PROMO2?accountRegion=US&accountName=%s,5,12,656474,656523,656527,656526
19,http://ruRU.nydus.battle.net/WOW/ruRU/client/upgrade-offer/PROMO1?accountRegion=EU&accountName=%s,3,13,656501,656540,656539,656538
20,http://ruRU.nydus.battle.net/WOW/ruRU/client/upgrade-offer/PROMO2?accountRegion=EU&accountName=%s,1,13,656504,656540,656539,656538
21,http://ptBR.nydus.battle.net/WOW/ptBR/client/upgrade-offer/PROMO1?accountRegion=US&accountName=%s,4,14,656489,656523,656535,656534
22,http://ptBR.nydus.battle.net/WOW/ptBR/client/upgrade-offer/PROMO2?accountRegion=US&accountName=%s,5,14,656492,656523,656535,656534
23,http://itIT.nydus.battle.net/WOW/itIT/client/upgrade-offer/PROMO1?accountRegion=EU&accountName=%s,3,15,656483,656533,656532,656531
24,http://itIT.nydus.battle.net/WOW/itIT/client/upgrade-offer/PROMO2?accountRegion=EU&accountName=%s,1,15,656486,656533,656532,656531
25,http://ptPT.nydus.battle.net/WOW/ptPT/client/upgrade-offer/PROMO1?accountRegion=EU&accountName=%s,3,14,656495,656523,656537,656536
26,http://ptPT.nydus.battle.net/WOW/ptPT/client/upgrade-offer/PROMO2?accountRegion=EU&accountName=%s,1,14,656498,656523,656537,656536
489,http://deDE.nydus.battle.net/WOW/deDE/client/upgrade-offer/PROMO1?accountRegion=EU&accountName=%s,133,-1,656450,656523,656520,656519
490,http://deDE.nydus.battle.net/WOW/deDE/client/upgrade-offer/PROMO1?accountRegion=EU&accountName=%s,133,5,656450,656523,656520,656519
491,http://enGB.nydus.battle.net/WOW/enGB/client/upgrade-offer/PROMO1?accountRegion=EU&accountName=%s,133,1,656456,656523,656522,656521
