ID,VignetteID,UiWidgetSetID,Field_10_2_6_53840_002
2,5168,1100,1
3,5813,1001,0
167,3391,307,0
168,4249,376,0
169,4250,377,0
170,4251,378,0
171,4252,379,0
172,4253,380,0
173,4254,381,0
174,4255,382,0
175,4256,383,0
176,4257,384,0
177,4258,385,0
178,4259,386,0
179,4260,387,0
180,4261,388,0
181,4285,389,0
182,4287,390,0
183,4301,391,0
184,4302,392,0
185,4319,393,0
186,4337,394,0
187,4356,397,0
188,4360,398,0
189,4392,401,0
190,4393,402,0
191,4394,403,0
192,4395,404,0
193,4413,415,0
194,4414,413,0
195,4415,414,0
196,4416,416,0
197,4417,417,0
198,4418,418,0
199,4419,419,0
200,4420,420,0
201,4421,421,0
202,4422,422,0
203,4423,423,0
204,4424,424,0
205,4429,425,0
206,4430,426,0
207,4434,427,0
208,4438,428,0
209,4439,429,0
210,4440,430,0
211,4489,447,0
212,4497,450,0
213,4498,452,0
214,4499,453,0
215,4500,454,0
216,4501,455,0
217,4502,448,0
218,4508,451,0
219,4550,465,0
220,4569,399,0
221,4591,418,0
222,4592,421,0
223,4613,541,0
224,4614,539,0
225,4615,542,0
226,4618,540,0
227,4662,474,0
228,4663,474,0
229,4664,475,0
230,4665,475,0
231,4666,476,0
232,4667,477,0
233,4668,478,0
234,4669,479,0
235,4670,480,0
236,4671,481,0
237,4672,481,0
238,4673,477,0
239,4678,482,0
240,4679,483,0
241,4680,484,0
242,4681,502,0
243,4682,486,0
244,4683,474,0
245,4685,475,0
246,4686,474,0
247,4687,487,0
248,4688,487,0
249,4689,487,0
250,4690,487,0
251,4712,474,0
252,4713,494,0
253,4714,495,0
254,4715,475,0
255,4716,475,0
256,4717,496,0
257,4718,497,0
258,4719,498,0
259,4723,499,0
260,4748,528,0
261,4750,525,0
262,4751,526,0
263,4752,527,0
264,4753,524,0
265,4754,536,0
266,4755,535,0
267,4756,537,0
268,4757,538,0
269,4758,534,0
270,4764,533,0
271,4765,530,0
272,4766,532,0
273,4767,529,0
274,4768,531,0
275,4771,506,0
276,4772,507,0
277,4773,508,0
278,4874,475,0
279,4875,474,0
280,4878,474,0
281,4879,474,0
282,4881,474,0
283,4957,307,0
284,5458,708,0
285,5459,707,0
286,5460,709,0
287,5670,775,0
288,5677,775,0
289,5699,799,0
290,5700,801,0
291,5701,803,0
292,5702,804,0
293,5703,802,0
294,5704,808,0
295,5705,810,0
296,5706,811,0
297,5707,812,0
298,5708,813,0
299,5709,814,0
300,5710,815,0
301,5716,819,0
302,5717,822,0
303,5718,820,0
304,5719,821,0
305,5720,823,0
306,5721,824,0
307,5745,780,0
308,5746,780,0
309,5765,859,0
310,5786,890,0
311,5814,902,0
312,5816,905,0
313,5817,907,0
314,5823,907,0
315,5835,913,0
316,5859,917,0
317,5875,894,0
318,5969,907,0
319,5971,1005,0
321,6140,1111,0
322,6351,1,0
