ID,SoundID[0],SoundID[1],SoundID[2],SoundID[3]
33,5916,5917,5918,0
34,5913,5914,5915,0
35,5919,5920,5921,0
36,5907,5908,5909,0
37,5910,5911,5912,0
38,5904,5905,5906,0
39,5934,5935,5936,0
40,5931,5932,5933,0
41,5937,5938,5939,0
42,5922,5923,5924,0
43,5928,5929,5930,0
44,5925,5926,5927,0
45,5983,5984,5985,0
46,5980,5981,5982,0
47,5986,5987,5988,0
48,5971,5972,5973,0
49,5974,5975,5976,0
50,5977,5978,5979,0
51,6001,6002,6003,0
52,6005,6006,6007,0
53,5998,5999,6000,0
54,5992,5993,5994,0
55,5995,5996,5997,0
56,6030,6031,6032,0
57,6027,6028,6029,0
58,6033,6034,6035,0
59,5989,5990,5991,0
60,6018,6019,6020,0
61,6024,6025,6026,0
62,6021,6022,6023,0
63,5967,5969,5970,0
64,5958,5959,5960,0
65,5961,5962,5963,0
66,5964,5965,5966,0
67,6014,6015,6016,0
68,6011,6012,6013,0
69,6008,6009,6010,0
70,6055,6056,6057,0
71,6058,6059,6060,0
72,6061,6063,6064,0
73,5952,5953,5954,0
74,5949,5950,5951,0
75,5955,5956,5957,0
76,5943,5944,5945,0
77,5946,5947,5948,0
78,5940,5941,5942,0
79,6052,6053,6054,0
80,6046,6047,6048,0
81,6049,6050,6051,0
82,6042,6043,6044,0
83,6036,6037,6038,0
84,6039,6040,6041,0
85,6434,6435,6436,0
86,6483,0,0,0
87,6484,0,0,0
88,6486,0,0,0
89,6496,0,0,0
90,6516,0,0,0
91,6517,0,0,0
92,6518,0,0,0
93,6531,0,0,0
94,6530,0,0,0
95,6617,5917,5918,0
96,6618,5914,5915,0
97,6619,5920,5921,0
98,6620,5908,5909,0
99,6621,5911,5912,0
100,6622,5905,5906,0
101,6623,5935,5936,0
102,6624,5932,5933,0
103,6625,5938,5939,0
104,6626,5923,5924,0
105,6627,5929,5930,0
106,6628,5926,5927,0
107,6629,5969,5970,0
108,6630,5959,5960,0
109,6631,5962,5963,0
