ID,IconFileDataID,UnequippedIconFileDataID,SheatheType,DisplayWeaponSubclassID,DisplayInventoryType
20714,135496,0,0,-1,-1
65561,135213,0,0,-1,-1
65883,135408,0,0,-1,-1
66440,133375,0,0,-1,-1
66562,1033173,0,0,-1,-1
66563,1033176,0,0,-1,-1
66564,1033179,0,0,-1,-1
66565,1033175,0,0,-1,-1
66566,1033178,0,0,-1,-1
66567,1033181,0,0,-1,-1
66568,1033174,0,0,-1,-1
66569,1033177,0,0,-1,-1
66570,1033180,0,0,-1,-1
66571,1025255,0,0,-1,-1
66572,1025251,0,0,-1,-1
66573,1025258,0,0,-1,-1
66574,1025256,0,0,-1,-1
66575,1025252,0,0,-1,-1
66576,1025260,0,0,-1,-1
66577,1025257,0,0,-1,-1
66578,1025253,0,0,-1,-1
66579,1025261,0,0,-1,-1
66660,132657,0,0,-1,-1
67971,134297,0,0,-1,-1
67972,134297,0,0,-1,-1
67973,134297,0,0,-1,-1
69498,1064261,0,0,-1,-1
69502,1064261,0,0,-1,-1
72790,0,1273720,0,-1,-1
72791,0,1273720,0,-1,-1
72792,0,1273720,0,-1,-1
72793,0,1273720,0,-1,-1
72794,0,1273721,0,-1,-1
72795,0,1273721,0,-1,-1
72796,0,1273721,0,-1,-1
72797,0,1273721,0,-1,-1
72798,0,1273722,0,-1,-1
72799,0,1273722,0,-1,-1
72800,0,1273722,0,-1,-1
72801,0,1273722,0,-1,-1
72802,0,1273721,0,-1,-1
72803,0,1273721,0,-1,-1
72804,0,1273721,0,-1,-1
72805,0,1273721,0,-1,-1
72806,0,1273724,0,-1,-1
72807,0,1273724,0,-1,-1
72808,0,1273724,0,-1,-1
72809,0,1273724,0,-1,-1
73502,0,1273726,0,-1,-1
73503,0,1273726,0,-1,-1
73504,0,1273726,0,-1,-1
73505,0,1273726,0,-1,-1
73506,0,1273727,0,-1,-1
73507,0,1273727,0,-1,-1
73508,0,1273727,0,-1,-1
73509,0,1273727,0,-1,-1
73510,0,1273728,0,-1,-1
73511,0,1273728,0,-1,-1
73512,0,1273728,0,-1,-1
73513,0,1273728,0,-1,-1
73514,0,1273729,0,-1,-1
73515,0,1273729,0,-1,-1
73516,0,1273729,0,-1,-1
73517,0,1273729,0,-1,-1
73518,0,1273730,0,-1,-1
73519,0,1273730,0,-1,-1
73520,0,1273730,0,-1,-1
73521,0,1273730,0,-1,-1
73661,135496,0,0,-1,-1
73662,135496,0,0,-1,-1
73663,135496,0,0,-1,-1
73695,0,1273731,0,-1,-1
73696,0,1273731,0,-1,-1
73697,0,1273731,0,-1,-1
73698,0,1273731,0,-1,-1
73699,0,1273732,0,-1,-1
73700,0,1273732,0,-1,-1
73701,0,1273732,0,-1,-1
73702,0,1273732,0,-1,-1
73703,0,1273734,0,-1,-1
73704,0,1273734,0,-1,-1
73705,0,1273734,0,-1,-1
73706,0,1273734,0,-1,-1
73707,0,1273733,0,-1,-1
73708,0,1273733,0,-1,-1
73709,0,1273733,0,-1,-1
73710,0,1273733,0,-1,-1
73711,0,1273735,0,-1,-1
73712,0,1273735,0,-1,-1
73713,0,1273735,0,-1,-1
73714,0,1273735,0,-1,-1
73716,0,1301078,0,-1,-1
73770,0,1302676,0,-1,-1
73917,0,0,3,4,-1
73918,0,0,3,4,-1
73919,0,0,3,4,-1
73920,0,0,3,4,-1
73921,0,0,0,0,-1
73922,0,0,0,0,-1
73923,0,0,0,0,-1
73924,0,0,0,0,-1
73968,134155,134155,0,-1,-1
74094,135408,0,0,-1,-1
74529,1025257,0,0,-1,-1
74530,1025253,0,0,-1,-1
74531,1025261,0,0,-1,-1
74532,1025256,0,0,-1,-1
74533,1025252,0,0,-1,-1
74534,1025260,0,0,-1,-1
74535,1025255,0,0,-1,-1
74536,1025251,0,0,-1,-1
74537,1025258,0,0,-1,-1
74538,1033174,0,0,-1,-1
74539,1033177,0,0,-1,-1
74540,1033180,0,0,-1,-1
74541,1033175,0,0,-1,-1
74542,1033178,0,0,-1,-1
74543,1033181,0,0,-1,-1
74544,1033173,0,0,-1,-1
74545,1033176,0,0,-1,-1
74546,1033179,0,0,-1,-1
74547,1025257,0,0,-1,-1
74548,1025253,0,0,-1,-1
74549,1025261,0,0,-1,-1
74550,1025256,0,0,-1,-1
74551,1025252,0,0,-1,-1
74552,1025260,0,0,-1,-1
74553,1025255,0,0,-1,-1
74554,1025251,0,0,-1,-1
74555,1025258,0,0,-1,-1
74556,1033174,0,0,-1,-1
74557,1033177,0,0,-1,-1
