ID,VirtualAttachmentID,FileDataID,PositionerID
11,6,974343,114
26,6,921844,114
27,6,949470,114
28,6,968705,114
29,6,986648,114
30,6,1022938,114
31,6,1018060,114
32,6,1100258,114
33,6,119369,114
34,6,307454,114
35,6,120791,114
36,6,120590,114
37,6,121087,114
38,6,122055,114
39,6,121961,114
40,6,122560,114
41,6,122414,114
42,6,116921,114
43,6,1139162,114
44,6,1139289,114
45,6,1139164,114
46,6,1139167,114
47,6,1858099,114
48,6,1810676,114
49,6,1859345,114
50,6,1733758,114
51,6,1814471,114
52,6,1857801,114
53,6,1630402,114
54,6,1859379,114
55,6,1630218,114
56,6,1858265,114
157,6,1662187,114
158,6,1630447,114
