WidgetTag,ID,ParentSetID,VisID,MapID,PlayerConditionID,OrderIndex,LayoutDirection,Field_8_2_5_31337_006
,1891,1,1347,489,0,2,0,0
,1892,1,1348,489,0,3,0,0
,1893,1,1347,529,0,101,0,0
,1894,1,1348,529,0,102,0,0
,1895,1,1347,1,69971,126,0,0
,1896,1,1348,1,69971,127,0,0
,3089,2,1594,530,89301,139,0,0
,3090,1,1595,530,89301,140,0,0
,3091,1,1596,530,89301,141,0,0
,3092,1,1639,534,89302,142,0,0
,3093,1,1639,534,89302,143,0,0
,3094,1,1599,530,89303,144,0,0
,3095,2,1594,530,89303,145,0,0
,3096,1,1601,530,89303,146,0,0
,3097,1,1602,530,89304,147,0,0
,3098,2,1594,530,89305,148,0,0
,3099,2,1594,530,89305,149,0,0
,3100,1,1639,269,89306,150,0,0
,3101,1,1639,562,91697,151,0,0
,3102,1,1639,562,91697,152,0,0
,3103,1,1595,530,89305,153,0,0
,3104,1,1596,530,89305,154,0,0
,3105,1,1602,530,89305,155,0,0
,3106,1,1595,530,89305,156,0,0
,3107,1,1596,530,89305,157,0,0
,3108,1,1602,530,89305,158,0,0
,3109,1,1639,559,91697,160,0,0
,3110,1,1639,559,91697,159,0,0
,3111,1,1595,530,89304,161,0,0
,3112,1,1596,530,89304,162,0,0
,3113,2,1594,530,89304,163,0,0
,3114,2,1594,566,0,164,0,0
,3115,1,1639,560,89307,165,0,0
,3116,1,1652,566,0,166,0,0
,3117,1,1653,566,0,167,0,0
,3118,1,1595,530,89304,168,0,0
,3119,1,1596,530,89304,169,0,0
,3120,1,1639,269,89306,171,0,0
,3121,1,1639,534,89302,172,0,0
,3122,1,1639,530,89308,173,0,0
,3123,1,1639,530,89308,174,0,0
,3124,1,1639,572,91697,176,0,0
,3125,1,1639,572,91697,175,0,0
,3126,1,1639,530,89309,177,0,0
,3127,1,1639,1,89310,178,0,0
,3128,1,1639,568,89311,179,0,0
,3129,1,1347,30,0,180,0,0
,3130,1,1348,30,0,181,0,0
,3867,2,1777,571,0,184,0,0
,3868,1,1639,595,0,185,0,0
,3869,2,1779,571,0,186,0,0
,3870,1,1639,595,0,187,0,0
,3873,1,1639,578,0,190,0,0
,3874,2,1784,607,0,191,0,0
,3882,1,1639,609,97832,200,0,0
,3883,1,1639,609,97832,201,0,0
,3884,1,1639,609,97832,202,0,0
,3885,1,1639,609,97832,203,0,0
,3886,1,1639,617,91697,204,0,0
,3887,1,1639,617,91697,205,0,0
,3888,1,1639,618,91697,206,0,0
,3889,1,1639,618,91697,207,0,0
,3894,1,1639,608,0,213,0,0
,3895,1,1639,608,97833,214,0,0
,3896,1,1639,0,61142,218,0,0
,3897,1,1639,0,61142,219,0,0
,3898,1,1808,0,61142,217,0,0
,3899,1,1809,0,61142,221,0,0
,3901,1,1809,0,61142,223,0,0
,3903,1,1809,0,61142,225,0,0
,3905,1,1809,0,61142,227,0,0
,3907,1,1639,0,61142,229,0,0
,3908,1,1639,595,0,230,0,0
,3909,1,1819,0,61143,233,0,0
,3910,1,1809,0,61143,234,0,0
,3912,1,1639,0,61143,236,0,0
,3913,1,1639,0,61143,237,0,0
,3914,1,1809,0,61143,238,0,0
,3916,1,1639,603,97835,240,0,0
,3920,1,1831,649,0,248,0,0
,3921,1,1639,668,0,249,0,0
,3922,1,1639,631,0,250,0,0
,3923,1,1639,631,97836,251,0,0
,3924,1,1639,631,97837,252,0,0
,3925,1,1639,631,97838,253,0,0
,3926,1,1639,631,97839,254,0,0
