ID,WorldStateExpressionID,SelfConditionID,TargetConditionID,FriendConditionLogic,EnemyConditionLogic,FriendConditionID[0],FriendConditionID[1],FriendConditionOp[0],FriendConditionOp[1],FriendConditionCount[0],FriendConditionCount[1],EnemyConditionID[0],EnemyConditionID[1],EnemyConditionOp[0],EnemyConditionOp[1],EnemyConditionCount[0],EnemyConditionCount[1]
21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,2,0,0,0,0,0,0,0,0,0,22,0,1,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,22,0,1,0,0,0
24,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,46,0,0,0,0,0,0,0,0,0,44,0,5,0,1,0
43,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,81,0,0,0,0,0,0,0,0,0,832,0,1,0,0,0
81,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0,0,0,0,103,0,3,0,2,0
84,0,0,0,0,0,121,0,5,0,1,0,0,0,0,0,0,0
101,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,104,0,5,0,1,0,0,0,0,0,0,0
104,0,0,0,0,0,101,0,5,0,1,0,0,0,0,0,0,0
105,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,146,0,5,0,0,0,0,0,0,0,0,0
107,0,0,0,0,0,147,0,5,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,148,0,5,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0
110,0,0,0,0,0,149,0,5,0,0,0,0,0,0,0,0,0
111,0,0,0,0,0,145,0,5,0,1,0,0,0,0,0,0,0
112,0,0,0,0,0,151,0,5,0,0,0,0,0,0,0,0,0
113,0,0,0,0,0,152,0,5,0,0,0,0,0,0,0,0,0
