ID,ItemID,Field_4_4_0_53627_001,PlayerConditionID,Field_4_4_0_53627_003,AdventureJournalID
44,23247,0,0,0,237
45,32233,0,0,0,227
46,32233,0,0,0,228
47,71140,0,0,0,236
48,122457,0,0,0,191
49,141997,0,34154,0,27
50,141997,0,34197,0,196
51,141997,0,0,0,243
52,141997,0,0,0,244
53,165704,0,0,0,501
54,166896,0,0,0,502
55,168282,0,0,0,513
56,174002,0,0,0,523
57,174077,0,77033,0,524
58,170063,0,105825,0,514
59,200072,1,0,0,587
60,200073,1,0,0,684
61,200073,1,0,0,643
62,200073,1,0,0,665
63,200073,1,0,0,666
64,200073,1,0,0,667
65,200073,1,0,0,693
66,200073,1,0,0,578
67,200073,1,0,0,579
68,200073,1,0,0,580
69,200073,1,0,0,581
70,200073,1,0,0,582
71,200073,1,0,0,713
72,200073,1,0,0,714
73,200073,1,0,0,716
74,200095,1,0,0,583
75,200468,1,0,0,584
76,200513,1,0,0,585
77,200515,1,0,0,586
78,200967,0,0,0,569
79,202107,0,0,0,629
80,202116,0,0,0,631
81,202253,1,0,0,647
82,202371,1,0,0,634
83,202371,1,0,0,636
84,203211,0,0,0,646
85,203215,0,0,0,645
86,203460,1,0,0,644
87,203476,1,0,0,635
88,203679,0,0,0,656
89,203725,0,0,0,654
90,204084,0,0,0,657
91,204686,0,0,0,672
92,205983,1,0,0,727
93,206156,0,0,0,715
94,206366,8,0,0,604
95,207027,1,0,0,689
96,208090,1,0,0,683
97,208200,0,0,0,694
98,208415,0,0,0,686
99,208475,0,0,0,691
100,208550,0,0,0,711
101,208658,0,0,0,692
102,208879,0,0,0,695
110,210254,1,118811,0,725
111,210872,1,0,0,726
112,211389,1,0,0,724
113,211394,1,0,0,728
114,211873,0,0,0,717
115,211873,0,0,0,718
116,213561,0,0,0,731
117,213269,0,0,1,731
125,223146,0,0,0,736
127,224297,1,117552,1,725
135,250116,0,146949,0,777
137,226102,1,130534,1,783
140,229359,1,130530,2,783
141,232471,1,130531,1,782
142,232473,1,130532,2,782
143,223619,1,130530,0,782
144,229355,1,130533,0,783
145,228760,0,127004,0,521
149,232877,1,130530,0,787
150,232877,0,130530,0,788
151,232877,0,130530,0,789
152,228411,0,132142,0,798
153,232877,0,130530,0,800
154,232877,0,130530,0,801
155,232877,0,130530,0,802
156,232877,1,130530,0,799
168,234125,0,0,0,807
177,239137,0,140845,0,820
188,250116,0,146949,0,366
189,250116,0,146949,0,504
190,250116,0,146949,0,369
191,250116,0,146949,0,562
192,250116,0,146949,0,367
193,250116,0,146949,0,368
194,250117,0,146949,0,365
195,250116,0,146949,0,805
196,258657,0,0,0,835
197,258635,0,0,0,836
198,263871,1,152414,0,885
199,257232,0,153789,0,890
200,250116,0,146949,0,815
201,250116,0,146949,0,842
202,264914,0,111869,0,898
203,272125,0,125271,1,898
205,274713,0,154805,1,365
206,274714,0,154805,1,366
207,274714,0,154805,1,367
208,274714,0,154805,1,368
209,274714,0,154805,1,369
210,274714,0,154805,1,504
211,274714,0,154805,1,562
212,274714,0,154805,1,777
213,274714,0,154805,1,805
214,274714,0,154805,1,815
215,274714,0,154805,1,842
