ID,Name_lang,OptionEnum,TransmogOutfitSlotInfoID,Flags,OtherSlot,ItemCostMultiplier,IllusionCostMultiplier
1,One Handed Weapon,1,13,0,0,3,0
2,One Handed Weapon,1,14,0,0,3,0
5,Two Handed Weapon,2,13,4,0,6,0
7,Ranged Weapon,3,15,1,0,3,0
8,Shield,5,14,1,0,3,0
9,Off Hand,4,14,1,0,3,0
20,Cloth,12,5,0,0,0,0
21,Leather,13,5,0,0,0,0
22,Mail,14,5,0,0,0,0
23,Plate,15,5,0,0,0,0
24,Cloth,12,1,0,0,0,0
25,Leather,13,1,0,0,0,0
26,Mail,14,1,0,0,0,0
27,Plate,15,1,0,0,0,0
28,Cloth,12,2,0,0,0,0
29,Leather,13,2,0,0,0,0
30,Mail,14,2,0,0,0,0
31,Plate,15,2,0,0,0,0
32,Cloth,12,3,0,0,0,0
33,Leather,13,3,0,0,0,0
34,Mail,14,3,0,0,0,0
35,Plate,15,3,0,0,0,0
36,Cloth,12,6,0,0,0,0
37,Leather,13,6,0,0,0,0
38,Mail,14,6,0,0,0,0
39,Plate,15,6,0,0,0,0
40,Cloth,12,7,0,0,0,0
41,Leather,13,7,0,0,0,0
42,Mail,14,7,0,0,0,0
43,Plate,15,7,0,0,0,0
44,Cloth,12,8,0,0,0,0
45,Leather,13,8,0,0,0,0
46,Mail,14,8,0,0,0,0
47,Plate,15,8,0,0,0,0
48,Cloth,12,9,0,0,0,0
49,Leather,13,9,0,0,0,0
50,Mail,14,9,0,0,0,0
51,Plate,15,9,0,0,0,0
52,Cloth,12,10,0,0,0,0
53,Leather,13,10,0,0,0,0
54,Mail,14,10,0,0,0,0
55,Plate,15,10,0,0,0,0
