ID,Description_lang,ModifiedCraftingCategoryID,ItemBonusTreeID,Flags,Field_9_1_0_38511_004,ItemContextOffset
1,,50,0,0,0,0
2,Guarantee Haste,1,2915,1,0,0
4,,3,2922,0,0,0
5,Guarantee Critical Strike,6,2927,1,0,0
6,Guarantee Versatility,7,2928,1,0,0
7,Guarantee Mastery,5,2929,1,0,0
8,Set the Item Level to 117 and the Required Level to 55.,29,3203,0,0,0
9,Set the Item Level to 168 and the Required Level to 60.,46,3210,0,0,0
10,Set the Item Level to 180 and the Required Level to 60.,8,3210,0,0,0
11,Set the Item Level to 200.,8,3211,0,0,0
17,Flasks last longer,44,2939,0,0,0
27,Well Fed lasts longer,11,3000,0,0,0
30,Deal Fire damage to enemy,17,3070,0,0,0
32,Set the Item Level to 29 and the Required Level to 15.,18,3204,0,0,0
34,Set the Item Level to 65 and the Required Level to 25.,30,3205,0,0,0
36,Set the Item Level to 94 and the Required Level to 35.,31,3206,0,0,0
38,Set the Item Level to 127 and the Required Level to 45.,32,3207,0,0,0
39,Set the Item Level to 163 and the Required Level to 55.,33,3208,0,0,0
58,Reduce falling damage,41,3147,0,0,0
59,Slightly increase move speed,42,3148,0,0,0
61,Increase swim speed,40,3152,0,0,0
62,Deal Frost damage to enemy,17,3153,0,0,0
64,Retain Well Fed when slain in Arena or Battleground,38,3175,0,0,0
65,Chance to get extra Skill Up when crafting,39,3176,0,0,0
66,Add a socket,35,3177,0,0,0
67,@spelldesc332950,11,169,0,0,0
68,Completing World Quests increase Primary Stat,37,3178,0,0,0
70,Set the Item Level to 129 and the Required Level to 53.,29,3203,0,0,0
71,Set the Item Level to 200 and the Required Level to 60.,51,3211,0,0,0
72,Set the Item Level to 165 and the Required Level to 57.,29,3209,0,0,0
73,Set the Item Level to 165.,29,3210,0,0,0
74,Set the Item Level to 54 and the Required Level to 47.,45,3208,0,0,0
75,Set the Item Level to 56 and the Required Level to 45.,32,3207,0,0,0
76,Set the Item Level to 43 and the Required Level to 35.,31,3206,0,0,0
77,Set the Item Level to 33 and the Required Level to 25.,30,3205,0,0,0
78,Set the Item Level to 23 and the Required Level to 15.,18,3204,0,0,0
79,Set the Item Level to 87 and the Required Level to 50.,45,3265,0,0,0
80,Increase the item level by the equivalent of 2 ranks.,50,0,0,0,2
81,"Set the Item Level to 230, the Required Level to 60, and add Unique Equipped: Shadowlands Crafted.",52,3323,0,0,0
82,Set the Item Level to 233 and the Required Level to 60.,53,3444,0,0,0
83,"Set the Item Level to 262, the Required Level to 60, and add Unique Equipped: Shadowlands Crafted.",54,3445,0,0,0
84,Increase the item level by the equivalent of 3 ranks.,55,0,0,0,3
85,"Your abilities have a chance to create an Automa Core near the target, dealing damage and healing.",56,3448,0,0,0
86,"Increases Avoidance, and taking damage has a chance to heal you.",56,3449,0,0,0
87,You have a chance to acquire extra resources when you kill an enemy that yields experience or honor.,56,3450,0,0,0
88,Your abilities have a chance to create a mote nearby. Collect it to gain primary stat for 15 sec.,56,3451,0,0,0
89,"Increases Speed, and increases ground mount speed while in the Shadowlands.",56,3452,0,0,0
90,"Taking damage builds sparks of power. At 5 stacks, the next attacker is shocked for Cosmic damage.",56,3453,0,0,0
91,"When you kill an enemy, your highest secondary stat is increased for 20 sec stacking up to 5 times.",56,3454,0,0,0
92,"Increases the duration of Flask, Elixir, and Well Fed effects by 50%.",56,3455,0,0,0
93,Set the Item Level to 400 and the Required Level to 70.,84,3510,0,0,0
94,,59,0,0,0,0
95,,60,0,0,0,0
96,,61,0,0,0,0
97,,62,0,0,0,0
98,,63,0,0,0,0
99,,64,0,0,0,0
100,,65,0,0,0,0
101,Set base ilevel to 51 (DNT),66,3137,0,0,0
102,Set base ilevel to 60 (DNT),67,3146,0,0,0
103,No Effect on this test finishing reagent (DNT),68,0,0,0,0
104,No Effect on this test finishing reagent (DNT),69,0,0,0,0
105,Adorn your armor with thick spikes and add Unique-Equipped: Embellished (2).,87,3600,0,0,0
106,,71,0,0,0,0
107,Set the Item Level of a rank 1 recipe to 249.,83,0,0,0,4
109,,72,0,0,0,0
110,,74,0,0,0,0
111,,75,0,0,0,0
112,,73,0,0,0,0
113,,78,0,0,0,0
114,,77,0,0,0,0
115,,76,0,0,0,0
116,,79,0,0,0,0
117,,80,0,0,0,0
118,,81,0,0,0,0
119,,89,0,0,0,0
120,,90,0,0,0,0
121,,91,0,0,0,0
122,,92,0,0,0,0
123,,93,0,0,0,0
124,,94,0,0,0,0
125,,95,0,0,0,0
126,,96,0,0,0,0
127,,97,0,0,0,0
128,,98,0,0,0,0
129,,99,0,0,0,0
130,,100,0,0,0,0
131,,101,0,0,0,0
132,,102,0,0,0,0
133,,103,0,0,0,0
134,,104,0,0,0,0
136,,106,0,0,0,0
137,,492,0,0,0,0
138,,108,0,0,0,0
139,,109,0,0,0,0
140,,110,0,0,0,0
141,,111,0,0,0,0
142,,112,0,0,0,0
144,,114,0,0,0,0
145,,115,0,0,0,0
146,,116,0,0,0,0
148,,118,0,0,0,0
149,,119,0,0,0,0
150,,120,0,0,0,0
151,,121,0,0,0,0
152,,122,0,0,0,0
153,,123,0,0,0,0
154,,124,0,0,0,0
155,Increases bonus Skill from Inspiration by $ev1%.,125,0,1,0,0
156,Increases $en1 by $ev1 and $en2 by $ev2%.,126,0,1,0,0
157,"You are $ev1% more likely to improve at your profession, but Recipe Difficulty is increased by $ev2.",127,0,0,0,0
158,Increases $en1 by $ev1 and $en2 by $ev2.,128,0,0,0,0
159,Increases $en1 by $ev1 and $en2 by $ev2.,129,0,0,0,0
160,Increase the duration of Dragon Isles potions by 50% and add Unique-Equipped: Embellished (2).,130,3599,0,0,0
161,Increase duration of Well Fed from Dragon Isles meals by 100% and they now persist through death.,131,3598,0,0,0
163,Increases armor by x and reduces durability loss of this armor piece. (DNT),85,0,0,0,0
164,Increases $en1 by $ev1.,133,0,0,0,0
165,Increases $en1 by $ev1.,134,0,0,0,0
166,Guarantee Critical Strike and Haste.,135,3725,1,0,0
168,,57,0,0,0,0
169,,57,0,0,0,0
170,,57,0,0,0,0
171,,156,0,0,0,0
172,,157,0,0,0,0
173,,158,0,0,0,0
174,,159,0,0,0,0
175,,160,0,0,0,0
176,,161,0,0,0,0
177,,162,0,0,0,0
178,,139,0,0,0,0
179,,137,0,0,0,0
180,,138,0,0,0,0
181,,140,0,0,0,0
182,,141,0,0,0,0
183,,144,0,0,0,0
184,,142,0,0,0,0
185,,143,0,0,0,0
186,,145,0,0,0,0
187,,146,0,0,0,0
188,,147,0,0,0,0
189,,154,0,0,0,0
191,,0,0,0,0,0
192,,149,0,0,0,0
193,,151,0,0,0,0
194,,155,0,0,0,0
195,,163,0,0,0,0
196,"You are $ev1% more likely to improve at Inscription, but Recipe Difficulty is increased by $ev2.",152,0,0,0,0
197,Increases bonus Skill from Inspiration by $ev1% and $en2 by $ev2.,153,0,0,0,0
198,,170,0,0,0,0
199,,171,0,0,0,0
200,,172,0,0,0,0
201,,173,0,0,0,0
203,,175,0,0,0,0
204,,176,0,0,0,0
205,"You are $ev1% more likely to improve at Jewelcrafting, but Recipe Difficulty is increased by $ev2.",364,0,1,0,0
206,Increases bonus Skill from Inspiration by $ev1% and $en2 by $ev2.,365,0,0,0,0
207,"You are $ev1% more likely to improve at Tailoring, but Recipe Difficulty is increased by $ev2.",366,0,0,0,0
208,Increases bonus Skill from Inspiration by $ev1% and $en2 by $ev2%.,367,0,0,0,0
209,Increases reagents saved from Resourcefulness by $ev1%.,368,0,0,0,0
210,,369,0,0,0,0
211,,370,0,0,0,0
212,,371,0,0,0,0
213,"While above 90% health, gain Mastery. Also add Unique-Equipped: Embellished (2).",372,3843,0,0,0
214,,373,0,0,0,0
215,Your spells sometimes cause a ripple in time. Also add Unique-Equipped: Embellished (2).,374,3850,0,0,0
216,,375,0,0,0,0
217,,376,0,0,0,0
218,,377,0,0,0,0
219,,378,0,0,0,0
220,,379,0,0,0,0
221,,380,0,0,0,0
222,Guarantee Versatility and Haste.,390,3742,1,0,0
223,Guarantee Mastery and Haste.,389,3743,1,0,0
224,Guarantee Versatility and Mastery.,388,3744,1,0,0
225,Guarantee Critical Strike and Mastery.,391,3741,1,0,0
226,Guarantee Versatility and Critical Strike.,392,3745,1,0,0
227,Physical attacks sometimes deal extra physical damage. Also add Unique-Equipped: Embellished (2).,394,3747,0,0,0
228,Infuses the item with the essence of decay. Also add Unique-Equipped: Embellished (2).,393,3749,0,0,0
229,,395,0,0,0,0
230,Stuff your recipe with this delicious secret ingredient to increase the number of servings produced.,396,0,0,0,0
232,,399,0,0,0,0
233,Set Item Level based on Crafting Quality (395 - 408).,84,3793,0,0,0
234,Set Item Level based on Crafting Quality (408 - 421).,84,3794,0,0,0
235,"Set Item Level based on Crafting Quality (330 - 343), add Soulbound and Required Level 64.",88,3795,0,0,0
236,"Set Item Level based on Crafting Quality (343 - 356), add Soulbound and Required Level 70.",400,3796,0,0,0
237,"Set Item Level based on Crafting Quality (356 - 369), add Soulbound and Required Level 70.",400,3797,0,0,0
238,"Set Item Level based on Crafting Quality (369 - 382), add Soulbound and Required Level 70.",400,3798,0,0,0
239,Precise cuts ensure perfect portions with nothing going to waste. Gain $ev1 $en1 for this recipe.,403,0,0,0,0
240,A healthy and filling salad ensures there will be some leftovers. Gain $ev1 $en1 for this dish.,404,0,0,0,0
241,,405,0,0,0,0
242,,408,0,0,0,0
243,,407,0,0,0,0
244,,409,0,0,0,0
245,,406,0,0,0,0
246,,410,0,0,0,0
247,,411,0,0,0,0
248,,412,0,0,0,0
249,,413,0,0,0,0
250,,443,3805,0,0,0
251,,442,3806,0,0,0
252,,422,3807,0,0,0
253,,445,3808,0,0,0
254,,444,3809,0,0,0
255,,426,0,0,0,0
256,,427,0,0,0,0
257,,414,0,0,0,0
258,,415,0,0,0,0
259,,416,0,0,0,0
260,,417,0,0,0,0
261,,418,0,0,0,0
262,,419,0,0,0,0
263,,420,0,0,0,0
