ID,SkillLineAbilityID,CraftingOrderHouseID,Field_10_0_2_46479_002
2,46705,1,1
11,46702,1,1
12,46706,1,1
13,46645,1,1
14,46673,1,1
15,46708,1,1
16,46676,1,1
17,46704,1,1
18,46678,1,1
19,46672,1,1
21,46644,1,1
22,46691,1,1
23,48281,1,0
24,48285,1,0
25,48284,1,0
30,46692,1,1
31,46685,1,1
32,46687,1,1
33,46690,1,1
34,46686,1,1
35,46689,1,1
36,46625,1,1
37,46707,1,1
38,46646,1,1
42,46694,1,0
43,46698,1,0
44,46847,1,0
45,46845,1,0
46,46849,1,0
47,46843,1,0
48,46854,1,0
49,46841,1,0
50,46674,1,1
51,46675,1,1
52,46701,1,1
53,46696,1,0
54,46697,1,0
55,46682,1,0
56,46684,1,0
57,48286,1,0
58,46840,1,0
59,48287,1,0
60,48283,1,0
61,48282,1,0
62,46851,1,0
63,46836,1,0
64,48288,1,0
65,46688,1,1
66,46844,1,0
67,46683,1,0
68,46700,1,1
69,46699,1,1
70,46677,1,1
71,46703,1,1
72,46679,1,1
74,46695,1,0
75,46770,1,0
77,46795,1,1
78,46774,1,0
79,46783,1,1
80,46771,1,0
81,46794,1,1
82,46693,1,0
83,46846,1,0
84,46848,1,0
85,46842,1,0
86,46853,1,0
87,46837,1,0
88,46852,1,0
90,46860,1,0
91,47311,1,0
92,47312,1,0
93,46831,1,0
95,47810,1,0
96,47895,1,0
97,47894,1,0
98,47893,1,0
99,47890,1,0
100,47823,1,1
101,47822,1,0
102,47811,1,0
103,47808,1,0
104,47807,1,0
105,47951,1,0
106,47809,1,0
107,47932,1,0
108,47826,1,0
109,47825,1,0
110,47930,1,0
111,47931,1,0
112,47581,1,1
113,47667,1,1
114,47562,1,1
115,47578,1,0
116,47579,1,0
117,47601,1,0
118,47600,1,0
119,47599,1,0
120,47602,1,0
121,47598,1,0
122,47597,1,0
123,47596,1,0
124,47595,1,0
125,47594,1,0
126,47928,1,0
127,47593,1,0
128,47564,1,0
129,47563,1,0
130,47565,1,0
131,47877,1,0
132,47878,1,0
133,47876,1,0
134,47658,1,0
135,47561,1,0
136,47560,1,0
137,47881,1,0
138,47577,1,0
139,47880,1,0
140,47879,1,0
141,47591,1,0
142,47559,1,0
143,47885,1,0
144,47557,1,0
145,47556,1,0
146,47555,1,0
147,47554,1,0
150,47572,1,0
151,47571,1,0
152,47592,1,0
153,46886,1,0
154,47582,1,0
171,47574,1,0
172,47573,1,0
173,47639,1,0
174,47638,1,0
175,47570,1,0
176,47569,1,0
177,47673,1,1
178,47674,1,1
179,47671,1,1
180,47672,1,1
182,47611,1,1
183,47613,1,0
184,47077,1,1
185,47270,1,0
186,47278,1,0
187,47276,1,0
188,47274,1,0
189,47272,1,0
190,47253,1,0
191,47268,1,0
192,47243,1,1
193,47236,1,1
194,47237,1,1
195,47240,1,1
196,47241,1,1
197,47235,1,1
198,47239,1,1
199,47238,1,1
200,47242,1,1
201,47263,1,0
202,47265,1,0
203,47285,1,0
204,47279,1,0
205,47277,1,0
206,47275,1,0
207,47273,1,0
208,47269,1,0
209,47294,1,0
210,47217,1,1
211,47264,1,0
212,47291,1,0
213,47231,1,0
214,47233,1,0
215,47232,1,0
216,47234,1,0
217,47257,1,0
218,47256,1,0
219,47290,1,0
220,47295,1,0
221,47271,1,0
222,47292,1,0
223,48311,1,0
224,48312,1,0
225,48316,1,0
226,48317,1,0
227,48315,1,0
228,48314,1,0
229,48313,1,0
230,48310,1,0
231,48318,1,0
232,47293,1,0
233,47230,1,1
234,47286,1,0
235,47229,1,1
236,47228,1,1
237,47267,1,0
238,47266,1,0
239,47221,1,1
240,47220,1,1
241,47219,1,1
242,47226,1,1
243,47225,1,1
244,47227,1,1
245,47254,1,0
246,47218,1,1
247,47222,1,1
248,46816,1,0
249,47751,1,0
250,47078,1,1
251,47079,1,1
252,47080,1,1
253,47081,1,1
254,47084,1,1
255,47082,1,1
256,47083,1,1
257,47085,1,1
258,48294,1,0
259,48295,1,0
260,48296,1,0
261,48297,1,0
262,48298,1,0
263,48299,1,0
264,48300,1,0
265,48301,1,0
266,47094,1,1
267,47096,1,0
268,47095,1,0
269,47097,1,0
270,47098,1,1
271,47099,1,1
272,47100,1,1
273,47101,1,1
274,47102,1,1
275,47103,1,1
276,47104,1,1
277,47105,1,1
278,47106,1,1
279,47107,1,1
280,47108,1,1
281,47109,1,1
282,47110,1,1
283,47132,1,1
284,47111,1,1
285,47112,1,1
286,48302,1,0
287,48303,1,0
288,48304,1,0
289,48305,1,0
290,48306,1,0
291,48307,1,0
292,48308,1,0
293,48309,1,0
294,47122,1,0
295,47121,1,0
296,47123,1,0
297,47124,1,1
298,47125,1,1
299,47126,1,1
300,47127,1,1
301,47128,1,1
302,47129,1,1
303,47130,1,1
304,47131,1,1
305,47133,1,0
306,47134,1,0
307,47135,1,0
308,47646,1,0
309,47647,1,0
310,47075,1,0
311,47076,1,0
312,47137,1,0
313,47138,1,0
314,47142,1,0
315,47143,1,0
316,47146,1,0
317,47147,1,0
318,47148,1,0
319,47149,1,0
320,47150,1,0
321,47151,1,0
322,47160,1,0
323,47161,1,0
324,47162,1,0
325,47163,1,0
326,47165,1,0
327,47166,1,0
328,47626,1,0
329,47167,1,0
330,47168,1,0
331,47170,1,1
332,47172,1,0
333,46939,1,0
334,46940,1,0
335,46941,1,0
336,46942,1,0
337,46943,1,0
338,46944,1,0
339,46945,1,0
340,46946,1,0
341,46947,1,0
342,46948,1,0
343,46949,1,0
344,46950,1,0
345,46951,1,0
346,46952,1,0
347,46953,1,0
348,46954,1,0
349,46955,1,0
350,46956,1,0
351,46957,1,0
352,46958,1,0
353,46959,1,0
354,46960,1,0
355,46961,1,0
356,46962,1,0
357,46963,1,0
358,46971,1,1
359,46972,1,1
360,46973,1,1
361,46974,1,1
362,46975,1,0
363,48292,1,0
364,48293,1,0
365,46978,1,1
366,46979,1,1
367,46980,1,1
368,46981,1,1
369,46985,1,0
370,46986,1,0
371,46987,1,0
372,46988,1,0
373,46989,1,0
374,46990,1,0
375,46992,1,0
376,46993,1,0
377,46996,1,0
378,46997,1,0
379,46998,1,0
380,46999,1,0
381,47000,1,0
382,47001,1,0
383,47002,1,0
384,47031,1,0
385,47192,1,0
386,47333,1,0
388,47338,1,0
389,47622,1,0
390,47738,1,0
391,47902,1,0
392,47955,1,1
393,47517,1,1
394,47434,1,1
395,47433,1,1
396,47432,1,1
397,47431,1,1
398,47516,1,1
399,47439,1,0
400,47438,1,0
401,47437,1,0
402,47436,1,0
403,47515,1,1
404,47514,1,1
405,47414,1,0
406,47681,1,0
407,47453,1,0
408,47452,1,0
409,47502,1,0
410,47484,1,0
411,47485,1,0
412,47486,1,0
413,47627,1,0
414,47454,1,0
415,47424,1,0
416,47422,1,0
417,47425,1,0
418,47423,1,0
419,47428,1,0
420,47505,1,0
421,47427,1,0
422,47492,1,0
423,47430,1,0
424,47493,1,0
425,47429,1,0
426,47495,1,0
427,47426,1,0
428,47494,1,0
429,47498,1,0
430,47451,1,0
431,47500,1,0
432,47945,1,0
433,47510,1,0
434,47463,1,0
435,47675,1,0
436,47490,1,0
437,47421,1,0
438,47513,1,1
439,47435,1,0
440,47420,1,0
441,47509,1,0
442,47508,1,0
443,47972,1,0
444,47974,1,0
445,47973,1,0
446,47975,1,0
447,47971,1,0
448,47981,1,0
449,47980,1,0
450,47982,1,0
451,47983,1,0
452,47979,1,0
453,47989,1,0
454,47977,1,0
455,47990,1,0
456,47978,1,0
457,47976,1,0
458,47984,1,0
459,47985,1,0
460,47986,1,0
461,47987,1,0
462,47988,1,0
463,48289,1,0
464,48290,1,0
465,48291,1,0
466,47938,1,0
467,47937,1,0
468,46804,1,0
469,46803,1,0
470,46809,1,0
471,46810,1,0
472,46811,1,0
473,46812,1,0
474,46813,1,0
476,46647,1,0
477,46826,1,0
478,46827,1,0
479,46828,1,0
480,47488,1,0
481,47487,1,0
482,47506,1,0
487,47447,1,0
488,47446,1,0
489,47445,1,0
490,47444,1,0
491,47443,1,0
492,47442,1,0
493,47489,1,0
494,47566,1,0
495,47606,1,0
496,47604,1,0
502,47603,1,0
503,47608,1,0
504,47605,1,0
505,47607,1,0
506,47815,1,0
507,47812,1,0
508,47814,1,0
509,47813,1,0
510,47818,1,0
511,47816,1,0
512,47817,1,0
513,47575,1,0
514,47612,1,0
515,47590,1,0
516,47568,1,0
517,46969,1,0
518,46970,1,0
519,46968,1,0
520,46965,1,0
521,47009,1,0
522,46966,1,0
523,46967,1,0
524,47152,1,0
525,47153,1,0
526,47155,1,0
527,47157,1,0
528,47158,1,0
529,47159,1,0
532,47258,1,0
533,47259,1,0
534,47260,1,0
535,47261,1,0
536,47262,1,0
539,47280,1,0
540,47281,1,0
541,47282,1,0
542,47283,1,0
543,47284,1,0
545,48176,1,0
547,48178,1,0
548,48179,1,0
549,48180,1,0
550,48181,1,0
551,48182,1,0
552,48183,1,0
553,48170,1,0
556,48322,1,0
557,48465,1,0
558,48466,1,0
559,48468,1,0
560,48470,1,0
561,48464,1,0
562,48491,1,0
563,48494,1,0
564,48495,1,0
565,48478,1,0
566,48538,1,0
567,48522,1,0
568,48537,1,0
569,48566,1,0
570,48567,1,0
571,48568,1,0
572,48569,1,0
573,48570,1,0
575,48557,1,0
576,48556,1,0
577,48560,1,0
578,48558,1,0
579,48564,1,0
582,48561,1,0
583,48597,1,0
584,48598,1,0
585,48599,1,0
586,48600,1,0
587,48576,1,0
588,48577,1,0
589,48620,1,0
598,48481,1,0
607,48480,1,0
608,48484,1,0
609,48482,1,0
611,48469,1,0
612,48486,1,0
613,48487,1,0
614,48485,1,0
617,47553,1,0
624,48716,1,0
625,48717,1,0
626,48718,1,0
627,48719,1,0
628,48720,1,0
629,48721,1,0
630,48722,1,0
631,48723,1,0
632,48724,1,0
633,48725,1,0
634,48726,1,0
635,48727,1,0
636,48728,1,0
637,48729,1,0
638,48730,1,0
639,48731,1,0
640,48732,1,0
641,48733,1,0
642,48734,1,0
643,48735,1,0
644,48736,1,0
645,48737,1,0
646,48738,1,0
647,48739,1,0
648,48740,1,0
649,48741,1,0
650,48742,1,0
651,48743,1,0
652,48744,1,0
653,48745,1,0
654,48746,1,0
655,48747,1,0
656,48748,1,0
657,48749,1,0
658,48750,1,0
659,48751,1,0
660,48752,1,0
661,48753,1,0
662,48754,1,0
663,48755,1,0
664,48756,1,0
665,48757,1,0
666,48758,1,0
667,48759,1,0
668,48760,1,0
669,48761,1,0
670,48762,1,0
671,48763,1,0
672,48764,1,0
673,48765,1,0
674,48766,1,0
675,48767,1,0
676,48768,1,0
677,48769,1,0
678,48770,1,0
679,48771,1,0
680,48772,1,0
681,48773,1,0
682,48774,1,0
683,48778,1,0
684,48795,1,0
685,48935,1,0
686,48936,1,0
687,48937,1,0
688,48938,1,0
689,48939,1,0
690,48940,1,0
691,48941,1,0
692,48942,1,0
693,48943,1,0
694,48944,1,0
695,48945,1,0
696,48953,1,0
697,48954,1,0
698,48955,1,0
699,48956,1,0
700,13910,1,0
701,13911,1,0
702,13912,1,0
703,13913,1,0
704,13914,1,0
705,13915,1,0
706,13916,1,0
707,13917,1,0
708,13918,1,0
709,13919,1,0
710,13920,1,0
711,13922,1,0
712,13923,1,0
713,48905,1,0
714,48573,1,0
