OffsetPos[0],OffsetPos[1],OffsetPos[2],OffsetRot[0],OffsetRot[1],OffsetRot[2],ID,RoomWmoDataID,ModelFileDataID,Type,MeshStyleFilterID,ConnectionType,Flags
0,0,0,0,0,0,7,2,0,2,0,1,0
-12.5,0,0,0,0,0,8,2,0,1,0,1,0
0,5.5,0,0,0,90,9,2,0,1,0,1,0
12.5,0,0,0,0,-180,10,2,0,1,0,1,0
0,-5.5,0,0,0,-90,11,2,0,1,0,1,0
0,0,7,0,0,0,12,2,0,3,0,1,0
0,0,0,0,0,0,13,3,6431805,2,4,1,0
-6,0,0,0,0,0,14,3,6431837,1,3,1,0
0,6,0,0,0,90,15,3,6431837,1,3,1,0
6,0,0,0,0,-180,16,3,6431837,1,3,1,0
0,-6,0,0,0,-90,17,3,6431837,1,3,1,0
0,0,7,0,0,0,18,3,6431787,3,5,1,0
0,0,0,0,0,0,19,4,6431795,2,43,1,0
-3,0,0,0,0,0,20,4,6431837,1,3,1,0
3,0,0,0,0,-180,21,4,6431837,1,3,1,0
0,6,0,0,0,90,22,4,6431824,1,20,0,0
0,-6.0001,0,0,0,-90,23,4,6431824,1,20,0,0
0,0,7,0,0,0,24,4,6431774,3,44,1,0
0,0,0,0,0,0,25,5,6431804,2,7,1,0
-12,0,0,0,0,0,26,5,6431855,1,6,1,0
0,12.0001,0,0,0,90,27,5,6431855,1,6,1,0
0,-12,0,0,0,-90,28,5,6431855,1,6,1,0
12,0,0,0,0,-180,29,5,6431855,1,6,1,0
-11.4952,11.5001,0,0,0,-90,30,5,6431794,1,46,1,0
11.5,11.5,0,0,0,0,31,5,6431794,1,46,1,0
11.4953,-11.5,0,0,0,90,32,5,6431794,1,46,1,0
-11.5,-11.4952,0,0,0,-180,33,5,6431794,1,46,1,0
0,0,0,0,0,0,35,6,6431802,2,13,1,0
-24,0,0,0,0,0,36,6,6431839,1,12,1,0
0,24,0,0,0,90,37,6,6431839,1,12,1,0
24,0,0,0,0,-180,38,6,6431839,1,12,1,0
0,-24,0,0,0,-90,39,6,6431839,1,12,1,0
0,0,7,0,0,0,40,6,6431784,3,14,1,0
-23.4953,23.5,0,0,0,-90,41,6,6431794,1,46,1,0
23.5,23.5,0,0,0,0,42,6,6431794,1,46,1,0
23.4953,-23.5,0,0,0,90,43,6,6431794,1,46,1,0
-23.5,-23.4953,0,0,0,180,44,6,6431794,1,46,1,0
0,0,0,0,0,0,45,7,6431797,2,21,1,0
-12,0,0,0,0,0,46,7,6431837,1,3,1,0
12,0,0,0,0,-180,47,7,6431837,1,3,1,0
0,6,0,0,0,90,48,7,6431855,1,6,0,0
0,-6,0,0,0,-90,49,7,6431855,1,6,0,0
0,0,7,0,0,0,50,7,6431776,3,22,1,0
-0.0001,0.0001,0,0,0,0,51,8,6431804,2,27,1,0
-12.0001,0.0001,0,0,0,0,52,8,6431857,1,25,1,0
-0.0001,12.0001,0,0,0,90,53,8,6431857,1,25,0,0
12,0.0001,0,0,0,-180,54,8,6431857,1,25,0,0
-0.0001,-11.9999,0,0,0,-90,55,8,6431857,1,25,0,0
-0.0001,0.0001,0,0,0,0,56,8,0,4,28,1,0
-0.0001,0.0001,12.0001,0,0,0,57,8,6431786,3,26,1,0
0,0,7,0,0,0,64,5,6431786,3,8,1,0
0,0,0,0,0,0,115,160,6431803,2,10,1,0
-18,0,0,0,0,0,116,160,6431842,1,9,1,0
0,18,0,0,0,90,117,160,6431842,1,9,1,0
18,0,0,0,0,-180,118,160,6431842,1,9,1,0
0,-18,0,0,0,-90,119,160,6431842,1,9,1,0
0,0,7,0,0,0,120,160,6431785,3,11,1,0
-17.5,-17.4953,0,0,0,-180,121,160,6431794,1,46,1,0
-17.5,17.4948,0,0,0,-90,122,160,6431794,1,46,1,0
17.5,17.5,0,0,0,0,123,160,6431794,1,46,1,0
17.4953,-17.5,0,0,0,90,124,160,6431794,1,46,1,0
-12,0,0,0,0,0,125,161,6431837,1,3,1,0
0,12,0,0,0,90,126,161,6431837,1,3,1,0
