ID,Name_lang,HonorLevel,BadgeTextureFileDataID,Flags,AwardedAchievementID
1,Honor Level 5,5,1375574,0,12893
2,Honor Level 10,10,1375575,0,12894
3,Honor Level 15,15,1375576,0,12895
4,Honor Level 20,20,1375577,0,12900
6,Honor Level 25,25,1551554,1,12901
8,Honor Level 30,30,1551555,1,12902
9,Honor Level 40,40,1551556,1,12903
10,Honor Level 50,50,1551557,1,12904
11,Honor Level 60,60,1567394,0,12905
12,Honor Level 70,70,1597388,0,12906
13,Honor Level 80,80,1597390,0,12907
14,Honor Level 90,90,1597392,0,12908
15,Honor Level 100,100,1597394,0,12909
16,Honor Level 125,125,1597397,0,12910
17,Honor Level 150,150,1597398,0,12911
18,Honor Level 175,175,1597399,0,12912
19,Honor Level 200,200,1597400,0,12913
20,Honor Level 250,250,1713158,0,12914
21,Honor Level 300,300,1713159,0,12915
22,Honor Level 400,400,1713160,0,12916
23,Honor Level 500,500,1713161,0,12917
24,Honor Level 600,253,1713162,0,0
25,Honor Level 750,254,1713163,0,0
26,Honor Level 1000,255,1713164,0,0
