ID,LabelID,ContentTuningID
3,1743,2151
4,1743,2078
5,1743,2424
6,1743,2150
7,1743,2152
8,1743,2153
9,1743,2154
17,1742,2517
19,1746,2522
21,1742,2437
23,1743,2523
24,1744,2524
27,1743,2405
28,1743,2420
29,1743,2419
30,1743,2418
31,1743,2417
32,1743,2411
33,1743,2150
34,1743,2409
35,1743,2407
36,1743,2405
37,1743,2309
38,1742,2466
39,1743,2308
40,1743,2307
41,1742,2518
42,1742,2306
43,1743,2304
44,1743,2302
45,1743,2300
46,1743,2297
47,1742,2296
48,1742,2295
49,1743,2294
50,1743,2293
52,1742,2291
53,1742,2286
54,1743,2289
55,1743,2472
56,1743,2285
57,1743,2284
58,1743,2283
59,1742,2282
60,1743,2151
61,1743,2280
62,1743,2279
63,1743,2444
64,1743,2278
65,1743,2277
66,1743,2276
67,1743,2272
68,1744,2270
69,1742,2267
70,1742,2266
71,1745,2305
72,1745,2287
73,1745,2275
74,1744,2501
75,1743,2509
76,1743,2256
77,1743,2469
78,1742,2265
79,1742,2436
80,1742,2264
81,1743,2251
82,1743,2510
83,1743,2441
84,1743,2511
85,1743,2222
86,1742,2258
88,1744,2505
89,1743,2254
90,1742,2253
91,1743,2257
92,1742,2223
93,1743,2252
94,1743,2243
95,1743,2263
96,1742,2246
97,1743,2262
98,1743,2242
99,1742,2221
100,1743,2241
101,1743,2226
102,1742,2439
103,1743,2225
104,1742,2237
108,1742,2250
109,1745,2249
110,1743,2232
111,1743,2504
112,1743,2512
116,1745,2330
117,1745,2475
118,1746,2516
119,1743,2357
120,1743,2355
121,1742,2468
122,1742,2354
124,1745,2352
125,1743,2351
126,1742,2349
127,1742,2340
129,1743,2347
130,1743,2346
131,1743,2519
132,1743,2358
134,1744,2483
135,1743,2335
136,1743,2334
137,1742,2332
138,1743,2327
139,1742,2326
142,1744,2320
143,1743,2319
144,1742,2318
145,1742,2317
146,1744,2316
147,1743,2315
148,1744,2313
149,1743,2312
150,1743,2311
151,1742,2506
152,1745,2400
153,1743,2404
154,1742,2401
155,1743,2398
156,1742,2397
158,1742,2395
159,1742,2394
160,1743,2393
161,1743,2391
162,1743,2390
163,1743,2388
164,1743,2481
165,1743,2386
166,1745,2385
167,1742,2383
168,1742,2382
169,1743,2378
170,1743,2375
172,1743,2372
173,1743,2154
174,1742,2366
175,1743,2367
176,1743,2371
177,1742,2370
178,1742,2368
179,1742,2362
180,1743,2476
182,1743,2527
183,1742,2528
184,1743,2529
185,1742,2530
189,1746,2533
190,1747,2534
191,1746,2535
192,1745,2536
193,1745,2537
194,1745,2155
195,1743,2539
196,1743,2540
197,1742,2541
198,1742,2542
199,1742,2543
200,1743,2545
201,1742,2546
202,1745,2157
203,1745,2156
204,1742,2552
205,1742,2553
206,1743,2567
207,1743,2573
211,1743,2589
212,1743,2590
213,1747,2594
214,1743,2600
215,1743,2601
216,1744,2602
217,1744,2603
218,1744,2604
219,1744,2605
220,1744,2606
221,1746,2607
243,1742,2635
245,1745,2652
250,1745,2681
251,1745,2718
252,1745,2720
254,1745,2731
256,1743,2825
258,1743,2856
263,1745,2893
264,1745,2894
265,1745,2908
267,1745,2974
270,1743,3002
