ID,Type,Asset,Modifier_tree_ID,Start_event,Start_asset,Start_timer,Fail_event,Fail_asset,Flags,Eligibility_world_state_ID,Eligibility_world_state_value
502,43,117,0,0,0,0,0,0,0,0,0
503,43,116,0,0,0,0,0,0,0,0,0
504,43,115,0,0,0,0,0,0,0,0,0
505,43,113,0,0,0,0,0,0,0,0,0
506,43,111,0,0,0,0,0,0,0,0,0
507,43,110,0,0,0,0,0,0,0,0,0
508,43,109,0,0,0,0,0,0,0,0,0
509,43,108,0,0,0,0,0,0,0,0,0
510,43,107,0,0,0,0,0,0,0,0,0
511,43,105,0,0,0,0,0,0,0,0,0
512,43,104,0,0,0,0,0,0,0,0,0
513,43,103,0,0,0,0,0,0,0,0,0
514,43,161,0,0,0,0,0,0,0,0,0
515,43,114,0,0,0,0,0,0,0,0,0
516,43,106,0,0,0,0,0,0,0,0,0
517,43,102,0,0,0,0,0,0,0,0,0
518,43,101,0,0,0,0,0,0,0,0,0
519,43,1041,0,0,0,0,0,0,0,0,0
533,0,3977,0,0,0,0,0,0,0,0,0
545,0,11492,0,0,0,0,0,0,0,0,0
546,0,11496,0,0,0,0,0,0,0,0,0
550,0,10813,0,0,0,0,0,0,0,0,0
822,43,242,0,0,0,0,0,0,0,0,0
823,43,244,0,0,0,0,0,0,0,0,0
824,43,246,0,0,0,0,0,0,0,0,0
825,43,248,0,0,0,0,0,0,0,0,0
826,43,250,0,0,0,0,0,0,0,0,0
827,43,252,0,0,0,0,0,0,0,0,0
828,43,254,0,0,0,0,0,0,0,0,0
829,43,256,0,0,0,0,0,0,0,0,0
830,43,258,0,0,0,0,0,0,0,0,0
831,43,260,0,0,0,0,0,0,0,0,0
832,43,262,0,0,0,0,0,0,0,0,0
903,43,182,0,0,0,0,0,0,0,0,0
904,43,184,0,0,0,0,0,0,0,0,0
905,43,188,0,0,0,0,0,0,0,0,0
906,43,190,0,0,0,0,0,0,0,0,0
907,43,192,0,0,0,0,0,0,0,0,0
908,43,194,0,0,0,0,0,0,0,0,0
909,43,198,0,0,0,0,0,0,0,0,0
910,43,200,0,0,0,0,0,0,0,0,0
911,43,202,0,0,0,0,0,0,0,0,0
912,43,206,0,0,0,0,0,0,0,0,0
913,43,208,0,0,0,0,0,0,0,0,0
914,43,186,0,0,0,0,0,0,0,0,0
915,43,204,0,0,0,0,0,0,0,0,0
916,43,196,0,0,0,0,0,0,0,0,0
917,43,461,0,0,0,0,0,0,0,0,0
918,43,462,0,0,0,0,0,0,0,0,0
919,43,463,0,0,0,0,0,0,0,0,0
920,43,464,0,0,0,0,0,0,0,0,0
921,43,465,0,0,0,0,0,0,0,0,0
922,43,466,0,0,0,0,0,0,0,0,0
923,43,467,0,0,0,0,0,0,0,0,0
924,43,468,0,0,0,0,0,0,0,0,0
925,43,469,0,0,0,0,0,0,0,0,0
926,43,470,0,0,0,0,0,0,0,0,0
927,43,471,0,0,0,0,0,0,0,0,0
928,43,472,0,0,0,0,0,0,0,0,0
929,43,473,0,0,0,0,0,0,0,0,0
930,43,474,0,0,0,0,0,0,0,0,0
931,43,475,0,0,0,0,0,0,0,0,0
932,43,476,0,0,0,0,0,0,0,0,0
933,43,477,0,0,0,0,0,0,0,0,0
