ID,ClientPrefix,ClientFileString,Name_lang,Name_female_lang,Name_lowercase_lang,Name_female_lowercase_lang,Lore_name_lang,Lore_name_female_lang,Lore_name_lower_lang,Lore_name_lower_female_lang,LoreDescription_lang,Short_name_lang,Short_name_female_lang,Short_name_lower_lang,Short_name_lower_female_lang,Flags,FactionID,CinematicSequenceID,ResSicknessSpellID,SplashSoundID,CreateScreenFileDataID,SelectScreenFileDataID,LowResScreenFileDataID,AlteredFormStartVisualKitID[0],AlteredFormStartVisualKitID[1],AlteredFormStartVisualKitID[2],AlteredFormFinishVisualKitID[0],AlteredFormFinishVisualKitID[1],AlteredFormFinishVisualKitID[2],HeritageArmorAchievementID,StartingLevel,UiDisplayOrder,PlayableRaceBit,TransmogrifyDisabledSlotMask,AlteredFormCustomizeOffsetFallback[0],AlteredFormCustomizeOffsetFallback[1],AlteredFormCustomizeOffsetFallback[2],AlteredFormCustomizeRotationFallback,Field_9_1_0_38312_030[0],Field_9_1_0_38312_030[1],Field_9_1_0_38312_030[2],Field_9_1_0_38312_031[0],Field_9_1_0_38312_031[1],Field_9_1_0_38312_031[2],BaseLanguage,CreatureType,Alliance,Race_related,UnalteredVisualRaceID,DefaultClassID,NeutralRaceID,MaleModelFallbackRaceID,MaleModelFallbackSex,FemaleModelFallbackRaceID,FemaleModelFallbackSex,MaleTextureFallbackRaceID,MaleTextureFallbackSex,FemaleTextureFallbackRaceID,FemaleTextureFallbackSex,HelmetAnimScalingRaceID,UnalteredVisualCustomizationRaceID
1,Hu,Human,Human,Human,human,human,Human,,,,"Humans are a young race, and thus highly versatile, mastering the arts of combat, craftsmanship, and magic with stunning efficiency. The humans' valor and optimism have led them to build some of the world's greatest kingdoms. In this troubled era, after generations of conflict, humanity seeks to rekindle its former glory and forge a shining new future.",,,,,6291468,1,81,15007,1096,131948,131948,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,1,0,0,-1,0,-1,0,-1,0,-1,0,0
2,Or,Orc,Orc,Orc,orc,orc,Orc,,,,"The orc race originated on the planet Draenor. A peaceful people with shamanic beliefs, they were enslaved by the Burning Legion and forced into war with the humans of Azeroth. Although it took many years, the orcs finally escaped the demons' corruption and won their freedom. To this day they fight for honor in an alien world that hates and reviles them.",,,,,6291468,2,21,15007,1096,132003,132003,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,1,0,0,-1,0,-1,0,-1,0,-1,0,0
3,Dw,Dwarf,Dwarf,Dwarf,dwarf,dwarf,Dwarf,,,,"In ages past the dwarves cared only for riches taken from the earth's depths. Then records surfaced of a god-like race said to have given the dwarves life... and an enchanted birthright. Driven to learn more, the dwarves devoted themselves to the pursuit of lost artifacts and ancient knowledge. Today dwarven archaeologists are scattered throughout the globe.",,,,,6291468,3,41,15007,1090,131940,131940,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,3,0,0,-1,0,-1,0,-1,0,-1,0,0
4,Ni,NightElf,Night Elf,Night Elf,night elf,night elf,Kaldorei,,,,"Ten thousand years ago, the night elves founded a vast empire, but their reckless use of primal magic brought them to ruin. In grief, they withdrew to the forests and remained isolated there until the return of their ancient enemy, the Burning Legion. With no other choice, the night elves emerged at last from their seclusion to fight for their place in the new world.",,,,,6291460,4,61,15007,1096,131993,131993,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,11,0,0,-1,0,-1,0,-1,0,-1,0,0
5,Sc,Scourge,Undead,Undead,undead,undead,Forsaken,,,,"Free of the Lich King's grasp, the Forsaken seek to overthrow his rule. Led by the banshee Sylvanas, they hunger for vengeance against the Scourge. Humans, too, have become the enemy, relentless in their drive to purge all undead from the land. The Forsaken care little even for their allies; to them the Horde is merely a tool that may further their dark schemes.",,,,,6291468,5,2,15007,1096,132035,132035,0,0,0,0,0,0,0,0,1,6,4,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,9,0,0,-1,0,-1,0,-1,0,-1,0,0
6,Ta,Tauren,Tauren,Tauren,tauren,tauren,Shu'halo,,,,"Always the tauren strive to preserve the balance of nature and heed the will of their goddess, the Earth Mother. Recently attacked by murderous centaur, the tauren would have been wiped out, save for a chance encounter with the orcs, who helped defeat the interlopers. To honor this blood-debt, the tauren joined the Horde, solidifying the two races' friendship.",,,,,6291470,6,141,15007,1096,132046,132046,0,0,0,0,0,0,0,0,1,7,5,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,7,0,0,-1,0,-1,0,-1,0,-1,0,0
7,Gn,Gnome,Gnome,Gnome,gnome,gnome,Gnome,,,,"Though small in stature, the gnomes of Khaz Modan have used their great intellect to secure a place in history. Indeed, their subterranean kingdom, Gnomeregan, was once a marvel of steam-driven technology. Even so, due to a massive trogg invasion, the city was lost. Now its builders are vagabonds in the dwarven lands, aiding their allies as best they can.",,,,,6291468,115,101,15007,1096,131940,131940,0,0,0,0,0,0,0,0,1,4,6,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,8,0,0,-1,0,-1,0,-1,0,-1,0,0
8,Tr,Troll,Troll,Troll,troll,troll,Darkspear,,,,"Once at home in the jungles of Stranglethorn Vale, the fierce trolls of the Darkspear tribe were pushed out by warring factions. Eventually the trolls befriended the orcish Horde, and Thrall, the orcs' young warchief, convinced the trolls to travel with him to Kalimdor. Though they cling to their shadowy heritage, the Darkspear trolls hold a place of honor in the Horde.",,,,,6291470,116,121,15007,1096,132003,132003,0,0,0,0,0,0,0,0,1,8,7,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,7,0,0,-1,0,-1,0,-1,0,-1,0,0
9,Go,Goblin,Goblin,Goblin,goblin,goblin,Bilgewater,,,,,,,,,1,1,0,15007,1096,319097,319097,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,7,7,1,0,0,4,0,0,-1,0,-1,0,-1,0,-1,0,0
10,Be,BloodElf,Blood Elf,,blood elf,,Sin'dorei,,sin'dorei,,"Survivors of a brutal war, the blood elves drew strength from the magical Sunwell to rebuild their kingdom.",Elf,,elf,,141,0,0,15007,1096,623714,131921,651558,0,0,0,0,0,0,0,1,9,9,0,0,0,0,0,0,0.087,0,0,0.087,0,1,7,1,11,0,8,0,0,-1,0,-1,0,-1,0,-1,0,0
11,Dr,Draenei,Draenei,,draenei,,Draenei,,draenei,,The draenei fled from demonic corruption and now lend their might to defend Azeroth.,Draenei,,draenei,,143,0,0,15007,1096,623712,131934,651555,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,7,7,0,10,0,2,0,0,-1,0,-1,0,-1,0,-1,0,0
12,Fo,FelOrc,Fel Orc,,fel orc,,,,,,,,,,,262149,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
13,Na,Naga_,Naga,,naga,,,,,,,,,,,1,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
14,Br,Broken,Broken,,broken,,,,,,,,,,,5,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
15,Sk,Skeleton,Skeleton,,skeleton,,,,,,,,,,,1,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,5,0,5,1,5,0,5,1,0,0
16,Vr,Vrykul,Vrykul,,vrykul,,,,,,,,,,,9,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
17,Tu,Tuskarr,Tuskarr,,tuskarr,,,,,,,,,,,262145,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
18,Ft,ForestTroll,Forest Troll,,forest troll,,,,,,,,,,,15,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
19,Wt,Taunka,Taunka,,taunka,,,,,,,,,,,5,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
20,NS,NorthrendSkeleton,Northrend Skeleton,,Northrend skeleton,,,,,,,,,,,5,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
21,It,IceTroll,Ice Troll,,ice troll,,,,,,,,,,,5,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
22,Wo,Worgen,Worgen,,worgen,,Gilnean,,Gilnean,,"A curse turned the humans of Gilneas into savage worgen, who harness their ferocity to aid their allies.",Worgen,,worgen,,71,0,0,15007,1096,623712,313254,651555,0,0,0,0,0,0,0,1,0,21,0,-5.35,2.1,-0.5,0.2,0,0,0,0,0,0,7,7,0,9,1,4,0,0,-1,0,-1,0,-1,0,-1,0,23
23,Hu,Human,Gilnean,,Gilnean,,,,,,The worgen were first unleashed upon the Eastern Kingdoms by Archmage Arugal. <PH>,,,,,237,1,0,15007,1096,623712,313254,651555,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0
24,Pa,Pandaren,Pandaren,,pandaren,,Pandaren,,pandaren,,"A spiritual and inquisitive people, the pandaren have a deep love for cooking, brewing, and adventure.",Pandaren,,pandaren,,251925,0,0,15007,1096,623716,574549,651561,0,0,0,0,0,0,0,1,0,23,0,0,0,0,0,0,0,0,0,0,0,42,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
25,Pa,Pandaren,Pandaren,,pandaren,,Tushui,,Tushui,,"A spiritual and inquisitive people, the pandaren have a deep love for cooking, brewing, and adventure.",Pandaren,,pandaren,,211461,0,0,15007,1096,623712,574549,651555,0,0,0,0,0,0,0,1,0,24,0,0,0,0,0,0,0,0,0,0,0,7,7,0,26,0,0,24,24,0,24,1,24,0,24,1,0,0
26,Pa,Pandaren,Pandaren,,pandaren,,Huojin,,Huojin,,"A spiritual and inquisitive people, the pandaren have a deep love for cooking, brewing, and adventure.",Pandaren,,pandaren,,211461,0,0,15007,1096,623714,574549,651558,0,0,0,0,0,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,0,1,7,1,25,0,0,24,24,0,24,1,24,0,24,1,0,0
