ID,TargetPositionX,TargetPositionY,TargetPositionZ,TimeStamp,Field_9_0_1_34972_004,Field_9_0_1_34972_005,ChrCreateClassAnimTargetInfoID
3,15,-3,0,0,1,0,3
4,15,3,0,3100,1,400,3
7,3,1.1,0,300,1,200,5
8,3,-1.3,0,2000,1,200,5
9,3,1.2,0,300,1,200,6
11,4,0,0,200,1,200,7
12,4,-3,0,560,1,200,7
13,4,1,0,750,1,200,7
15,5,1.2,0,0,0,0,8
16,5,0,0,900,0,300,8
17,3,-1.75,0,0,1,100,9
18,3,1.1,-0.5,1000,1,600,9
19,3,0,0,1600,1,500,9
22,3,0,0,2500,1,200,5
23,3,-1,0,1000,1,300,6
24,20,1.3,-0.5,0,1,300,11
25,1,0,0,2300,1,400,11
27,3,1.1,0,3050,0,200,12
28,3,0,0,6300,0,200,12
29,3,-0.4,0,0,1,200,13
30,3,-2.5,0,1000,1,300,13
31,3,0,0,1500,1,1000,13
32,20,-1.3,0,0,1,300,14
33,3,0,0,2300,1,400,14
34,20,-1.3,0,0,1,300,15
35,3,0,0,2300,1,400,15
36,20,-1.3,0,0,1,300,16
37,3,0,0,2300,1,400,16
38,20,-1.3,0,0,1,300,17
39,3,0,0,2300,1,400,17
40,20,-1.3,0,0,1,200,18
41,20,1.4,-0.5,2650,1,250,18
42,1,0,0,3900,1,200,18
43,20,1.3,0,0,1,200,19
44,20,1.8,-0.5,2650,1,250,19
45,4,0,0,3900,1,200,19
46,20,1.3,0,0,1,200,20
47,20,1.8,-0.5,2650,1,250,20
48,4,0,0,3900,1,200,20
49,20,1.3,0,0,1,200,21
50,20,1.8,-0.5,2650,1,250,21
51,4,0,0,3900,1,200,21
52,20,-1.3,-0.5,0,1,200,22
54,20,0,0,3100,1,400,22
55,20,1.3,-0.5,0,1,200,23
56,20,0,0,3900,1,200,23
57,20,-1.1,0,0,1,200,24
58,20,0,-0.5,3900,1,200,24
60,6,0,0,4600,1,200,3
63,3,0,0,2250,1,100,6
65,4,0,0,1600,1,300,7
66,15,-4,0,0,1,0,25
67,15,4,0,3200,1,200,25
68,6,0,0,3600,1,400,25
69,15,-4,0,0,1,0,26
70,15,4,0,3200,1,200,26
71,6,0,0,3600,1,400,26
72,15,-4,0,0,1,0,27
73,15,4,0,3200,1,200,27
74,6,0,0,3600,1,400,27
75,15,-4,0,0,1,0,28
76,15,4,0,3200,1,200,28
77,6,0,0,3600,1,400,28
78,15,-4,0,0,1,0,29
79,15,4,0,3200,1,200,29
80,6,0,0,3600,1,400,29
81,15,-4,0,0,1,0,30
82,15,4,0,3200,1,200,30
83,6,0,0,3600,1,400,30
84,15,-4,0,0,1,0,31
85,15,4,0,3200,1,200,31
86,6,0,0,3600,1,400,31
87,15,-4,0,0,1,0,32
88,15,4,0,3200,1,200,32
89,6,0,0,3600,1,400,32
90,15,-4,0,0,1,0,33
91,15,4,0,3200,1,200,33
92,6,0,0,3600,1,400,33
93,15,-4,0,0,1,0,34
94,15,4,0,3200,1,200,34
95,6,0,0,3600,1,400,34
96,15,-4,0,0,1,0,35
97,15,4,0,3200,1,200,35
98,6,0,0,3600,1,400,35
99,20,0,-0.5,3900,1,200,36
100,20,-1.1,0,0,1,200,36
105,20,-2,0,0,0,200,38
108,20,0,0,4200,0,100,38
