ID,PlayerConditionID,Field_10_0_0_45141_000,CreatureDifficultyID
89814,0,0,2361
89815,0,2,2361
89816,0,0,2364
89817,0,2,2364
89818,0,0,3529
89819,0,2,3529
89820,0,3,3529
89821,0,0,2206
89822,0,2,2206
89823,0,0,2207
89824,0,2,2207
89825,0,0,2375
89826,0,2,2375
89827,0,0,2377
89828,0,2,2377
89829,0,0,2378
89830,0,2,2378
89831,0,0,2164
89832,0,3,2164
89833,0,0,2165
89834,0,3,2165
89835,0,0,2173
89836,0,3,2173
89837,0,0,2574
89838,0,2,2574
89839,0,0,2575
89840,0,2,2575
89841,0,0,2061
89842,0,2,2061
89843,0,0,2233
89844,0,0,2234
89845,0,0,2254
89846,0,2,2254
89847,0,0,2255
89848,0,2,2255
89849,0,0,2256
89850,0,2,2256
89851,0,0,2257
89852,0,2,2257
89853,0,0,2780
89854,0,2,2780
89855,0,3,3939
89856,0,0,3940
89857,0,2,3940
89858,0,0,3942
89859,0,2,3942
89860,0,0,2477
89861,0,2,2477
89862,0,0,3121
89863,0,3,3121
89864,0,0,3197
89865,0,2,3197
89866,0,0,1395
89867,0,2,1395
89868,0,0,1398
89869,0,2,1398
89870,0,0,1400
89871,0,3,1400
89872,0,0,1402
89873,0,2,1402
89874,0,0,1791
89875,0,2,1791
89876,0,0,1793
89877,0,2,1793
89878,0,0,1794
89879,0,2,1794
89880,0,0,1769
89881,0,3,1769
89882,0,0,1770
89883,0,3,1770
89884,0,0,1773
89885,0,2,1773
89886,0,0,1674
89887,0,2,1674
89888,0,0,1819
89889,0,0,2062
89890,0,2,2062
89891,0,0,1779
89892,0,3,1779
89893,0,0,1924
89894,0,3,1924
89895,0,0,4623
89896,0,2,4623
89899,0,2,4625
89900,0,0,2476
89901,0,3,2476
89902,0,0,3857
89903,0,3,3857
89904,0,0,4829
89905,0,3,4829
89906,0,0,2889
89907,0,2,2889
89908,0,0,2890
89909,0,2,2890
89910,0,0,2891
89911,0,2,2891
89912,0,0,3917
89913,0,0,3921
89914,0,2,3921
89915,0,0,5288
89916,0,3,5288
89917,0,0,5291
89918,0,3,5291
89919,0,0,5295
89920,0,3,5295
89921,0,0,5296
89922,0,3,5296
89923,0,0,5297
89924,0,3,5297
89925,0,0,2337
89926,0,2,2337
89927,0,0,2339
89928,0,2,2339
89929,0,0,2344
89930,0,2,2344
89931,0,0,2347
89932,0,3,2347
89933,0,0,2348
89934,0,0,2350
89935,0,0,2351
89936,0,3,2351
89937,0,0,2356
89938,0,3,2356
89939,0,0,3474
89940,0,3,3474
89941,0,0,3476
89942,0,3,3476
89943,0,0,2639
89944,0,2,2639
89945,0,0,2640
89946,0,2,2640
89947,0,0,2577
89948,0,2,2577
89949,0,0,2578
89950,0,0,2579
89951,0,0,2580
89952,0,0,2005
89953,0,0,2009
89954,0,2,2009
89955,0,0,2010
89956,0,2,2010
89957,0,0,2014
89958,0,2,2014
89959,0,0,2304
89960,0,2,2304
89961,0,0,2166
89962,0,0,2167
89963,0,2,2167
89964,0,0,15462
89965,0,0,2358
89966,0,2,2358
89967,0,0,2198
89968,0,2,2198
89969,0,0,2716
89970,0,2,2716
89971,0,0,2717
89972,0,2,2717
89973,0,0,2718
89974,0,2,2718
89975,0,0,2735
89978,0,0,4635
89979,0,2,4635
89980,0,0,2957
89981,0,3,2957
89982,0,0,2960
89983,0,3,2960
89984,0,0,2763
89985,0,0,2765
89986,0,2,2765
89987,0,0,1795
89988,0,2,1795
89989,0,0,1797
89990,0,3,1797
89991,0,0,1798
89992,0,0,1800
89993,0,0,1802
89994,0,0,1804
89997,0,0,1748
89998,0,2,1748
90001,0,0,1660
90002,0,2,1660
90003,0,0,1563
90004,0,2,1563
90005,0,0,1843
90006,0,2,1843
90007,0,0,1806
90008,0,2,1806
90009,0,0,1808
90010,0,2,1808
90011,0,0,1809
90012,0,0,1810
90013,0,0,1811
90014,0,0,1815
90015,0,3,1815
90016,0,0,1816
90017,0,3,1816
90018,0,0,1817
90019,0,3,1817
90020,0,3,1932
90021,0,0,1934
90022,0,2,1934
90023,0,0,1953
90024,0,0,1954
90025,0,0,2018
90026,0,2,2018
90027,0,0,2019
90028,0,2,2019
