ID,PowerType,ClassID
1,1,1
2,10,1
3,0,2
4,9,2
5,10,2
6,2,3
7,10,3
8,3,4
9,10,4
10,0,5
11,10,5
13,6,6
14,10,6
15,0,7
16,10,7
17,0,8
18,10,8
19,0,9
20,7,9
21,10,9
22,0,11
23,1,11
24,3,11
26,10,11
29,10,10
31,3,10
32,0,10
34,12,10
63,13,5
72,16,8
80,17,12
81,10,12
82,4,4
83,4,11
84,5,6
85,11,7
86,8,11
88,18,12
195,10,13
198,0,13
200,19,13
219,25,9
220,25,1
221,25,7
222,25,4
223,25,5
224,25,2
225,25,10
226,25,8
227,25,3
228,25,13
229,25,11
230,25,12
231,25,6
232,23,5
233,23,1
234,23,6
235,23,12
236,23,11
237,23,13
238,23,3
239,23,8
240,23,10
241,23,2
242,23,4
243,23,7
244,23,9
245,24,6
246,24,12
247,24,11
248,24,13
249,24,3
250,24,8
251,24,10
252,24,2
253,24,5
254,24,4
255,24,7
256,24,1
257,24,9
