Cost,Field_12_0_0_63534_001,HousePosition[0],HousePosition[1],HousePosition[2],HouseRotation[0],HouseRotation[1],HouseRotation[2],Field_12_0_0_63534_004[0],Field_12_0_0_63534_004[1],Field_12_0_0_63534_004[2],Field_12_0_0_63534_005[0],Field_12_0_0_63534_005[1],Field_12_0_0_63534_005[2],CornerStonePosition[0],CornerStonePosition[1],CornerStonePosition[2],CornerStoneRotation[0],CornerStoneRotation[1],CornerStoneRotation[2],Field_12_0_0_63724_008[0],Field_12_0_0_63724_008[1],Field_12_0_0_63724_008[2],ID,NeighborhoodMapID,Field_12_0_0_63534_010,Field_12_0_0_63534_011,PlotIndex,WorldState
10000000,,1284.8108,1113.6892,56.17361,0,0,4.3371444,1504.14,-196.979,64.5,0,0,0,1256.1805,1091.0452,55.760418,0,0,1.6406115,1256.3898,1088.0525,55.6567,359,2,0,475055,0,29778
10000000,,762.7483,-516.19617,11.708,0,0,2.530727,1239.0938,-199.75,74.063995,0,0,0,772.8715,-477.52432,11.704862,0,0,4.145157,774.4834,-474.9941,11.7055,360,2,0,475085,1,29725
10000000,,1922.6493,982.63544,101.63,0,0,5.0701814,1236.4062,-56.703125,76.39401,0,0,0,1925.2101,948.8993,101.64585,0,0,1.9111389,1926.2115,946.0714,101.6422,361,2,0,475054,2,29736
10000000,,763.69794,-235.79167,15.598958,0,0,3.2812219,1320.1528,-73.645836,74.20645,0,0,0,791.3958,-208.53125,15.600695,0,0,3.4819312,794.2238,-207.5298,15.6172,362,2,0,475094,3,29745
10000000,,1570.4497,-257.29514,76.2843,0,0,2.4172797,1499.4045,59.081596,77.1373,0,0,0,1607.9132,-242.92188,76.28299,0,0,3.385939,1610.8241,-242.1961,76.2838,363,2,0,475067,4,29755
10000000,,718.9219,-396.22397,2.175,0,0,5.7421374,1675.2916,-190.51389,78.37765,0,0,0,733.8542,-434.1736,2.3940973,0,0,2.4696412,736.202,-436.0412,3.1479,364,2,0,475106,5,29763
10000000,,619.86285,13.432292,3.9199998,0,0,0.09599447,1543.5868,-33.640625,78.423134,0,0,0,649.9757,39.93403,3.918403,0,0,3.0805063,652.9701,39.7509,4.1798,365,2,0,475076,6,29765
10000000,,560.75696,-280.7361,7.0627384,0,0,5.3058004,1149.9861,-109.125,73.9779,0,0,0,574.2917,-316.39236,7.143509,0,0,2.181662,576.0124,-318.8498,6.8227,366,2,0,569611,7,29766
10000000,,1342.0399,-679.67706,21.168,0,0,2.3038344,1621.55,-266.993,74.5204,0,0,0,1343.776,-635.86115,21.166666,0,0,5.349434,1341.9916,-633.4496,21.2839,367,2,0,475072,8,29767
10000000,,1666.4497,1084.4098,48.4,0,0,4.5116754,798.4844,-264.9045,33.833267,0,0,0,1668.4062,1053.1858,48.467014,0,0,1.0733783,1666.9747,1050.5493,48.5917,368,2,0,475057,9,29768
10000000,,1239.8993,-192.89062,72.698,0,0,0.7766733,988.7743,154.79341,31.347725,0,0,0,1266.1024,-171.21875,72.93373,0,0,4.11025,1267.8016,-168.7464,73.051,369,2,0,475095,10,29726
10000000,,1064.6423,867.97394,6.8333335,0,0,1.5358896,2104.533,-298.58853,136.80176,0,0,0,1101.6841,883.5469,6.8333335,0,0,3.2550397,1104.6648,883.8865,6.8333,370,2,0,475061,11,29727
10000000,,505.46008,643.3785,155.43501,0,0,2.0245829,503.5434,-81.21354,1.4694642,0,0,0,519.7344,693.2031,155.52083,0,0,2.6005416,547.1517,638.7143,154.8102,371,2,0,582082,12,29728
10000000,,886.38367,-577.75696,1.4215488,0,0,1.6231589,673.84204,11.355903,22.755838,0,0,0,902.30554,-545.7639,1.4305556,0,0,4.5902157,902.6711,-542.7863,1.9622,372,2,0,475091,13,29729
