ID,AreaID,AreaGroupID
14594,148,6581
14595,16,6582
14597,367,6584
14598,2298,6585
14599,139,6586
14600,2964,6587
14601,3277,6588
14602,2597,6589
14603,440,6590
14604,2677,6591
14605,3358,6592
14606,1977,6593
14607,3419,6594
14608,3428,6595
14609,1377,6596
14610,3456,6597
14611,796,6598
14612,2158,6599
14613,1584,6600
14614,618,6601
14615,2257,6602
14616,1583,6603
14617,28,6604
14618,2717,6605
14619,2557,6583
27546,139,7463
27547,2017,7463
27548,2057,7463
27549,28,7463
27593,2897,7480
27594,429,7480
27595,437,7480
27596,3177,7480
27597,2301,7480
27598,414,7480
27599,2325,7480
27600,1276,7480
27601,416,7480
27602,427,7480
27603,418,7480
27604,412,7480
27605,419,7480
27606,432,7480
27607,431,7480
27608,879,7480
27609,2360,7480
27610,3319,7480
27611,420,7480
27612,430,7480
27613,426,7480
27614,2457,7480
27615,428,7480
27616,421,7480
27617,425,7480
27618,413,7480
27619,441,7480
27620,2637,7480
27621,424,7480
27622,2359,7480
27623,2358,7480
27624,417,7480
27625,434,7480
27626,422,7480
27627,433,7480
27628,436,7480
27629,435,7480
27630,438,7480
27631,2357,7480
27632,2797,7480
27633,411,7480
27634,415,7480
27635,331,7480
30960,719,7864
33280,17,8050
33454,400,8111
33459,123,8116
33460,127,8116
33461,2177,8116
33462,7,8116
33463,1739,8116
33464,35,8116
33465,310,8116
33466,117,8116
33467,1741,8116
33468,297,8116
33469,312,8116
33470,125,8116
33471,101,8116
33472,37,8116
33473,1737,8116
33474,129,8116
33475,105,8116
33476,1738,8116
33477,100,8116
33478,99,8116
33479,311,8116
33480,477,8116
33481,102,8116
33482,103,8116
33483,303,8116
33484,2338,8116
33485,1578,8116
33486,1742,8116
33487,33,8116
33488,1577,8116
33489,1757,8116
33490,302,8116
33491,1759,8116
33492,2339,8116
33493,1758,8116
33494,301,8116
33495,106,8116
33496,104,8116
33497,126,8116
33498,1740,8116
33499,1760,8116
33500,43,8116
33501,3357,8116
33502,128,8116
33503,19,8116
33504,122,8116
33639,1519,8153
33770,438,8187
33771,2358,8187
33777,1176,8193
33799,602,8206
33976,10,8217
33977,47,8218
33978,357,8219
33979,350,8220
33980,361,8221
33995,8,8227
33996,47,8228
33997,331,8228
33998,10,8228
33999,357,8228
34007,493,8232
34011,331,8234
34012,1477,8234
34013,10,8234
34014,357,8234
34015,47,8234
34016,8,8234
34020,1477,8233
34021,8,8235
34022,1477,8235
34023,1417,8235
34024,35,8236
34027,429,8239
34028,437,8239
34029,430,8239
34030,2358,8239
34031,438,8239
34032,17,8239
34033,16,8239
34034,377,8239
34749,1446,8355
35796,1770,8399
35868,46,8417
35879,15828,8426
35881,922,8428
35882,921,8428
35883,920,8428
35884,919,8428
35885,918,8428
35886,917,8428
35887,916,8428
35888,219,8428
35889,206,8428
35890,115,8428
35891,113,8428
35892,111,8428
35893,109,8428
35894,108,8428
35895,107,8428
35896,40,8428
35897,26,8428
35898,20,8428
35899,2,8428
35904,15540,8431
35905,15475,8431
35906,435,8431
35908,1037,8432
35911,2677,8434
35912,25,8434
35913,193,8435
38223,2017,8474
38227,209,8475
38231,3428,8478
38232,1377,8478
38233,16076,8478
38234,3429,8478
38235,3478,8478
