ID,ConfigFlags
1,256
2,0
3,0
4,0
5,0
21,256
22,0
23,0
41,256
61,4128
62,4128
63,1040
64,32
65,73760
81,1072
101,0
102,8192
103,4096
121,65536
141,4096
142,4096
161,4096
162,0
163,256
164,1280
165,1288
181,4368
182,256
183,4096
184,8192
201,256
202,0
203,0
221,20480
222,20480
223,24576
224,24576
241,0
261,4352
262,4352
281,256
301,256
321,0
341,256
342,256
343,256
345,0
348,32
361,0
363,32
366,256
405,256
410,0
411,0
413,0
414,0
594,4128
596,133376
597,139520
661,4352
662,8192
663,4096
685,8448
687,272
688,524544
689,272
690,272
693,0
695,32
707,256
714,32
759,524544
815,8448
816,8448
848,0
893,32
901,1048608
1017,73760
1265,0
1394,1048864
1403,4096
1404,262400
1405,262400
1406,262400
1407,262400
1413,256
