Code,FormatShort_lang,FormatLong_lang,LicenseAcceptText_lang,ID,NumericCode,Field_1_15_1_53009_006,Field_1_15_1_53009_007
USD,$%s,$%s,"User Acknowledgment:  By clicking the Buy Now button below, I acknowledge that I have read and agree to the |HurlIndex:14|h|cff71d5ffTerms of Sale|r|h and |HurlIndex:15|h|cff71d5ffPrivacy Policy|r|h, and I confirm this purchase.",1,840,16,833
GBP,£%s,£%s,"By clicking Pay Now, you agree to the |HurlIndex:16|h|cff71d5ffTerms of Sale|r|h, and to the immediate delivery of your order. You will lose the right to withdraw your order once the delivery process has started.",2,826,16,836
KRW,%s*,%s Battle Coins,"User Acknowledgment:  By clicking the Buy Now button below, I acknowledge that I have read and agree to the terms and conditions regarding this transaction (including the \n|HurlIndex:9|h|cff71d5ffTerms of Sale|r|h, |HurlIndex:8|h|cff71d5ffRefund Policy|r|h, and |HurlIndex:13|h|cff71d5ffPrivacy policy|r|h) and confirm this purchase.",3,410,48,834
EUR,€%s,€%s,"By clicking Pay Now, you agree to the |HurlIndex:16|h|cff71d5ffTerms of Sale|r|h, and to the immediate delivery of your order. You will lose the right to withdraw your order once the delivery process has started.",4,978,16,836
RUB,%s p.,%s p.,"By clicking Pay Now, you agree to the |HurlIndex:16|h|cff71d5ffTerms of Sale|r|h, and to the immediate delivery of your order. You will lose the right to withdraw your order once the delivery process has started.",5,643,16,836
COP,$%s,$%s,"User Acknowledgment:  By clicking the Buy Now button below, I acknowledge that I have read and agree to the |HurlIndex:14|h|cff71d5ffTerms of Sale|r|h and |HurlIndex:15|h|cff71d5ffPrivacy Policy|r|h, and I confirm this purchase.",6,170,4,833
PEN,S/.%s,S/.%s,"User Acknowledgment:  By clicking the Buy Now button below, I acknowledge that I have read and agree to the |HurlIndex:14|h|cff71d5ffTerms of Sale|r|h and |HurlIndex:15|h|cff71d5ffPrivacy Policy|r|h, and I confirm this purchase.",7,604,4,833
ARS,$%s,$%s,"User Acknowledgment:  By clicking the Buy Now button below, I acknowledge that I have read and agree to the |HurlIndex:14|h|cff71d5ffTerms of Sale|r|h and |HurlIndex:15|h|cff71d5ffPrivacy Policy|r|h, and I confirm this purchase.",8,32,0,833
CLP,$%s,$%s,"User Acknowledgment:  By clicking the Buy Now button below, I acknowledge that I have read and agree to the |HurlIndex:14|h|cff71d5ffTerms of Sale|r|h and |HurlIndex:15|h|cff71d5ffPrivacy Policy|r|h, and I confirm this purchase.",9,152,0,833
MXN,$%s,$%s,"User Acknowledgment:  By clicking the Buy Now button below, I acknowledge that I have read and agree to the |HurlIndex:14|h|cff71d5ffTerms of Sale|r|h and |HurlIndex:15|h|cff71d5ffPrivacy Policy|r|h, and I confirm this purchase.",10,484,0,833
