ActivityName_lang,Description_lang,ID,CriteriaTreeID,ThresholdContributionAmount,Supersedes,Priority
Complete 30 Quests,Complete quests that grant experience.,3,135693,200,0,0
Defeat 50 Dungeon Bosses,Defeat dungeon bosses that grant experience.,4,135695,200,0,0
Feast of Winter Veil: Obtain a Finely-Tailored Holiday Hat,"From {EventStartDate} - {EventEndDate}, obtain a Finely-Tailored Holiday Hat",5,135697,50,0,-100
Complete 5 Mythic+ Dungeons,,6,135699,200,0,7
Complete 15 World Quests,,7,136176,150,0,0
Defeat 10 Dragonflight Raid Bosses,,8,136202,200,0,0
Kill Any Raid Boss in Dragonflight at Mythic Difficulty,,9,136211,200,0,0
Earn 7500 Honor,,10,136220,200,0,0
Win 5 Battlegrounds,,11,136222,200,0,0
Win 10 Non-Skirmish Arena Matches,,12,136224,200,0,0
Fulfill Crafting Orders,Speak to a crafting orders clerk to fullfill crafting orders.,13,136242,200,0,0
Win 15 Pet Battles,,14,136244,200,0,0
Defeat Dungeon Bosses in a Cross-Faction Group,Defeat dungeon bosses that grant experience while in a cross-faction group.,16,136248,150,0,0
Complete Quests in Northrend,,17,136250,100,0,0
Complete 5 Wrath of the Lich King timewalking dungeons,,18,136265,250,0,0
Defeat the Lich King,Kill the Lich King in the Icecrown Citadel.,19,136286,50,0,0
Complete Alterac Valley Battlegrounds,,20,136288,100,0,0
Battle Pet Week: Defeat Northrend Master Tamers with a Little Helper,From {EventStartDate} - {EventEndDate} use at least one Little Helper to defeat all Northrend Master Tamers.,21,136291,75,0,-110
Timewalking: Go Fishing in Northrend,From {EventStartDate} - {EventEndDate} fish up items in Northrend.,22,136300,100,0,0
Shiver at Ragnaros,Emote /cold at Ragnaros in the Molten Core.,23,136323,25,0,0
Feast of Winter Veil: Dance Around the Tree While Dressed for the Occasion,"From {EventStartDate} - {EventEndDate}, dance with another player near the festive tree while wearing Winter Garb.",24,136325,50,0,-100
Kill 100 ice elementals,,25,136327,100,0,0
Darkmoon Faire: Complete Target: Turtle,From 12/3 - 12/9 complete the quest Target: Turtle on Darkmoon Faire Island.,26,136357,50,0,-62
Feast of Winter Veil: Kill 3 Festive Bosses,From {EventStartDate} - {EventEndDate} kill three of the following bosses.,27,136359,50,0,-100
Wanderer's Festival: Attend the Festival,From {EventStartDate} - {EventEndDate} attend the Wanderer's Festival at Turtle Beach in Krasarang Wilds.,28,136364,100,0,-70
"Wanderer's Festival: Launch a Lantern and Read ""Waiting for the Turtle""","From {EventStartDate} - {EventEndDate}, launch a lantern and read ""Waiting for the Turtle"" at the Wanderer's Festival in Krasarang Wilds.",29,136366,75,0,-70
Darkmoon Faire: Eat a Corn-Breaded Sausage After Your Ride,"From 12/3 - 12/9 ride the Darkmoon carousel or roller-coaster, then eat a corn-breaded sausage.",30,136369,25,0,-62
Kill the opposing faction leader,,31,136449,400,0,0
Explore a Snowy Region,Fully explore one of the following zones.,32,136527,50,0,0
Complete 5 Cross-Faction Battlegrounds,,33,136652,150,0,0
Feast of Winter Veil: Gain Chillin',"From {EventStartDate} - {EventEndDate}, gain Chillin' from Coldrage's Cooler.",34,136855,25,0,-100
Timewalking: Complete Quests in Draenor,From {EventStartDate} - {EventEndDate} complete quests in Draenor.,36,149949,100,0,0
