ID,OrderIndex,ItemID,CurrencyTypesID,MaxDifficultyAdjustment,ReagentEffectPct,Field_12_0_0_64124_006,ModifiedCraftingCategoryID
1,0,190099,0,0,0,0,57
2,1,190100,0,0,0,0,57
3,2,190101,0,0,0,0,57
4,0,189143,0,0,0,0,59
5,1,188658,0,0,0,0,59
6,2,190311,0,0,0,0,59
7,0,190312,0,0,0,0,60
8,1,190313,0,0,0,0,60
9,2,190314,0,0,0,0,60
10,0,190395,0,0,0,0,61
11,1,190396,0,0,0,0,61
12,2,190394,0,0,0,0,61
13,0,189541,0,0,0,0,62
14,1,189542,0,0,0,0,62
15,2,189543,0,0,0,0,62
16,0,190530,0,0,0,0,63
17,1,190531,0,0,0,0,63
18,2,190532,0,0,0,0,63
19,0,190533,0,0,0,0,64
20,1,190534,0,0,0,0,64
21,2,190535,0,0,0,0,64
22,0,190536,0,0,0,0,65
23,1,190537,0,0,0,0,65
24,2,190538,0,0,0,0,65
25,0,190646,0,0,0,0,66
26,1,190647,0,0,0,0,66
27,2,190648,0,0,0,0,66
28,0,190651,0,0,0,0,67
29,1,190650,0,0,0,0,67
30,2,190649,0,0,0,0,67
31,0,190963,0,0,33,0,69
32,1,190962,0,0,66,0,69
33,2,190961,0,0,100,0,69
35,0,191460,0,0,0,0,71
36,1,191461,0,0,0,0,71
37,2,191462,0,0,0,0,71
38,0,191474,0,0,0,0,72
39,1,191475,0,0,0,0,72
40,2,191476,0,0,0,0,72
41,0,191464,0,0,0,0,73
42,1,191465,0,0,0,0,73
43,2,191466,0,0,0,0,73
44,0,191467,0,0,0,0,74
45,1,191468,0,0,0,0,74
46,2,191469,0,0,0,0,74
47,0,191470,0,0,0,0,75
48,1,191471,0,0,0,0,75
49,2,191472,0,0,0,0,75
50,0,191387,0,0,0,0,76
51,1,191388,0,0,0,0,76
52,2,191389,0,0,0,0,76
53,0,191496,0,0,0,0,77
54,1,191497,0,0,0,0,77
55,2,191498,0,0,0,0,77
56,0,191493,0,0,0,0,78
57,1,191494,0,0,0,0,78
58,2,191495,0,0,0,0,78
59,0,191339,0,0,0,0,79
60,1,191340,0,0,0,0,79
61,2,191341,0,0,0,0,79
62,0,191357,0,0,0,0,80
63,1,191358,0,0,0,0,80
64,2,191359,0,0,0,0,80
65,0,191363,0,0,0,0,81
66,1,191364,0,0,0,0,81
67,2,191365,0,0,0,0,81
74,0,191252,0,35,0,0,85
75,1,191874,0,30,0,0,85
76,2,191875,0,25,0,0,85
80,0,191250,0,35,0,0,87
81,1,191872,0,30,0,0,87
82,2,191873,0,25,0,0,87
83,0,191905,0,0,0,0,89
84,1,191906,0,0,0,0,89
85,2,191907,0,0,0,0,89
86,0,191917,0,0,0,0,90
87,1,191918,0,0,0,0,90
88,2,191919,0,0,0,0,90
89,0,191488,0,0,0,0,91
90,1,191489,0,0,0,0,91
91,2,191490,0,0,0,0,91
92,0,191318,0,0,0,0,92
93,1,191319,0,0,0,0,92
94,2,191320,0,0,0,0,92
95,0,191321,0,0,0,0,93
96,1,191322,0,0,0,0,93
97,2,191323,0,0,0,0,93
98,0,191324,0,0,0,0,94
99,1,191325,0,0,0,0,94
100,2,191326,0,0,0,0,94
101,0,191327,0,0,0,0,95
102,1,191328,0,0,0,0,95
103,2,191329,0,0,0,0,95
104,0,191330,0,0,0,0,96
105,1,191331,0,0,0,0,96
106,2,191332,0,0,0,0,96
107,0,191333,0,0,0,0,97
108,1,191334,0,0,0,0,97
109,2,191335,0,0,0,0,97
110,0,191336,0,0,0,0,98
111,1,191337,0,0,0,0,98
112,2,191338,0,0,0,0,98
113,0,191342,0,0,0,0,99
114,1,191343,0,0,0,0,99
115,2,191344,0,0,0,0,99
116,0,191345,0,0,0,0,100
117,1,191346,0,0,0,0,100
118,2,191347,0,0,0,0,100
119,0,191348,0,0,0,0,101
120,1,191349,0,0,0,0,101
121,2,191350,0,0,0,0,101
122,0,191351,0,0,0,0,102
123,1,191352,0,0,0,0,102
124,2,191353,0,0,0,0,102
125,0,191354,0,0,0,0,103
126,1,191355,0,0,0,0,103
127,2,191356,0,0,0,0,103
128,0,191360,0,0,0,0,104
129,1,191361,0,0,0,0,104
130,2,191362,0,0,0,0,104
134,0,191366,0,0,0,0,106
135,1,191367,0,0,0,0,106
136,2,191368,0,0,0,0,106
140,0,191372,0,0,0,0,108
141,1,191373,0,0,0,0,108
142,2,191374,0,0,0,0,108
143,0,191375,0,0,0,0,109
144,1,191376,0,0,0,0,109
145,2,191377,0,0,0,0,109
146,0,191378,0,0,0,0,110
147,1,191379,0,0,0,0,110
148,2,191380,0,0,0,0,110
149,0,191381,0,0,0,0,111
150,1,191382,0,0,0,0,111
151,2,191383,0,0,0,0,111
152,0,191384,0,0,0,0,112
153,1,191385,0,0,0,0,112
154,2,191386,0,0,0,0,112
158,0,191393,0,0,0,0,114
159,1,191394,0,0,0,0,114
160,2,191395,0,0,0,0,114
161,0,191396,0,0,0,0,115
162,1,191397,0,0,0,0,115
163,2,191398,0,0,0,0,115
164,0,191399,0,0,0,0,116
165,1,191400,0,0,0,0,116
166,2,191401,0,0,0,0,116
170,0,191482,0,0,0,0,118
171,1,191483,0,0,0,0,118
172,2,191484,0,0,0,0,118
173,0,191485,0,0,0,0,119
174,1,191486,0,0,0,0,119
175,2,191487,0,0,0,0,119
176,0,191499,0,0,0,0,120
177,1,191500,0,0,0,0,120
178,2,191501,0,0,0,0,120
179,0,191502,0,0,0,0,121
180,1,191503,0,0,0,0,121
181,2,191504,0,0,0,0,121
182,0,191505,0,0,0,0,122
183,1,191506,0,0,0,0,122
184,2,191507,0,0,0,0,122
185,0,191508,0,0,0,0,123
186,1,191509,0,0,0,0,123
187,2,191510,0,0,0,0,123
188,0,191912,0,0,0,0,124
189,1,191913,0,0,0,0,124
190,2,191914,0,0,0,0,124
191,0,191511,0,0,60,0,125
192,1,191512,0,0,80,0,125
193,2,191513,0,0,100,0,125
194,0,191514,0,0,60,0,126
195,1,191515,0,0,80,0,126
196,2,191516,0,0,100,0,126
197,0,191517,0,0,60,0,127
198,1,191518,0,0,80,0,127
199,2,191519,0,0,100,0,127
200,0,191520,0,0,60,0,128
201,1,191521,0,0,80,0,128
202,2,191522,0,0,100,0,128
203,0,191523,0,0,60,0,129
204,1,191524,0,0,80,0,129
205,2,191525,0,0,100,0,129
206,0,191532,0,35,0,0,130
207,1,191533,0,30,0,0,130
208,2,191534,0,25,0,0,130
209,0,200652,0,25,0,0,131
221,0,192553,0,25,0,0,135
222,1,192554,0,20,0,0,135
223,2,192552,0,15,0,0,135
224,0,192837,0,0,0,0,137
225,1,192838,0,0,0,0,137
