ID,FailureDescription_lang,PlayerConditionID,OrderIndex,MapDifficultyID
1553,This raid is not yet available,68237,0,3065
1554,This raid is not yet available,68265,0,4432
1563,This raid is not yet available,68242,0,4455
1564,This Dungeon is currently not available.,67461,2,31
1565,This dungeon is not yet available,67462,2,35
1992,This raid is not currently open for testing,88118,1,4455
1993,This raid is not currently open for testing,88342,0,3066
1994,This raid is not currently open for testing,88344,0,4454
1995,This raid is not currently open for testing,88346,1,4432
1996,This raid is not currently open for testing,96225,1,3065
1997,This raid is not currently open for testing,88350,0,34
1998,This raid is not currently open for testing,88352,0,4564
2107,This dungeon is not yet available,67461,0,4976
2108,This raid is not currently open for testing,88350,0,4979
2109,This raid is not currently open for testing,88352,0,4980
2110,This raid is not yet available,68265,0,4981
2111,This raid is not currently open for testing,88346,1,4981
2112,This raid is not yet available,128540,0,4982
2113,This raid is not currently open for testing,96225,1,4982
2115,This raid is not currently open for testing,88344,0,4983
2117,This raid is not currently open for testing,88342,0,4984
2118,This raid is not yet available,134782,0,4985
2119,This raid is not currently open for testing,88118,1,4985
2129,,67462,0,5013
3048,,113325,0,30
3049,,113325,0,28
3050,,113325,0,17
3053,,113325,0,20
3054,,113325,0,15
3055,,113325,0,8
3056,,113325,0,31
3057,,113325,0,23
3058,,113325,0,16
3059,,113325,0,33
3060,,113325,0,25
3061,,113325,0,24
3062,,113325,0,13
3066,,113325,0,18
3067,,113325,0,7
3068,,113325,0,19
3069,,113325,0,22
3070,,113325,0,10
3071,,113325,1,4454
3072,,113325,1,4564
3073,,113325,2,3065
3074,,113325,1,34
3075,,113325,1,3066
3076,,113325,2,4432
3077,,113325,2,4455
3078,,113325,0,21
3198,,116908,0,5378
3200,,117769,0,5291
3245,,119041,0,5432
3293,,121227,0,5477
3395,,125884,0,5537
3422,,88350,0,5542
3423,,127046,1,5542
3424,,88350,0,5548
3425,,127047,1,5548
3426,,127099,1,4980
3431,,127624,0,5531
3453,,128786,0,5584
3454,This raid is not yet available,128845,0,5589
3455,This raid is not currently open for testing,88346,1,5589
3476,This raid is not yet available,128845,0,5613
3477,This raid is not currently open for testing,88346,1,5613
3579,,130213,1,5584
3594,,130239,0,5638
3595,,96591,1,5638
3628,,131196,0,5669
3629,,131773,2,34
3630,,131774,2,4564
3660,,68240,2,3066
3661,,132313,1,4984
3662,,132313,1,4983
3663,,133069,1,5669
3664,,132304,0,5709
3665,,68240,2,4454
3666,,134794,0,5740
3667,,134795,1,5740
3669,,121514,0,5788
3745,This raid is not currently open for testing,138556,1,5743
3746,This raid is not yet available,134073,0,5743
3841,,113325,0,5923
3876,You must be level 60 to enter,142900,2,5743
3886,,113325,0,6008
3887,,113325,0,6012
3888,,113325,0,6013
3891,,113325,0,6017
3936,,113325,0,6015
4042,,113325,0,6144
4166,You are not high enough level to enter this Dungeon.,159263,1,10
4167,You are not high enough level to enter this Dungeon.,159263,1,13
4168,,113325,0,5239
4169,You are not high enough level to enter this Dungeon.,159263,1,5239
4170,,113325,0,5240
4171,You are not high enough level to enter this Dungeon.,159263,1,5240
4172,You are not high enough level to enter this Dungeon.,159263,1,33
4173,,113325,0,5250
4174,You are not high enough level to enter this Dungeon.,159263,1,5250
4175,You are not high enough level for this Dungeon.,159264,1,7
4176,,113325,0,5237
4177,You are not high enough level for this Dungeon.,159264,1,5237
4181,You are not high enough level for this Dungeon.,159264,1,8
4182,,113325,0,5238
4183,You are not high enough level for this Dungeon.,159264,1,5238
4184,You are not high enough level for this Dungeon.,159264,1,16
4185,,113325,0,5242
4186,You are not high enough level for this Dungeon.,159264,1,5242
4187,You are not high enough level for this Dungeon.,159265,1,18
4188,,113325,0,5244
4189,You are not high enough level for this Dungeon.,159265,1,5244
4190,You are not high enough level for this Dungeon.,159265,1,15
4191,,113325,0,5241
4192,You are not high enough level for this Dungeon.,159265,1,5241
4193,You are not high enough level for this Dungeon.,159265,1,22
4194,,113325,0,5247
4195,You are not high enough level for this Dungeon.,159265,1,5247
4196,You are not high enough level for this Dungeon.,159267,1,20
4197,,113325,0,5246
4198,You are not high enough level for this Dungeon.,159267,1,5246
4199,You are not high enough level for this Dungeon.,159268,1,17
4200,,113325,0,5243
4201,You are not high enough level for this Dungeon.,159268,1,5243
4202,You are not high enough level for this Dungeon.,159269,1,23
4203,,113325,0,5248
4204,You are not high enough level for this Dungeon.,159269,1,5248
4205,You are not high enough level for this Dungeon.,159270,1,31
4206,,113325,0,5249
4207,You are not high enough level for this Dungeon.,159270,1,5249
4208,You are not high enough level for this Dungeon.,159270,1,19
4209,,113325,0,5245
4210,You are not high enough level for this Dungeon.,159270,1,5245
4211,You are not high enough level for this Dungeon.,159271,1,25
4212,,113325,0,5251
4213,You are not high enough level for this Dungeon.,159271,1,5251
