ID,ParentItemID,ChildItemID,ChildItemEquipSlot
2,127417,1728,15
3,127829,127830,16
23,128292,128293,16
32,128476,128479,16
35,128821,128822,16
37,128832,128831,16
38,128860,128859,16
40,128870,128869,16
41,128872,134552,16
42,128819,128873,16
43,128908,134553,16
44,128911,128934,16
45,128935,128936,16
46,128940,133948,16
51,129738,127830,16
54,128827,133958,16
55,128820,133959,16
56,128289,128288,15
57,128866,128867,15
61,128943,137246,15
63,137661,128867,15
184,237746,237747,16
185,237749,237748,15
189,238199,237747,16
190,238200,237747,16
193,238720,238721,8
194,238723,238724,13
196,238722,238721,8
198,242556,242557,16
199,242559,242560,16
200,242564,242565,16
201,242567,242589,16
202,242568,242603,16
203,242569,242570,16
204,242575,242602,16
205,242577,242576,16
206,242580,242579,16
207,242583,242584,15
208,242587,242586,16
209,242588,242604,16
210,242591,242592,16
211,242593,242594,16
212,242597,242601,16
213,242600,242605,15
