ID,SpellVisualKitId1,SpellVisualKitId2,ModelFileID[0],ModelFileID[1],ModelFileID[2],ModelFileID[3],ModelFileID[4]
1,0,0,240835,240835,240835,240835,240835
2,0,0,165998,165998,165998,165998,165998
24,0,0,165996,165996,165996,165996,165996
25,0,0,166011,166011,166011,166011,166011
26,0,0,0,0,0,0,166007
27,0,0,165995,165995,165995,165995,165995
28,0,0,0,0,0,0,166027
29,0,0,166035,166035,166035,166035,166035
30,0,0,166014,166035,166035,166035,166035
31,0,0,166013,166013,166013,166013,166013
32,0,0,0,0,0,166016,0
33,0,0,0,0,0,166017,0
42,0,0,165997,165997,165997,165997,165997
61,0,0,0,0,0,166021,0
81,0,0,0,0,0,166022,0
101,0,0,0,166012,166012,166012,166012
102,0,0,166034,166034,166034,166034,166034
103,0,0,166032,166032,166032,166032,166032
104,0,0,166031,166031,166031,166031,166031
105,0,0,166009,166009,166009,166009,166009
106,0,0,166004,166004,166004,166004,166004
107,0,0,166010,166010,166010,166010,166010
123,0,0,165993,165993,165993,165993,165993
124,0,0,165992,165992,165992,165992,165992
125,0,0,166005,166005,166005,166005,166005
126,0,0,166030,166030,166030,166030,166030
127,0,0,0,0,0,166003,166003
128,0,0,166008,166008,166008,166008,0
129,0,0,0,166033,166033,166033,166033
130,0,0,165991,165991,165991,165991,165991
131,0,0,0,0,0,166019,0
132,0,0,0,0,0,166018,0
133,0,0,0,0,0,166020,0
134,0,0,0,0,0,166023,0
135,0,0,0,0,0,0,166158
137,0,0,0,0,166492,0,0
138,0,0,166813,166813,166813,166813,166813
139,0,0,166109,166109,166109,166109,166109
140,0,0,166838,166838,166838,166838,166838
141,0,0,0,0,166073,0,0
142,0,0,166060,166060,166060,166060,166060
143,0,0,0,0,0,166109,166109
144,0,0,0,0,0,0,0
145,0,0,166067,166067,166067,166067,166067
146,0,0,166126,166126,166126,166126,166126
147,0,0,166415,166415,166415,166415,166415
148,0,0,0,0,0,165816,165816
149,0,0,0,0,165956,165956,165956
150,0,0,0,0,165943,165943,165943
151,0,0,0,0,0,166336,0
152,0,0,0,0,0,0,167152
153,0,0,0,0,166991,166991,166991
154,0,0,0,0,166899,0,166899
155,0,0,166006,166006,166006,166006,166006
156,0,0,166013,166013,166015,166013,166015
157,0,0,166026,166026,166026,166026,166026
158,0,0,166029,166029,166029,166029,166029
159,0,0,165990,165990,165990,165990,165990
160,0,0,166028,166028,166028,166028,166028
161,0,0,0,0,0,166024,0
162,0,0,0,166000,166000,0,0
164,0,0,166001,166001,166001,166001,166001
165,0,0,166000,166000,166000,166000,166000
166,0,0,166031,166031,166396,166031,166396
167,0,0,166382,166124,0,0,0
168,0,0,0,0,166813,0,0
169,0,0,166003,166003,166003,166003,166003
170,0,0,0,0,0,0,165552
171,0,0,0,0,0,0,166648
172,0,0,0,0,0,0,166109
173,0,0,0,0,0,0,0
174,0,0,0,166492,0,166492,0
175,0,0,0,0,0,166838,0
176,0,0,0,0,0,166000,166000
178,0,0,166012,166012,166015,166012,166015
179,0,0,0,0,0,166497,0
180,0,0,0,165995,0,165996,0
181,0,0,240866,240866,240866,240866,240866
183,0,0,166158,166158,166158,166158,166158
184,0,0,166010,165995,166005,166035,166032
185,0,0,166336,0,166336,0,166336
186,0,0,166006,165995,165997,165995,165997
187,0,0,0,0,0,0,0
188,0,0,0,0,0,0,0
189,0,0,367439,367439,367439,367439,367439
191,0,0,0,0,0,0,195541
