ID,GarrAbilityID,AbilityAction,AbilityTargetType,GarrMechanicTypeID,CombatWeightBase,CombatWeightMax,ActionValueFlat,ActionRace,ActionHours,ActionRecordID,Flags
2,4,0,0,11,100,100,0,0,0,0,0
3,9,0,0,22,100,100,0,0,0,0,0
4,7,0,0,21,100,100,0,0,0,0,0
5,8,0,0,23,100,100,0,0,0,0,0
6,5,0,0,7,300,400,0,0,0,0,0
7,6,0,0,2,300,400,0,0,0,0,0
8,10,0,0,6,300,400,0,0,0,0,0
9,11,0,0,3,300,400,0,0,0,0,0
46,29,4,1,0,0,0,1.5,0,0,0,0
47,30,4,2,0,0,0,1.25,0,0,0,0
58,36,0,0,16,100,100,0,0,0,0,0
59,37,0,0,15,100,100,0,0,0,0,0
60,38,0,0,12,100,100,0,0,0,0,0
61,39,0,0,20,100,100,0,0,0,0,0
62,40,0,0,17,100,100,0,0,0,0,0
63,41,0,0,18,100,100,0,0,0,0,0
64,42,0,0,19,100,100,0,0,0,0,0
65,43,0,0,14,100,100,0,0,0,0,0
66,44,0,0,26,100,100,0,0,0,0,0
67,45,0,0,24,100,100,0,0,0,0,0
68,46,0,0,25,100,100,0,0,0,0,0
69,47,2,0,0,300,300,0,0,0,0,0
70,48,0,0,28,100,100,0,0,0,0,0
71,49,0,0,29,100,100,0,0,0,0,0
73,42,0,0,13,50,50,0,0,0,0,0
75,52,12,0,0,0,0,0,0,0,0,0
76,53,12,0,0,0,0,0,0,0,0,0
77,54,12,0,0,0,0,0,0,0,0,0
78,55,12,0,0,0,0,0,0,0,0,0
79,56,12,0,0,0,0,0,0,0,0,0
80,57,12,0,0,0,0,0,0,0,0,0
81,58,12,0,0,0,0,0,0,0,0,0
82,59,12,0,0,0,0,0,0,0,0,0
83,60,12,0,0,0,0,0,0,0,0,0
84,61,12,0,0,0,0,0,0,0,0,0
85,62,12,0,0,0,0,0,0,0,0,0
86,63,5,1,0,150,150,0,6,0,0,0
87,64,5,1,0,150,150,0,2,0,0,0
88,65,5,1,0,150,150,0,5,0,0,0
89,66,5,1,0,150,150,0,8,0,0,0
90,67,5,1,0,150,150,0,4,0,0,0
91,68,5,1,0,150,150,0,14,0,0,0
92,69,5,1,0,150,150,0,10,0,0,0
93,70,5,1,0,150,150,0,9,0,0,0
94,71,5,1,0,150,150,0,13,0,0,0
95,72,5,1,0,150,150,0,11,0,0,0
96,73,5,1,0,150,150,0,12,0,0,0
97,74,5,1,0,150,150,0,3,0,0,0
98,75,5,1,0,150,150,0,7,0,0,0
99,76,6,1,0,100,100,0,0,7,0,0
100,77,7,1,0,100,100,0,0,7,0,0
101,78,1,1,0,100,100,0,0,0,0,0
102,79,8,1,0,0,0,2,0,0,824,0
103,80,4,2,0,0,0,1.3,0,0,0,0
123,100,0,0,1,300,400,0,0,0,0,0
124,101,0,0,7,300,400,0,0,0,0,0
125,102,0,0,6,300,400,0,0,0,0,0
126,103,0,0,10,300,400,0,0,0,0,0
127,104,0,0,9,300,400,0,0,0,0,0
128,105,0,0,8,300,400,0,0,0,0,0
129,106,0,0,3,300,400,0,0,0,0,0
130,107,0,0,4,300,400,0,0,0,0,0
131,108,0,0,1,300,400,0,0,0,0,0
138,114,0,0,1,300,400,0,0,0,0,0
139,115,0,0,2,300,400,0,0,0,0,0
140,116,0,0,7,300,400,0,0,0,0,0
141,117,0,0,8,300,400,0,0,0,0,0
142,118,0,0,10,300,400,0,0,0,0,0
143,119,0,0,4,300,400,0,0,0,0,0
144,120,0,0,7,300,400,0,0,0,0,0
145,121,0,0,8,300,400,0,0,0,0,0
146,122,0,0,10,300,400,0,0,0,0,0
147,123,0,0,1,300,400,0,0,0,0,0
148,124,0,0,2,300,400,0,0,0,0,0
149,125,0,0,4,300,400,0,0,0,0,0
150,126,0,0,8,300,400,0,0,0,0,0
151,127,0,0,9,300,400,0,0,0,0,0
152,128,0,0,3,300,400,0,0,0,0,0
153,129,0,0,10,300,400,0,0,0,0,0
154,130,0,0,7,300,400,0,0,0,0,0
155,131,0,0,10,300,400,0,0,0,0,0
156,132,0,0,2,300,400,0,0,0,0,0
157,133,0,0,10,300,400,0,0,0,0,0
158,134,0,0,9,300,400,0,0,0,0,0
159,135,0,0,3,300,400,0,0,0,0,0
160,136,0,0,4,300,400,0,0,0,0,0
161,137,0,0,7,300,400,0,0,0,0,0
162,138,0,0,10,300,400,0,0,0,0,0
163,139,0,0,10,300,400,0,0,0,0,0
164,140,0,0,1,300,400,0,0,0,0,0
165,141,0,0,2,300,400,0,0,0,0,0
166,142,0,0,3,300,400,0,0,0,0,0
167,143,0,0,6,300,400,0,0,0,0,0
168,144,0,0,9,300,400,0,0,0,0,0
169,145,0,0,4,300,400,0,0,0,0,0
170,146,0,0,10,300,400,0,0,0,0,0
171,147,0,0,8,300,400,0,0,0,0,0
172,148,0,0,4,300,400,0,0,0,0,0
173,149,0,0,10,300,400,0,0,0,0,0
174,150,0,0,7,300,400,0,0,0,0,0
175,151,0,0,9,300,400,0,0,0,0,0
176,152,0,0,10,300,400,0,0,0,0,0
177,153,0,0,10,300,400,0,0,0,0,0
178,154,0,0,7,300,400,0,0,0,0,0
179,155,0,0,8,300,400,0,0,0,0,0
180,156,0,0,6,300,400,0,0,0,0,0
181,157,0,0,9,300,400,0,0,0,0,0
182,158,0,0,10,300,400,0,0,0,0,0
183,159,0,0,2,300,400,0,0,0,0,0
184,160,0,0,6,300,400,0,0,0,0,0
185,161,0,0,7,300,400,0,0,0,0,0
186,162,0,0,10,300,400,0,0,0,0,0
187,163,0,0,1,300,400,0,0,0,0,0
188,164,0,0,2,300,400,0,0,0,0,0
189,165,0,0,6,300,400,0,0,0,0,0
190,166,0,0,8,300,400,0,0,0,0,0
191,167,0,0,9,300,400,0,0,0,0,0
192,168,0,0,2,300,400,0,0,0,0,0
193,169,0,0,10,300,400,0,0,0,0,0
194,170,0,0,6,300,400,0,0,0,0,0
195,171,0,0,8,300,400,0,0,0,0,0
196,172,0,0,9,300,400,0,0,0,0,0
197,173,0,0,10,300,400,0,0,0,0,0
198,174,0,0,2,300,400,0,0,0,0,0
199,175,0,0,3,300,400,0,0,0,0,0
200,176,0,0,4,300,400,0,0,0,0,0
201,177,0,0,10,300,400,0,0,0,0,0
202,178,0,0,7,300,400,0,0,0,0,0
203,179,0,0,8,300,400,0,0,0,0,0
204,180,0,0,9,300,400,0,0,0,0,0
205,181,0,0,10,300,400,0,0,0,0,0
206,182,0,0,6,300,400,0,0,0,0,0
207,183,0,0,10,300,400,0,0,0,0,0
230,199,4,0,0,0,0,1.1,0,0,0,0
231,200,4,0,0,0,0,1.2,0,0,0,0
232,201,2,0,0,100,100,0,0,0,0,0
233,202,2,0,0,200,200,0,0,0,0,0
234,203,15,0,0,0,0,0.8,0,0,0,0
235,204,15,0,0,0,0,0.6,0,0,0,0
236,205,8,0,0,0,0,1.1,0,0,0,0
237,206,8,0,0,0,0,1.2,0,0,0,0
260,221,17,1,0,0,0,0.5,0,0,0,0
261,222,17,0,0,0,0,0.75,0,0,0,0
267,227,0,0,28,0,0,0,0,0,0,0
268,228,0,0,28,0,0,0,0,0,0,0
273,232,0,0,6,200,200,0,0,0,0,0
278,236,4,2,0,0,0,1.35,0,0,0,0
279,231,4,0,0,0,0,0,0,0,0,0
288,244,1,1,0,300,300,0,0,0,0,0
301,249,0,0,6,300,400,0,0,0,0,0
302,248,18,7,0,0,0,0,0,0,0,0
303,250,17,2,0,0,0,0.5,0,0,0,0
305,54,0,0,60,100,100,0,0,0,0,0
