ID,PathID,LegIndex,LoadingScreenID,Locx[0],Locx[1],Locx[2],Locx[3],Locx[4],Locx[5],Locx[6],Locx[7],Locx[8],Locx[9],Locy[0],Locy[1],Locy[2],Locy[3],Locy[4],Locy[5],Locy[6],Locy[7],Locy[8],Locy[9]
101,241,0,0,0.28287134,0.534392,0.652557,0.71844864,0,0,0,0,0,0,0.47385275,0.376238,0.19604,0.18675256,0,0,0,0,0,0
102,241,1,0,0.71844864,0.679012,0.525573,0.28287134,0,0,0,0,0,0,0.18675256,0.223762,0.251485,0.47385275,0,0,0,0,0,0
123,285,0,0,0.72633713,0.571429,0.439153,0.3006033,0,0,0,0,0,0,0.24784398,0.384158,0.423762,0.5535616,0,0,0,0,0,0
124,285,1,0,0.3006033,0.439153,0.574956,0.72633713,0,0,0,0,0,0,0.5535616,0.417822,0.362376,0.24784398,0,0,0,0,0,0
143,301,0,0,0.7267801,0.749559,0.768959,0.779541,0.744268,0.768959,0.72625405,0,0,0,0.2497679,0.30099,0.4,0.522772,0.621782,0.704951,0.73713845,0,0,0
144,301,1,0,0.72625405,0.779541,0.740741,0.693122,0.663139,0.675485,0.7267801,0,0,0,0.73713845,0.706931,0.631683,0.524752,0.394059,0.285149,0.2497679,0,0,0
145,292,0,0,0.7446913,0.693122,0.610229,0.546737,0.455026,0.368607,0.30305713,0,0,0,0.5361264,0.540594,0.481188,0.4,0.382178,0.40396,0.3724419,0,0,0
146,292,1,0,0.30305713,0.359788,0.421517,0.506173,0.585538,0.670194,0.7446913,0,0,0,0.3724419,0.419802,0.546535,0.590099,0.560396,0.528713,0.5361264,0,0,0
147,295,0,0,0.7444508,0.687831,0.617284,0.536155,0.414462,0.285714,0.215168,0.17812443,0,0,0.5427198,0.540594,0.607921,0.69901,0.788119,0.833663,0.792079,0.72350276,0,0
148,295,1,0,0.17812443,0.186949,0.285714,0.363316,0.412698,0.502645,0.589065,0.686067,0.7444508,0,0.72350276,0.768317,0.837624,0.790099,0.677228,0.59802,0.562376,0.540594,0.5427198,0
163,302,0,0,0.30120367,0.366843,0.474427,0.550265,0.638448,0.72495764,0,0,0,0,0.5521218,0.566337,0.631683,0.685149,0.734653,0.73713094,0,0,0,0
164,302,1,0,0.72495764,0.719577,0.680776,0.622575,0.52381,0.458554,0.366843,0.30120367,0,0,0.73713094,0.774257,0.79802,0.786139,0.681188,0.619802,0.564356,0.5521218,0,0
