ID,Difficulty[0],Difficulty[1],Difficulty[2],Difficulty[3],Difficulty[4],Difficulty[5],Difficulty[6],Difficulty[7],Difficulty[8],Difficulty[9]
1,0,5,15,30,40,55,110,165,220,0
2,0,10,30,60,90,120,240,360,480,0
3,0,20,50,100,150,200,400,600,800,0
4,0,35,90,180,270,360,720,1080,1440,0
5,0,55,140,285,425,565,1130,1695,2260,0
6,0,80,200,400,600,800,1600,2400,3200,0
7,0,100,255,510,760,1015,2030,3045,4060,0
8,0,145,370,735,1105,1470,2940,4410,5880,0
9,0,170,430,860,1290,1720,3440,5160,6880,0
10,0,200,500,1000,1500,2000,4000,6000,8000,0
11,0,715,1790,3575,5365,7150,14300,21450,28600,0
12,0,1230,3075,6150,9225,12300,24600,36900,49200,0
13,0,1745,4365,8725,13090,17450,34900,52350,69800,0
14,0,2260,5650,11300,16950,22600,45200,67800,90400,0
15,0,2775,6940,13875,20815,27750,55500,83250,111000,0
16,0,3290,8225,16450,24675,32900,65800,98700,131600,0
17,0,3805,9515,19025,28540,38050,76100,114150,152200,0
18,0,4320,10800,21600,32400,43200,86400,129600,172800,0
19,0,4835,12090,24175,36265,48350,96700,145050,193400,0
20,0,5350,13375,26750,40125,53500,107000,160500,214000,0
21,0,5865,14665,29325,43990,58650,117300,175950,234600,0
22,0,6380,15950,31900,47850,63800,127600,191400,255200,0
23,0,6895,17240,34475,51715,68950,137900,206850,275800,0
24,0,7410,18525,37050,55575,74100,148200,222300,296400,0
25,0,7925,19815,39625,59440,79250,158500,237750,317000,0
26,0,8440,21100,42200,63300,84400,168800,253200,337600,0
27,0,8955,22390,44775,67165,89550,179100,268650,358200,0
28,0,9470,23675,47350,71025,94700,189400,284100,378800,0
29,0,9985,24965,49925,74890,99850,199700,299550,399400,0
30,0,10500,26250,52500,78750,105000,210000,315000,420000,0
31,0,11150,27870,55740,83610,111480,222960,334440,445920,0
32,0,11795,29490,58980,88470,117960,235920,353880,471840,0
33,0,12445,31110,62220,93330,124440,248880,373320,497760,0
34,0,13090,32730,65460,98190,130920,261840,392760,523680,0
35,0,13740,34350,68700,103050,137400,274800,412200,549600,0
36,0,14390,35970,71940,107910,143880,287760,431640,575520,0
37,0,15035,37590,75180,112770,150360,300720,451080,601440,0
38,0,15685,39210,78420,117630,156840,313680,470520,627360,0
39,0,16330,40830,81660,122490,163320,326640,489960,653280,0
40,0,16980,42450,84900,127350,169800,339600,509400,679200,0
41,0,17630,44070,88140,132210,176280,352560,528840,705120,0
42,0,18275,45690,91380,137070,182760,365520,548280,731040,0
43,0,18925,47310,94620,141930,189240,378480,567720,756960,0
44,0,19570,48930,97860,146790,195720,391440,587160,782880,0
45,0,20220,50550,101100,151650,202200,404400,606600,808800,0
46,0,20855,52140,104280,156420,208560,417120,625680,834240,0
47,0,21490,53730,107460,161190,214920,429840,644760,859680,0
48,0,22130,55320,110640,165960,221280,442560,663840,885120,0
49,0,22765,56910,113820,170730,227640,455280,682920,910560,0
50,0,23400,58500,117000,175500,234000,468000,702000,936000,0
51,0,23635,59085,118170,177255,236340,472680,709020,945360,0
52,0,23870,59670,119340,179010,238680,477360,716040,954720,0
53,0,24100,60255,120510,180765,241020,482040,723060,964080,0
54,0,24335,60840,121680,182520,243360,486720,730080,973440,0
55,0,24570,61425,122850,184275,245700,491400,737100,982800,0
56,0,24805,62010,124020,186030,248040,496080,744120,992160,0
57,0,25040,62595,125190,187785,250380,500760,751140,1001520,0
58,0,25270,63180,126360,189540,252720,505440,758160,1010880,0
59,0,25505,63765,127530,191295,255060,510120,765180,1020240,0
60,0,25740,64350,128700,193050,257400,514800,772200,1029600,0
61,0,25975,64937,129874,194811,259748,519496,779244,1038992,0
62,0,26210,65525,131050,196575,262100,524200,786300,1048400,0
63,0,26445,66112,132224,198336,264448,528896,793344,1057792,0
64,0,26680,66700,133400,200100,266800,533600,800400,1067200,0
65,0,26915,67287,134574,201861,269148,538296,807444,1076592,0
66,0,27150,67875,135750,203625,271500,543000,814500,1086000,0
67,0,27385,68462,136924,205386,273848,547696,821544,1095392,0
