ID,LabelID,CreatureDifficultyID
72172,3994,321344
72173,3994,321378
72174,3994,321384
72175,3994,321837
72367,5294,327428
72369,5298,327430
76767,5573,328796
76768,5573,328797
76786,5575,332124
76787,5575,7092
76788,5575,7086
76857,5578,325492
76858,5578,325509
76859,5578,325501
76860,5578,326536
76861,5578,326534
76862,5578,326526
76863,5578,326130
76864,5578,326421
76865,5578,326525
77054,5588,328806
77061,5575,332652
77148,5575,332997
77260,5620,329073
77261,5621,329334
78426,5819,328802
78486,5588,328802
78491,5588,336098
78492,5819,336098
82440,5909,332891
82441,5909,332924
82442,5909,332944
82443,5909,332945
82450,5620,339738
82745,5573,340144
85107,5909,343063
85108,5909,343064
85109,5909,343065
85717,5620,344029
85857,5575,344183
87351,5588,346701
87356,5588,346734
87938,6520,3859
87939,6520,239220
87940,6520,898
87941,6520,3855
87942,6520,239214
87943,6520,533
87944,6520,3789
87945,6520,3854
87946,6520,239579
87947,6520,6170
87948,6520,205
87949,6520,3791
87950,6520,206
87951,6520,3792
87952,6520,4279
87953,6520,239374
87954,6520,920
87955,6520,2529
87956,6520,239475
87957,6520,231760
87958,6520,270799
87959,6520,270800
87960,6520,3852
87961,6520,239581
87962,6520,3857
87963,6520,239361
87964,6520,3914
87965,6520,239582
87966,6520,3886
87967,6520,239583
87968,6520,3927
87969,6520,239304
87970,6520,507
87971,6520,1769
87972,6520,1770
87973,6520,1896
87974,6520,3529
87975,6520,3531
87976,6520,3533
87977,6520,3851
87978,6520,239580
87979,6520,3853
87980,6520,239213
87981,6520,1779
87982,6520,1782
87983,6520,1892
87984,6520,1924
87985,6520,2106
87986,6520,3860
87987,6520,239426
87988,6520,343087
87989,6520,1893
87990,6520,1972
87991,6520,270835
87992,6520,534
87993,6520,9029
87994,6520,238990
88061,6531,3717
88063,6531,2182
88067,6531,2370
88068,6531,4803
88069,6531,238859
88070,6531,266144
88071,6531,14277
88072,6531,258231
88073,6531,4831
88074,6531,238862
88075,6531,10559
88076,6531,2180
88077,6531,12321
88078,6531,3715
88079,6531,2371
88080,6531,4805
88081,6531,264060
88082,6531,238858
88083,6531,7016
88084,6531,4802
88085,6531,264035
88086,6531,238861
88087,6531,266143
88088,6531,3943
88089,6531,5335
88090,6531,2596
88091,6531,3944
88092,6531,4717
88093,6531,4719
88094,6531,6193
88095,6531,236587
88096,6531,236588
88097,6531,236596
88098,6531,264050
88099,6531,267751
88100,6531,4371
88101,6531,4718
88102,6531,6197
88103,6531,12205
88104,6531,5337
88105,6531,5336
88106,6531,6649
88107,6531,319097
88108,6531,5343
88109,6531,10956
88110,6531,4370
88111,6531,4712
88112,6531,6195
88113,6531,7886
88114,6531,15526
88115,6531,233168
88116,6531,263911
88118,6531,2179
88119,6531,2181
88120,6531,4807
88121,6531,264059
88122,6531,238860
88123,6531,7017
88124,6531,2368
88127,6531,3713
88128,6531,8409
88129,6531,2541
88130,6531,2807
88131,6531,5332
88132,6531,1491
88133,6531,1907
88134,6531,3711
88135,6531,4713
88136,6531,6190
88137,6531,4714
88138,6531,6194
88139,6531,12204
88140,6531,2779
88141,6531,4366
88142,6531,5334
88143,6531,4364
88144,6531,5331
88145,6531,14229
88146,6531,319094
88147,6531,2775
88148,6531,8617
88149,6531,2595
88150,6531,2369
88151,6531,6650
88152,6531,8136
88153,6531,12369
88154,6531,4368
88155,6531,5333
88156,6531,3712
88157,6531,4711
88158,6531,4715
88159,6531,6196
88160,6531,345694
88161,6531,4716
88162,6531,7885
88163,6531,2183
88164,6531,8408
88165,6531,16072
88166,6531,233191
88167,6531,233753
88168,6531,238454
88169,6531,263965
88170,6532,286
88171,6532,1545
88172,6532,1768
88173,6532,2201
88174,6532,329875
88175,6532,338936
88176,6532,752
88177,6532,6351
88178,6532,578
88179,6532,751
88180,6532,875
88181,6532,1418
88182,6532,14230
88183,6532,234056
88184,6532,46
88185,6532,515
88186,6532,1543
88187,6532,1767
88188,6532,8796
88189,6532,14446
88190,6532,14681
88191,6532,230673
88192,6532,2208
88193,6532,4361
88194,6532,4458
88195,6532,9916
88196,6532,456
88197,6532,1024
88198,6532,1029
88199,6532,338935
88200,6532,338941
88201,6532,422
88202,6532,747
88203,6532,871
88204,6532,1027
88205,6532,6371
88206,6532,735
88207,6532,1541
88208,6532,519
88209,6532,1908
88210,6532,2205
88211,6532,3739
88212,6532,14276
88213,6532,285
88214,6532,520
88215,6532,1259
88216,6532,2206
88217,6532,3740
88218,6532,4359
88219,6532,4457
88220,6532,260730
88221,6532,458
88222,6532,1909
88223,6532,270550
88224,6532,338937
88225,6532,338940
88226,6532,339861
88227,6532,126
88228,6532,732
