ID,VirtualSeatIndex,XPos,YPos,VehicleUIIndicatorID
221,1,0.504,0.778,221
222,2,0.693,0.293,221
223,1,0.5,0.802,222
224,2,0.705,0.347,222
225,3,0.307,0.345,222
226,1,0.501,0.14,223
227,2,0.698,0.799,223
228,3,0.303,0.799,223
229,4,0.5,0.578,223
230,1,0.653,0.712,224
231,1,0.348,0.76,225
232,2,0.652,0.76,225
233,1,0.508,0.681,226
234,2,0.663,0.71,226
235,1,0.5,0.229,227
236,4,0.5,0.601,227
237,1,0.505,0.387,228
238,2,0.505,0.563,228
242,1,0.5,0.55,249
257,1,0.5,0.229,254
259,4,0.5,0.601,254
679,1,0.247,0.67,489
681,2,0.754,0.67,489
775,1,0.495,0.8,559
777,1,0.495,0.587,561
879,1,0.298,0.527,664
881,2,0.712,0.523,664
885,1,0.5,0.58,669
887,1,0.5,0.3,671
889,1,0.492,0.725,670
