Name_lang,Pos[0],Pos[1],Pos[2],Rot[0],Rot[1],Rot[2],Rot[3],ID,OwnerID,DisplayID,Flags,Scale,TypeID,PhaseUseFlags,PhaseID,PhaseGroupID,Field_11_0_0_54210_011,PropValue[0],PropValue[1],PropValue[2],PropValue[3],PropValue[4],PropValue[5],PropValue[6],PropValue[7]
Old Coast Road,-9979.134,1007.3246,32.758778,0.100685,-0.025143987,0.052290972,0.99322504,80,0,22,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Sentinel Hill,-9978.25,1006.5087,31.759172,0.009525008,0.056056038,0.99837375,-0.0041099144,81,0,22,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Elwynn Forest,-9978.594,1007.7535,32.285603,0.08098299,-0.024925988,-0.65145093,0.75394434,82,0,22,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Jangolode Mine,-9977.337,1009.8611,31.468832,0.21970919,-0.6859214,0.1600136,0.6750077,83,0,22,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Old Coast Road,-10912.044,1420.3463,42.525867,-0.056856,0.000639,-0.065544,0.996228,84,0,22,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Duskwood,-10910.86,1420.1365,43.48199,-0.018991,0.090445,0.993666,0.063928,85,0,22,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Elwynn Forest,-10670.271,1022.0643,32.610367,0.032456998,-0.007080994,-0.813898,0.58005726,86,0,22,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Moonbrook,-10670.622,1020.8594,33.414265,-0.0034610014,0.00463,0.57775503,0.81618977,87,0,22,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Duskwood,-10670.618,1020.9097,31.582588,0,0,0.5807031,0.8141154,88,0,22,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Northshire Abbey,-9430.913,62.53472,56.778767,0,0,1,0,89,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Stormwind City,-9430.868,64.510414,56.78524,0,0,0,1,90,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Northshire Abbey,-9499.406,66.82118,56.01195,0,0,-0.79335314,0.60876167,91,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Stormwind City,-9499.422,66.829865,56.56776,0,0,-0.793353,0.60876185,92,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Westbrook Garrison,-9500.087,68.00347,56.549225,0,0,-0.13052632,0.9914448,93,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Westfall,-9500.08,67.98264,55.993015,0,0,-0.13052632,0.9914448,94,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Eastvale Logging Camp,-9500.56,66.078125,56.56288,0,0,0.9914449,0.13052589,95,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Redridge,-9500.542,66.06944,56.007244,0,0,0.9914449,0.13052589,96,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Goldshire,-9647.844,-1335.7396,49.683914,0,0,-0.13052632,0.9914448,97,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Stormwind City,-9647.837,-1335.7604,49.131382,0,0,-0.13052632,0.9914448,98,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Redridge,-9648.317,-1337.6649,49.67809,0,0,0.9914449,0.13052589,99,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Eastvale Logging Camp,-9647.179,-1336.9132,49.677826,0,0,-0.793353,0.60876185,100,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Stranglethorn,-10542.549,-1180.2639,27.826527,0,0,0.601815,0.79863554,101,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Raven Hill,-10542.639,-1180.243,26.493055,0,0,0.601815,0.79863554,102,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Deadwind Pass,-10541.717,-1181.6858,27.835024,0,0,0.9902681,0.13917309,103,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Redridge,-10540.255,-1180.842,27.84214,0,0,-0.7986352,0.60181546,104,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Stranglethorn,-10812.545,304.43057,31.439976,0,0,0.99026805,-0.1391732,105,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Westfall,-10813.27,306.68057,31.47379,0,0,0.13917296,0.9902681,106,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Darkshire,-10812.514,304.34375,30.051752,0,0,0.99026805,-0.1391732,107,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Raven Hill,-10811.799,305.89584,31.43815,0,0,-0.6018151,0.7986354,108,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Westfall,-10891.935,-366.62033,37.336914,0,0,-0.143492,0.989651,109,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Stranglethorn,-10893.372,-367.5454,38.744946,0,0,0.598325,0.801253,110,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Raven Hill,-10891.958,-366.70914,38.728516,0,0,-0.143492,0.989651,111,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Darkshire,-10892.554,-368.99664,38.730274,0,0,0.989651,0.143493,112,0,27,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Duskwood,-9590.624,-1929.1012,63.487583,0,0,0.811574,0.58425,113,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Lakeshire,-9589.399,-1929.7511,63.440132,0,0,0.986996,-0.160743,114,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Elwynn,-9588.763,-1928.5435,63.444355,0,0,-0.58425,0.811574,115,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Stonewatch Keep,-9589.389,-1929.7739,62.887146,0,0,0.986996,-0.160743,116,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
Lakeshire,-9635.474,-2087.1858,61.253147,0,0,-0.8362861,0.54829323,117,0,26,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0
