ID,Directory,MapName_lang,MapDescription0_lang,MapDescription1_lang,Field_1_60_1_69876_004_lang,Field_1_60_1_69876_005_lang,Field_1_60_1_69876_006[0],Field_1_60_1_69876_006[1],MapType,InstanceType,Field_1_60_1_69876_009,AreaTableID,LoadingScreenID,TimeOfDayOverride,Field_1_60_1_69876_013,Field_1_60_1_69876_014,Field_1_60_1_69876_015,MinimapIconScale,CorpseMapID,MaxPlayers,RaidOffset,ZmpFileDataID,Field_1_60_1_69876_021,Field_1_60_1_69876_022,Field_1_60_1_69876_023,Field_1_60_1_69876_024,Flags[0],Flags[1],Flags[2]
0,Azeroth,Eastern Kingdoms,,,,,0,0,1,0,0,0,4,-1,-1,-1,0,1,-1,0,136,804940,775971,1250,0,0,159399517,135528464,2277510
1,Kalimdor,Kalimdor,,,,,0,0,1,0,0,0,3,-1,-1,-1,0,1,-1,0,136,804935,782779,1250,0,0,159399517,135528464,2277510
13,test,Test Dungeon,,,,,0,0,2,1,0,13649,61,-1,-1,-1,0,1,-1,0,0,0,857697,2,0,0,411057731,393216,2
25,ScottTest,Scott Test,,,,,0,0,2,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,863335,2,0,0,67073,8,130
29,TEST_01,CashTest,,,,,0,0,2,1,0,0,0,-1,-1,-1,0,1,-1,10,0,0,2323096,2,0,0,67073,8,130
30,PVPZone01,Alterac Valley,"Hidden within the Alterac Mountains, Alterac Valley is the home of Thrall's own clan of orcs, the Frostwolves. The Stormpike dwarves have established a foothold in the valley and seek to plumb its depths for riches and links to their ancestral past. The territorial Frostwolves, unwilling to suffer the dwarven incursion, have rallied an army... an army eager for righteous slaughter.","Hidden within the Alterac Mountains, Alterac Valley is the home of Thrall's own clan of orcs, the Frostwolves. The Stormpike dwarves have established a foothold in the valley and seek to plumb its depths for riches and links to their ancestral past. The territorial Frostwolves, unwilling to suffer the dwarven incursion, have rallied an army... an army eager for righteous slaughter.",,,0,0,1,3,0,0,104,-1,-1,-1,0,1,-1,0,0,0,790112,2,0,0,81425,262152,2277506
33,Shadowfang,Shadowfang Keep,,,,,-230.98936,1571.5703,1,1,0,0,204,-1,-1,-1,0,1,0,10,0,0,790796,2,0,0,81425,262144,2277506
34,StormwindJail,Stormwind Stockade,,,,,-8762.379,848.0103,2,1,0,717,194,-1,-1,-1,0,1,0,10,0,0,791060,2,0,0,67073,0,2277506
35,StormwindPrison,<unused>StormwindPrison,,,,,-8762.477,848.04913,2,0,0,717,23,-1,-1,-1,0,1,0,0,0,0,870849,2,0,0,67073,8,130
36,DeadminesInstance,Deadmines,,,,,-11207.799,1681.1509,1,1,0,0,142,-1,-1,-1,0,1,0,10,0,0,780605,2,0,0,81425,262144,180354
37,PVPZone02,Azshara Crater,Crush the Alliance!,Defend yourself from the onslaught of the Horde!,,,0,0,1,0,0,0,25,-1,-1,-1,0,1,-1,0,0,0,861092,2,0,0,81425,262152,131202
42,Collin,Collin's Test,,,,,0,0,2,0,0,0,0,-1,-1,-1,0,1,-1,0,0,0,863984,2,0,0,67073,8,130
43,WailingCaverns,Wailing Caverns,,,,,-751.1312,-2209.2405,2,1,0,718,143,-1,-1,-1,0,1,1,10,0,0,791429,2,0,0,67073,0,130
44,Monastery,<unused> Monastery,,,,,2892.4133,-811.24133,2,1,0,0,42,-1,-1,-1,0,1,0,10,0,0,865519,2,0,0,67073,8,130
47,RazorfenKraulInstance,Razorfen Kraul,,,,,-4459.449,-1660.2118,1,1,0,0,188,-1,-1,-1,0,1,1,10,0,0,790640,2,0,0,81425,262144,130
48,Blackfathom,Blackfathom Deeps,,,,,4249.1206,748.3871,2,1,0,719,196,-1,-1,-1,0,1,1,10,0,0,780169,2,0,0,67073,0,130
70,Uldaman,Uldaman,,,,,-6060.1816,-2954.9973,2,1,0,1337,144,-1,-1,-1,0,1,0,10,0,0,791372,2,0,0,67073,0,130
90,GnomeragonInstance,Gnomeregan,,,,,-5162.6616,931.59875,2,1,0,721,193,-1,-1,-1,0,1,0,10,0,0,782773,2,0,0,67073,0,130
109,SunkenTemple,Sunken Temple,,,,,-10170.1,-3995.97,2,1,0,1477,191,-1,-1,-1,0,1,0,20,0,0,791166,2,0,0,67073,0,130
129,RazorfenDowns,Razorfen Downs,,,,,-4662.883,-2535.8716,1,1,0,0,145,-1,-1,-1,0,1,1,10,0,0,790517,2,0,0,81425,262144,130
169,EmeraldDream,Emerald Dream,,,,,0,0,1,2,0,0,0,-1,-1,-1,0,1,-1,40,0,0,780817,2,0,0,16858641,262152,130
189,MonasteryInstances,Scarlet Monastery,,,,,2892.2354,-811.2637,1,1,0,0,190,-1,-1,-1,0,1,0,10,17,0,788662,2,0,0,81425,134479872,2277506
209,TanarisInstance,Zul'Farrak,,,,,-6790.5767,-2891.278,1,1,0,0,146,-1,-1,-1,0,1,1,10,0,0,791169,2,0,0,81433,262144,2277510
229,BlackRockSpire,Blackrock Spire,,,,,-7522.527,-1233.0415,2,1,0,1583,189,-1,-1,-1,0,1,0,10,0,0,780175,2,0,0,67073,0,130
230,BlackrockDepths,Blackrock Depths,,,,,-7178.0947,-928.63947,2,1,0,1584,103,-1,-1,-1,0,1,0,5,0,0,780172,2,0,0,67073,0,130
249,OnyxiaLairInstance,Onyxia's Lair,,,,,-4753.3125,-3752.4211,2,2,0,2159,61,-1,-1,-1,0,1,1,40,0,0,789922,2,0,0,16844289,128,130
269,CavernsOfTime,Caverns of Time,,,,,0,0,1,1,0,0,4,-1,-1,-1,0,1,0,10,0,0,829736,2,0,0,81425,262144,130
289,SchoolofNecromancy,Scholomance,,,,,1274.7812,-2552.564,1,1,0,0,102,-1,-1,-1,0,1,0,5,0,0,790713,2,0,0,81425,262144,130
309,Zul'gurub,Zul'Gurub,,,,,-11916.06,-1224.5771,1,2,0,1977,161,-1,-1,-1,0,1,0,20,0,0,791432,2,0,0,16858641,262144,131202
329,Stratholme,Stratholme,,,,,3392.317,-3378.4832,1,1,0,0,101,-1,-1,-1,0,1,0,5,0,0,791063,2,0,0,81425,262144,130
349,Mauradon,Maraudon,,,,,-1432.6971,2924.9775,2,1,0,2100,81,-1,-1,-1,0,1,1,10,0,0,788656,2,0,0,67073,0,130
369,DeeprunTram,Deeprun Tram,,,,,-8349.224,517.34796,2,0,0,2257,205,-1,-1,-1,0,1,0,0,0,0,780788,2,0,0,67073,1048584,130
389,OrgrimmarInstance,Ragefire Chasm,,,,,1816.7559,-4423.3716,2,1,0,2437,195,-1,-1,-1,0,1,1,10,0,0,789981,2,0,0,67073,0,130
409,MoltenCore,Molten Core,,,,,-7510.565,-1036.6981,2,2,0,2717,192,-1,-1,-1,0,1,0,40,0,0,788659,2,0,0,16844289,128,130
429,DireMaul,Dire Maul,,,,,-3908.03,1130,2,1,0,2557,82,-1,-1,-1,0,1,1,5,0,0,780814,2,0,0,67073,0,130
449,AlliancePVPBarracks,Alliance PVP Barracks,,,,,0,0,2,0,0,2918,181,-1,-1,-1,0,1,0,0,0,0,775968,2,0,0,67073,1048576,130
