ID,FileDataID,BoneWindModifierID
7,1240013,3
11,1239965,3
12,1240379,3
13,1240160,3
27,1089755,6
28,1089756,6
29,1089758,6
30,1089759,6
35,1455385,10
48,1100195,13
49,1100429,13
50,1089532,13
51,1096108,14
52,1384457,14
53,1096109,14
54,1384458,14
55,1096110,14
56,1384459,14
57,1096111,14
58,1384559,14
59,1096123,14
60,1384666,14
61,1096124,14
62,1384667,14
63,1125820,15
64,1101639,16
65,1101640,16
66,1101642,16
67,1100189,16
68,1100197,16
69,1100430,16
70,1085269,16
71,1085268,16
72,1087253,16
73,1087259,16
74,1352719,17
75,1353164,17
76,1306109,17
77,1306115,17
78,1306126,17
79,1306125,17
80,1245356,17
81,1245357,17
82,1245358,17
83,1245359,17
84,1108977,18
85,1109006,18
86,1109007,18
90,1247569,19
91,1247568,19
92,1247567,19
93,1124169,15
94,1126613,15
95,1092882,15
96,1093797,15
97,1093964,15
98,1094530,15
99,1092846,15
100,1093796,15
101,1093963,15
102,1094529,15
103,1130119,20
104,1130120,20
105,1141017,19
106,1140294,19
107,1252450,19
108,1140306,19
109,1410899,21
110,1354114,22
111,1353546,22
112,1140773,22
113,1030093,23
114,1035310,23
115,1117925,23
116,1030059,23
117,1035430,23
118,1035505,23
119,1117887,23
120,1251012,24
121,1251003,24
122,1251000,24
123,1250999,24
124,1250803,24
125,1250802,24
126,1250590,24
127,1250589,24
129,1306108,15
130,1306110,15
131,1306111,15
132,1121429,25
133,1121431,25
134,1121430,25
135,1271334,25
136,1272279,25
137,1087459,25
138,1087460,25
139,1399585,25
140,1087461,25
141,1306112,25
142,1306113,25
143,1306114,25
144,1414286,26
145,1414285,26
148,1100379,16
149,1100378,16
150,1141716,27
188,1034335,40
189,1034558,40
190,1034674,40
191,1241117,40
192,1034676,40
193,1241107,40
206,1536705,46
207,1536704,46
208,1536683,46
209,1617552,47
210,1617551,47
211,1617550,47
222,1617543,48
223,1617542,48
224,1617541,48
225,1617546,49
226,1617545,49
227,1617544,49
228,1567733,49
229,1566988,49
230,1544323,49
231,1632975,50
232,1685896,50
233,0,51
234,1795057,51
235,1795474,51
236,1725795,53
237,1725796,53
238,1725797,53
239,1725798,53
240,1861424,53
241,1725799,53
242,1725800,53
243,1546274,54
244,1546273,54
245,1546237,54
246,1545874,54
247,1531618,54
248,1518551,54
249,1546275,54
250,1546267,54
251,1519474,54
252,1546387,54
253,1546268,54
254,1521092,54
355,1784191,155
356,1784193,155
357,1784192,155
358,1818092,155
359,1563201,156
360,1562900,156
361,1562923,156
362,1563207,156
363,2575165,157
364,2575166,157
365,2575167,157
366,2575168,157
367,2200519,158
368,2200520,158
369,2200522,158
370,2200521,158
371,2200523,158
372,2200524,158
373,2821929,158
374,2821932,158
375,2821930,158
376,2821931,158
382,2835750,160
383,2835145,160
384,2835146,160
385,2835751,160
386,2835147,160
387,3021116,161
388,3021117,161
389,3021118,161
390,3021119,161
391,3026068,161
392,3026069,161
393,3026070,161
394,3053197,161
395,3053198,161
396,3053199,161
397,3053200,161
398,3053201,161
399,3053202,161
400,3053203,161
401,2480856,162
402,2564752,163
403,2467381,164
404,2467384,164
405,2467380,164
406,2467378,164
407,2615788,164
408,2564755,163
409,2490915,162
410,2480857,162
411,2480858,162
412,2490912,162
413,2490913,162
414,2490914,162
415,2480859,162
416,3230275,166
417,2966063,166
418,3230276,166
419,3230282,166
420,3230281,166
421,3230279,166
422,3230280,166
423,3230283,166
424,3230284,166
425,3230285,166
426,2991257,166
427,2991256,166
428,2992007,166
429,2966064,166
430,3017551,166
431,3025777,166
432,3025778,166
433,2966065,166
434,3015880,166
435,3015881,166
436,2914883,167
437,2914884,167
438,2976097,168
439,2976098,168
440,3048899,168
441,2976099,168
442,3886062,169
443,3886063,169
451,0,171
452,3551548,171
453,3551549,171
454,3553899,171
455,3551551,171
456,3551550,171
457,3553370,171
458,3921759,172
459,3921760,172
460,3921761,172
461,4175473,172
462,4175474,172
463,4175475,172
464,3622656,173
465,3622661,173
466,3622658,173
467,3622659,173
468,3622660,173
469,3718896,174
470,3718895,174
471,3718894,174
472,4268667,175
473,4268671,175
474,4268668,175
475,4268669,175
476,4268670,175
477,3641992,176
478,3641994,176
479,3641990,176
480,4081724,177
481,4081725,177
482,4081726,177
483,4094197,177
484,4094198,177
486,4094194,177
487,4081723,178
495,5350804,191
496,4707991,192
497,4707992,192
498,4707993,192
499,4707994,192
500,5351031,193
501,5351030,193
502,5351029,193
