ID,FileDataID,Roll,Pitch,Yaw,TextureFileDataID[0],TextureFileDataID[1],TextureFileDataID[2],TextureScrollRateU[0],TextureScrollRateU[1],TextureScrollRateU[2],TextureScrollRateV[0],TextureScrollRateV[1],TextureScrollRateV[2],TextureScaleU[0],TextureScaleU[1],TextureScaleU[2],TextureScaleV[0],TextureScaleV[1],TextureScaleV[2]
1,1003306,0,0,90,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
2,1089591,0,0,90,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
3,1003306,0,0,90,1147505,0,0,0,0,0,0,0,0,1,1,1,1,1,1
4,953307,0,0,90,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
5,1003307,0,0,90,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
6,1003307,0,0,90,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
7,1003306,0,0,90,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
8,1003306,0,0,90,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
9,971054,0,0,90,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
10,1003307,0,0,90,959923,0,0,0,0,0,0,0,0,1,1,1,1,1,1
11,950915,0,0,90,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
12,902200,0,0,90,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
13,950915,0,0,90,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
14,1003307,0,0,90,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
15,1003306,0,0,90,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
16,1054820,0,0,90,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
17,1003306,0,0,90,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
18,950915,0,0,90,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
19,1003306,0,0,90,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
20,1003306,0,0,90,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
21,1089767,0,0,90,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
22,1089052,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
