ID,OneShotDuration,OneShotStopAnimKitID,LowDefAnimKitID
1,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
61,0,0,0
62,0,0,0
67,0,0,0
68,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
101,0,0,0
121,0,0,0
122,0,0,0
123,0,0,0
124,0,0,0
125,0,0,0
141,0,0,0
142,0,0,0
161,0,0,0
162,0,0,0
181,0,0,0
182,0,0,0
183,0,0,0
184,0,0,0
185,0,0,0
186,0,0,0
201,0,0,0
202,0,0,0
203,0,0,0
204,0,0,0
205,0,0,0
206,0,0,0
221,0,0,0
222,0,0,0
223,0,0,0
224,0,0,0
225,0,0,0
226,0,0,0
227,0,0,0
228,0,0,0
241,0,0,0
261,0,0,0
281,0,0,0
301,0,0,0
1194,0,0,0
1206,0,0,0
1207,0,0,0
1254,0,0,0
1349,0,0,0
1357,0,0,0
1358,0,0,0
1359,0,0,0
1360,0,0,0
1576,0,0,0
1577,0,0,0
1584,0,0,0
1585,0,0,0
1589,0,0,0
1590,0,0,0
1591,0,0,0
1592,0,0,0
1593,0,0,0
1594,0,0,0
1823,0,0,0
1824,0,0,0
1893,0,0,0
2094,0,0,0
2127,0,0,0
2128,0,0,0
2129,0,0,0
2130,0,0,0
2131,0,0,0
2813,0,0,0
4039,0,0,0
4113,0,0,0
4536,0,0,0
4537,0,0,0
4538,0,0,0
4539,0,0,0
5102,0,0,0
5104,0,0,0
9179,0,0,0
9773,0,0,0
11806,0,0,0
13191,0,0,0
18695,0,0,0
21246,0,0,0
23768,0,0,0
23815,0,0,0
23816,0,0,0
23819,0,0,0
23831,0,0,0
23907,0,0,0
23983,0,0,0
23985,0,0,0
24015,0,0,0
24019,0,0,0
24021,0,0,0
24033,0,0,0
24035,0,0,0
24036,0,0,0
24037,0,0,0
24039,0,0,0
24040,0,0,0
24078,0,0,0
24079,0,0,0
24108,0,0,0
24120,0,0,0
24140,0,0,0
24180,0,0,0
26761,0,0,0
26850,0,0,0
26879,0,0,0
26947,0,0,0
27324,0,0,0
27352,0,0,0
28204,0,0,0
28526,0,0,0
28686,0,0,0
28687,0,0,0
28688,0,0,0
28693,1000,0,0
28699,0,0,0
28704,0,0,0
28760,0,0,0
28761,0,0,0
28762,0,0,0
28790,0,0,0
28799,670,0,0
28843,4500,0,0
28845,0,0,0
28853,0,0,0
28887,0,0,0
28888,0,0,0
28905,0,0,0
28956,0,0,0
28968,0,0,0
28970,0,0,0
28989,0,0,0
28993,500,0,0
28995,0,0,0
29001,0,0,0
29011,0,0,0
29013,0,0,0
29062,1250,0,0
29063,1500,0,0
29070,0,0,0
29126,0,0,0
29215,0,0,0
29219,0,0,0
29243,0,0,0
29284,0,0,0
29289,0,0,0
29408,0,0,0
29440,0,0,0
29446,0,0,0
29479,0,0,0
29571,0,0,0
29608,0,0,0
29618,0,0,0
29625,3000,0,0
29640,3600,0,0
29641,0,0,0
29660,150,0,0
29677,0,0,0
29688,0,0,0
29689,0,0,0
29696,0,0,0
29710,0,0,0
29712,0,0,0
29720,0,0,0
29762,0,0,0
29790,0,0,0
29847,0,0,0
29848,0,0,0
30401,500,0,0
30477,2000,0,0
30478,1000,0,0
30479,2000,0,0
30480,1000,0,0
30481,2000,0,0
30482,1000,0,0
30483,0,0,0
30484,0,0,0
30527,3000,0,0
30528,8000,0,0
30529,0,0,0
30531,3000,0,0
30532,0,0,0
30575,0,0,0
30587,0,0,0
30591,0,0,0
30592,500,0,0
30593,300,0,0
30594,0,0,0
30644,0,0,0
30645,2000,0,0
30646,0,0,0
30689,0,0,0
30702,0,0,0
30704,0,0,0
30711,0,0,0
30713,0,0,0
30717,6000,0,0
30725,15000,0,0
30726,7000,0,0
30735,0,0,0
30736,0,0,0
30748,2500,0,0
30755,0,0,0
30756,500,0,0
30757,1000,0,0
30758,2500,0,0
30759,2500,0,0
30760,2000,0,0
30761,0,0,0
30762,0,0,0
30763,0,0,0
30764,4000,0,0
30776,0,0,0
30779,0,0,0
30781,0,0,0
30791,0,0,0
30793,0,0,0
30809,0,0,0
30815,0,0,0
30816,0,0,0
30818,0,0,0
30857,0,0,0
31074,0,0,0
31146,0,0,0
31176,0,0,0
31177,0,0,0
31178,0,0,0
31179,0,0,0
31191,0,0,0
31196,0,0,0
31230,0,0,0
31233,0,0,0
31242,0,0,0
31246,0,0,0
31278,0,0,0
31283,0,0,0
31289,0,0,0
31293,0,0,0
31294,0,0,0
31295,0,0,0
31296,0,0,0
31336,0,0,0
31345,0,0,0
31372,0,0,0
31382,0,0,0
31389,0,0,0
31390,0,0,0
31391,0,0,0
31392,0,0,0
31668,0,0,0
31705,0,0,0
31748,0,0,0
31789,0,0,0
31790,0,0,0
31925,1000,0,0
31949,0,0,0
31967,0,0,0
32166,0,0,0
32173,0,0,0
32186,0,0,0
32210,0,0,0
32213,0,0,0
32247,0,0,0
32268,0,0,0
32274,0,0,0
32302,0,0,0
32307,0,0,0
32308,0,0,0
32309,0,0,0
32310,0,0,0
32311,0,0,0
32312,0,0,0
32313,0,0,0
32335,0,0,0
32337,0,0,0
32338,0,0,0
32339,0,0,0
32341,0,0,0
32342,0,0,0
32348,0,0,0
32359,0,0,0
32379,0,0,0
32380,0,0,0
32397,0,0,0
32398,0,0,0
32399,0,0,0
32400,0,0,0
32414,0,0,0
32416,0,0,0
32440,0,0,0
32500,0,0,0
32516,0,0,0
32527,0,0,0
32528,0,0,0
32529,0,0,0
32530,0,0,0
32554,0,0,0
32638,0,0,0
32641,0,0,0
32642,0,0,0
32668,0,0,0
32786,0,0,0
32833,0,0,0
32846,0,0,0
32853,0,0,0
32882,0,0,0
32884,0,0,0
32916,0,0,0
32917,0,0,0
32943,0,0,0
32956,0,0,0
32963,0,0,0
32966,0,0,0
32968,0,0,0
32969,0,0,0
32972,0,0,0
32994,0,0,0
33001,0,0,0
33003,0,0,0
33021,0,0,0
33041,0,0,0
33043,0,0,0
33048,0,0,0
33050,0,0,0
33052,0,0,0
33060,0,0,0
33063,0,0,0
33073,0,0,0
33079,0,33080,0
33080,0,0,0
33109,0,0,0
33126,0,0,0
33128,0,0,0
33140,0,0,0
33141,0,0,0
33142,0,0,0
33153,0,0,0
33154,0,0,0
33155,0,0,0
33182,0,0,0
33189,0,0,0
33194,0,0,0
33220,0,0,0
33255,0,0,0
33256,0,0,0
33276,0,0,0
33290,0,0,0
33308,0,0,0
33310,0,0,0
33311,0,0,0
33312,0,0,0
33313,0,0,0
33314,0,0,0
33315,0,0,0
33316,0,0,0
33317,0,0,0
33319,0,0,0
33320,0,0,0
33321,0,0,0
33333,0,0,0
33342,0,0,0
33352,0,0,0
33361,0,0,0
33381,0,0,0
33385,0,0,0
33386,0,0,0
33405,0,0,0
33407,0,0,0
33408,0,0,0
33419,0,0,0
33420,0,0,0
33427,0,0,0
33428,0,0,0
33448,0,0,0
33469,0,0,0
33506,0,0,0
33542,0,0,0
33550,0,0,0
33592,0,0,0
