ID,ZoneName_lang,AlteredFormCustomizeOffset[0],AlteredFormCustomizeOffset[1],AlteredFormCustomizeOffset[2],ChrModel_9_0_1_35522_001Override[0],ChrModel_9_0_1_35522_001Override[1],ChrModel_9_0_1_35522_001Override[2],ChrModel_9_0_1_35522_001Override_Female[0],ChrModel_9_0_1_35522_001Override_Female[1],ChrModel_9_0_1_35522_001Override_Female[2],ChrClassesID,ZoneImageAtlas,MaleCharacterCreationVisual,MaleCharacterCreationIdleVisual,FemaleCharacterCreationVisual,FemaleCharacterCreationIdleVisual,CharacterCreationIdleGroundVisual,CharacterCreationGroundVisual,AlteredFormCharacterCreationIdleVisual,AlteredFormCustomizeRotation,CharacterCreationAnimLoopWaitTimeMs,ChrRacesID
0,Northshire Valley,0,0,0,0,0,0,0,0,0,8,12427,0,0,0,0,0,0,0,0,0,1
1,Northshire Valley,0,0,0,0,0,0,0,0,0,9,12427,0,0,0,0,0,0,0,0,0,1
2,Shadowglen,0,0,0,0,0,0,0,0,0,3,12433,0,0,0,0,133508,0,0,0,0,4
3,Red Cloud Mesa,0,0,0,0,0,0,0,0,0,3,12436,0,0,0,0,133570,0,0,0,0,6
4,Red Cloud Mesa,0,0,0,0,0,0,0,0,0,7,12436,0,0,0,0,0,132530,0,0,0,6
5,Ammen Vale,0,0,0,0,0,0,0,0,0,1,12417,0,0,0,0,0,0,0,0,0,11
6,Ammen Vale,0,0,0,0,0,0,0,0,0,3,12417,131761,132614,0,0,133584,0,0,0,0,11
7,Sunstrider Isle,0,0,0,0,0,0,0,0,0,5,12422,0,0,0,0,0,134410,0,0,0,10
8,Sunstrider Isle,0,0,0,0,0,0,0,0,0,4,12422,0,133196,0,0,0,0,0,0,0,10
9,Sunstrider Isle,0,0,0,0,0,0,0,0,0,8,12422,0,0,134112,0,0,0,0,0,0,10
10,Sunstrider Isle,0,0,0,0,0,0,0,0,0,9,12422,0,0,0,0,0,0,0,0,0,10
11,Ammen Vale,0,0,0,0,0,0,0,0,0,2,12417,0,0,0,0,0,0,0,0,0,11
12,Sunstrider Isle,0,0,0,0,0,0,0,0,0,2,12422,135104,135107,128833,132580,0,0,0,0,0,10
13,Ammen Vale,0,0,0,0,0,0,0,0,0,5,12417,0,0,0,0,0,0,0,0,0,11
14,Ammen Vale,0,0,0,0,0,0,0,0,0,7,12417,0,0,0,0,0,132521,0,0,0,11
15,Echo Isles,0,0,0,0,0,0,0,0,0,7,12437,0,0,0,0,0,132520,0,0,0,8
16,Deathknell,0,0,0,0,0,0,0,0,0,4,12438,0,133196,0,0,0,0,0,0,0,5
17,Shadowglen,0,0,0,0,0,0,0,0,0,1,12433,0,0,0,0,0,0,0,0,0,4
18,Valley of Trials,0,0,0,0,0,0,0,0,0,9,12434,0,0,0,0,0,0,0,0,0,2
19,Valley of Trials,0,0,0,0,0,0,0,0,0,3,12434,0,0,0,0,133516,0,0,0,0,2
20,Gnomeregan,0,0,0,0,0,0,0,0,0,4,12424,0,0,0,0,0,0,0,0,0,7
21,Gnomeregan,0,0,0,0,0,0,0,0,0,8,12424,0,0,0,0,0,0,0,0,0,7
22,Gnomeregan,0,0,0,0,0,0,0,0,0,9,12424,0,0,0,0,0,0,0,0,0,7
23,Echo Isles,0,0,0,0,0,0,0,0,0,5,12437,0,0,0,0,0,134410,0,0,0,8
24,Northshire Valley,0,0,0,0,0,0,0,0,0,10,12427,0,0,0,0,0,0,0,0,0,1
25,Red Cloud Mesa,0,0,0,0,0,0,0,0,0,1,12436,0,0,0,0,0,0,0,0,0,6
26,Coldridge Valley,0,0,0,0,0,0,0,0,0,2,12423,0,0,0,0,0,0,0,0,0,3
27,Valley of Trials,0,0,0,0,0,0,0,0,0,7,12434,0,0,0,0,0,132918,0,0,0,2
28,Coldridge Valley,0,0,0,0,0,0,0,0,0,3,12423,131761,132614,0,0,133506,0,0,0,0,3
29,Deathknell,0,0,0,0,0,0,0,0,0,8,12438,0,0,0,0,0,0,0,0,0,5
30,Echo Isles,0,0,0,0,0,0,0,0,0,3,12437,0,0,0,0,133572,0,0,0,0,8
31,Deathknell,0,0,0,0,0,0,0,0,0,9,12438,0,0,0,0,0,0,0,0,0,5
32,Shadowglen,0,0,0,0,0,0,0,0,0,4,12433,0,0,0,0,0,0,0,0,0,4
33,Coldridge Valley,0,0,0,0,0,0,0,0,0,8,12423,0,0,0,0,0,0,0,0,0,3
34,Acherus: The Ebon Hold,0,0,0,0,0,0,0,0,0,6,12420,0,0,0,0,0,0,0,0,0,1
35,Acherus: The Ebon Hold,0,0,0,0,0,0,0,0,0,6,12420,0,0,0,0,0,0,0,0,0,2
36,Acherus: The Ebon Hold,0,0,0,0,0,0,0,0,0,6,12420,0,0,0,0,0,0,0,0,0,3
37,Acherus: The Ebon Hold,0,0,0,0,0,0,0,0,0,6,12420,0,0,0,0,0,0,0,0,0,4
38,Acherus: The Ebon Hold,0,0,0,0,0,0,0,0,0,6,12420,0,0,0,0,0,0,0,0,0,5
39,Acherus: The Ebon Hold,0,0,0,0,0,0,0,0,0,6,12420,0,0,0,0,0,0,0,0,0,8
40,Acherus: The Ebon Hold,0,0,0,0,0,0,0,0,0,6,12420,0,0,0,0,0,0,0,0,0,10
41,Acherus: The Ebon Hold,0,0,0,0,0,0,0,0,0,6,12420,0,0,0,0,0,0,0,0,0,11
42,Northshire Valley,0,0,0,0,0,0,0,0,0,1,12427,0,0,0,0,0,0,0,0,0,1
43,Northshire Valley,0,0,0,0,0,0,0,0,0,2,12427,0,0,133483,133440,0,0,0,0,0,1
44,Gnomeregan,0,0,0,0,0,0,0,0,0,1,12424,0,0,0,0,0,0,0,0,0,7
45,Valley of Trials,0,0,0,0,0,0,0,0,0,1,12434,132937,132938,128667,132581,0,0,0,0,0,2
46,Coldridge Valley,0,0,0,0,0,0,0,0,0,5,12423,0,0,0,0,0,0,0,0,0,3
47,Echo Isles,0,0,0,0,0,0,0,0,0,4,12437,0,133196,0,0,0,0,0,0,0,8
48,Valley of Trials,0,0,0,0,0,0,0,0,0,4,12434,0,133196,0,0,0,0,0,0,0,2
49,Coldridge Valley,0,0,0,0,0,0,0,0,0,1,12423,0,0,0,0,0,0,0,0,0,3
50,Coldridge Valley,0,0,0,0,0,0,0,0,0,4,12423,0,0,0,0,0,0,0,0,0,3
51,Shadowglen,0,0,0,0,0,0,0,0,0,11,12433,0,0,0,0,0,0,0,0,0,4
52,Deathknell,0,0,0,0,0,0,0,0,0,5,12438,0,0,0,0,0,134410,0,0,0,5
53,Deathknell,0,0,0,0,0,0,0,0,0,1,12438,0,0,0,0,0,0,0,0,0,5
54,Red Cloud Mesa,0,0,0,0,0,0,0,0,0,11,12436,0,0,0,0,0,0,0,0,0,6
55,Acherus: The Ebon Hold,0,0,0,0,0.09,0,0,0.12,0,6,12420,0,0,0,0,0,0,0,0,0,6
56,Acherus: The Ebon Hold,0,0,0,0,0,0,0,0,0,6,12420,0,0,0,0,0,0,0,0,0,7
57,Gnomeregan,0,0,0,0,0,0,0,0,0,3,12424,131761,132614,0,0,133580,0,0,0,0,7
58,Echo Isles,0,0,0,0,0,0,0,0,0,1,12437,0,0,0,0,0,0,0,0,0,8
