ID,TextureFileDataID[0],TextureFileDataID[1],TextureFileDataID[2],SwizzleRed,SwizzleGreen,SwizzleBlue,SwizzleAlpha,Flags,TextureScrollRateU[0],TextureScrollRateU[1],TextureScrollRateU[2],TextureScrollRateV[0],TextureScrollRateV[1],TextureScrollRateV[2],TextureScaleU[0],TextureScaleU[1],TextureScaleU[2],TextureScaleV[0],TextureScaleV[1],TextureScaleV[2],ModX[0],ModX[1],ModX[2],ModX[3]
4,1346464,1002607,1002607,0,1,2,3,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,3,3
29,1347128,1002607,1002607,0,1,2,3,0,0,0,0,0,0,0,1,1,1,1,1,1,4,4,4,4
30,1347128,1347129,1347130,0,1,2,3,0,0,0,0,0,0,0,1,1,1,1,1,1,4,3.5,3.5,3.5
534,1616209,1398978,1356877,0,1,2,3,0,0,0,0,0,-0.05,-0.25,1,1,1,1,1,1,4,3,3,3
539,1616209,984068,1354471,0,1,2,3,0,0,0,0,0.01,-0.05,-0.25,1,1,1,1,1,1,4,3,3,3
540,1616209,1029569,1589530,0,1,2,3,0,0,0,0,0.01,-0.05,-0.25,1,1,1,1,1,1,4,3,3,3
541,1616209,1590931,1314968,0,1,2,3,0,0,0,0,0,-0.05,-0.25,1,2,1,1,2,1,4,3,3,3
543,1616209,1381304,1616689,0,1,2,3,0,0,0,0,0,-0.05,-0.25,1,2,1,1,2,1,4,3,3,3
544,1616209,1381304,1616690,0,1,2,3,0,0,0,0,0,-0.05,-0.25,1,2,1,1,2,1,4,3,3,3
773,1310527,1398978,2011678,0,1,2,3,0,0,-1,-1,0,0.2,-1,0.2,0.8,2.2,0.2,0.8,2.2,1,1,1,1
774,1310527,1398972,2016945,0,1,2,3,0,0,-1,-1,0,0.2,-1,0.2,0.8,2.2,0.2,0.8,2.2,1,1,1,1
788,1310527,2126806,2126806,0,1,2,3,0,0,-1,-1,0,0.2,-1,0.2,0.8,2.2,0.2,0.8,2.2,1,1,1,1
1147,186862,186863,165843,0,1,2,3,0,0.01,0,-0.02,0.01,0,-0.01,0.5,1,1,0.5,1,2,1,2,2,2
1163,4484366,4498754,4500321,0,1,2,3,0,-0.002,0.002,-0.004,0,0,0,2,3,2,2,3,2,4,1,1,1
1164,4484366,4498754,4500321,0,1,2,3,0,0.004,-0.002,0.006,0,0,0,1.2,3,1,1.2,3,1,12,1,1,1
1169,3386741,186860,166885,0,1,2,3,0,0,0,0,0,0.5,0.3,0.2,2,4,0.2,2,4,2,2,1,1
1170,3386741,186860,166885,0,1,2,3,0,0,0,0,0,0.5,0.3,0.2,2,4,0.2,2,4,2,2,1,1
1173,3386741,2252019,2252029,0,1,2,3,0,0,0,0,0,0.5,0.3,0.2,2,4,0.2,2,4,2,1,2,1
1411,1305138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1413,3386741,1273707,1729857,0,1,2,3,0,0,0,0,0,0.5,0.3,0.2,2,4,0.2,2,4,2,1,2,1
1491,201897,188465,188467,0,0,0,0,0,0,0,0,0,-0.01,0,1,2,0.5,1,2,0.5,5,4,5,4
1508,0,186949,0,0,1,2,3,0,0,0,0,0,0.5,0.3,0.2,2,4,0.2,2,4,1,1,1,1
1511,128961,1303282,190801,0,1,2,3,0,0.3,-0.1,0.075,0.3,0.1,-0.05,1,0.5,1,1,0.5,1,0.3,1,1,1
1561,188477,188474,188469,0,0,0,0,0,0,0,0,0,-0.01,0,1,2,0.5,1,2,0.5,5,4,5,4
1562,188489,188468,188467,0,1,2,3,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,4,4,4,4
2190,190972,5099522,3937769,0,1,2,3,0,0,-0.1,0.075,0,0.1,-0.05,1,0.5,1,1,0.5,1,1,1,1,1
6179,3386741,878254,1035113,0,1,2,3,0,0,0,0,0,0.5,0.3,0.2,2,4,0.2,2,4,2,2,1,1
6180,3386741,2499839,1035113,0,1,2,3,0,0,0,0,0,0.5,0.3,0.2,2,4,0.2,2,4,2,2,1,1
6958,3386741,0,0,0,1,2,3,0,0.015,0.011,0.01,0.001,0.01,0.015,1,0.4,0.5,1,0.6,0.7,1,2,2,1
7030,4683071,4419708,3948541,0,1,2,3,0,0.3,-0.1,0.075,0.3,0.1,-0.05,1,0.5,1,1,0.5,1,0.3,1,1,1
7306,1347128,1002607,1002607,0,1,2,3,0,0,0,0,0,0,0,1,1,1,1,1,1,4,4,4,4
7307,1347128,1347129,1347130,0,1,2,3,0,0,0,0,0,0,0,1,1,1,1,1,1,4,3.5,3.5,3.5
7320,994654,1002607,1002607,0,1,2,3,0,0.05,0.01,0,0.05,0.01,0,1,1,1,1,1,1,2,1,1,1
7321,1310526,1346473,1346474,0,1,2,3,0,0,0,0,0,0,0,1,1,1,1,1,1,4,3.5,3.5,3.5
7332,1733914,1002607,1002607,0,1,2,3,0,0.05,0.01,0,0.05,0.01,0,1,1,1,1,1,1,2,3,3,3
7333,5738828,5738819,5738820,0,1,2,3,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,3,5
7344,193832,1002607,1002607,0,1,2,3,0,0.05,0.01,0,0.05,0.01,0,1,1,1,1,1,1,2,1,1,1
7345,1310526,1346473,1346474,0,1,2,3,0,0,0,0,0,0,0,1,1,1,1,1,1,4,3.5,3.5,3.5
7350,3063646,1002607,1002607,0,1,2,3,0,0.05,0.01,0,0.05,0.01,0,1,1,1,1,1,1,2,1,1,1
7351,1310526,1346473,1346474,0,1,2,3,0,0,0,0,0,0,0,1,1,1,1,1,1,4,3.5,3.5,3.5
7354,2344352,1002607,1002607,0,1,2,3,0,0.05,0.01,0,0.05,0.01,0,1,1,1,1,1,1,2,1,1,1
7355,1310526,1346471,1346472,0,1,2,3,0,0,0,0,0,0,0,1,1,1,1,1,1,4,3.5,3.5,3.5
7361,7751097,3183266,7751097,0,1,2,3,0,-0.4,-0.5,-0.11,-0.2,-0.3,-0.4,1,1,1,1,1,1,1,1,1,1
7364,1310532,1373151,1373151,0,1,2,3,0,0.2,0.01,0.1,0.2,0.05,0.02,1,1,1,1,1.6,1,1,1.8,2,4
7385,4683071,4419708,3948541,0,1,2,3,0,0.3,-0.1,0.075,0.3,0.1,-0.05,1,0.5,1,1,0.5,1,0.3,3,1,3
7394,1893368,3550828,3550828,0,1,2,3,0,-0.4,-0.5,-0.11,-0.2,-0.3,-0.4,1,1,1,1,1,1,1,1,1,1
