ID,CollectableSourceInfoID
2507,19612
2508,19613
2509,19614
2510,19615
2511,19616
2512,19617
2513,19618
2514,19619
2515,19620
2516,19621
2517,19622
2518,19623
2519,19624
2520,19625
2521,19626
2522,19627
2523,19628
2524,19629
2525,19630
2526,19631
2527,19632
2528,19633
2529,19634
2530,19635
2531,19636
2532,19637
2533,19638
2534,19639
2535,19640
2536,19641
2537,19642
2538,19643
2539,19644
2540,19645
2541,19646
2542,19647
2543,19648
2544,19649
2545,19650
2546,19651
2547,19652
2548,19653
2549,19654
2550,19655
2551,19656
2552,19657
2553,19658
2554,19659
2555,19660
2556,19661
2557,19662
2558,19663
2559,19664
2560,19665
2561,19666
2562,19667
2563,19668
2564,19669
2565,19670
2566,19671
2567,19672
2568,19673
2569,19674
2570,19675
2571,19676
2572,19677
2573,19678
2574,19679
2575,19680
2576,19681
2577,19682
2578,19683
2579,19684
2580,19685
2581,19686
2582,19687
2583,19688
2584,19689
2585,19690
2586,19691
2587,19692
2588,19693
2589,19694
2590,19695
2591,19696
2592,19697
2593,19698
2594,19699
2595,19700
2596,19701
2597,19702
2598,19703
2599,19704
2600,19705
2601,19706
2602,19707
2603,19708
2604,19709
2605,19710
2606,19711
2607,19712
2608,19713
2609,19714
2610,19715
2611,19716
2612,19717
2613,19718
2614,19719
2615,19720
2616,19721
2617,19722
2618,19723
2619,19724
2620,19725
2621,19726
2622,19727
2623,19728
2624,19729
2625,19730
2626,19731
2627,19732
2628,19733
2629,19734
2630,19735
2631,19736
2632,19737
2633,19738
2634,19739
2635,19739
2636,19739
2637,19740
2638,19740
2639,19740
2640,19741
2641,19741
2642,19741
2643,19742
2644,19742
2645,19742
2646,19742
2647,19743
2648,19743
2649,19743
2650,19743
2651,19744
2652,19744
2653,19745
2654,19745
2655,19745
2656,19745
2657,19746
2658,19747
2659,19747
2660,19748
2661,19749
2662,19749
2663,19750
2664,19751
2665,19751
2666,19752
2667,19752
2668,19752
2669,19752
2670,19752
2671,19752
2672,19753
2673,19753
2674,19753
2675,19753
2676,19754
2677,19754
2678,19754
2679,19754
2680,19755
2681,19755
2682,19755
2683,19755
2684,19756
2685,19756
2686,19756
2687,19756
2688,19757
2689,19757
2690,19757
2691,19757
2692,19758
2693,19758
2694,19758
2695,19758
2696,19759
2697,19760
2698,19760
2699,19761
2700,19761
2701,19762
2702,19763
2703,19764
2704,19764
2705,19764
2706,19764
2707,19765
2708,19765
2709,19766
2710,19767
2711,19767
2712,19768
2713,19768
2714,19768
2715,19768
2716,19768
2717,19768
2718,19769
2719,19769
2720,19769
2721,19769
2722,19770
2723,19770
2724,19770
2725,19770
2726,19771
2727,19771
2728,19771
2729,19771
2730,19772
2731,19772
2732,19773
2733,19773
2734,19774
2735,19774
2736,19775
2737,19775
2738,19776
2739,19776
2740,19777
2741,19778
2742,19779
2743,19780
2744,19780
2745,19780
2746,19780
2747,19781
2748,19782
2749,19783
2750,19784
2751,19785
2752,19786
