ID,InteractCursor,FileDataID,MinimapAtlasMemberID,AttachPoint,PassiveHighlightColorType,Priority,Flags,SpellID
1,,130731,4726,18,0,60,8,0
2,,130732,4713,18,0,50,0,0
3,,130733,4728,18,0,0,0,0
4,,130734,0,18,0,20,0,0
5,,433904,0,18,0,0,0,0
6,,130738,4699,18,0,100,8,0
7,,130735,0,18,0,30,0,0
8,,130736,4695,18,0,40,0,0
9,,3491681,0,18,0,0,0,0
11,,587741,4730,18,0,90,0,0
13,,165434,0,19,0,0,0,0
14,,587634,0,19,0,0,0,0
15,,166362,0,34,0,0,0,0
16,,166364,0,18,0,0,0,0
39,,587634,0,34,0,0,0,0
40,,0,0,18,0,0,0,0
41,,199907,0,19,0,0,0,0
42,,200316,0,19,0,0,0,0
46,,167093,0,19,0,0,0,0
47,,165658,0,19,0,0,0,0
48,,165434,0,18,0,0,0,0
49,,199926,0,19,0,0,1,0
50,,200316,0,19,0,0,1,0
53,,165434,0,19,0,0,1,0
54,,327767,0,18,0,0,0,0
55,,650036,0,18,0,0,0,0
56,,587634,0,19,0,0,1,0
57,,199918,0,19,0,0,0,0
59,,521015,0,19,0,0,0,0
61,,200316,0,19,0,0,0,0
62,,165434,0,18,0,0,1,0
64,,526842,0,18,0,0,0,0
65,,587634,0,18,0,0,0,0
66,,587741,0,18,0,90,0,0
68,,0,0,18,0,80,0,0
70,,199926,0,19,0,0,1,0
71,,0,0,18,0,0,2,0
72,,667489,0,18,0,0,0,0
76,,587744,0,18,0,70,0,0
77,,199912,0,19,0,0,1,0
78,,587744,0,18,0,0,1,0
79,,165434,0,34,0,0,0,0
80,,165434,0,19,0,0,2,0
81,,200317,0,19,0,0,0,0
82,,0,0,18,0,80,0,0
85,,587744,0,20,0,70,0,0
97,,0,0,18,0,0,0,0
98,,166364,0,19,0,0,1,0
100,,199907,0,19,0,0,0,0
101,,0,0,18,0,0,2,0
102,,587634,0,19,0,0,3,0
103,,166027,0,18,0,0,0,0
104,,0,4721,19,16,70,2,0
105,,0,0,19,11,70,2,0
106,,0,4770,18,0,80,34,0
107,,0,0,18,0,0,2,0
118,,0,0,18,0,0,0,0
122,,165434,0,19,11,0,0,0
123,,0,0,19,11,0,0,0
126,,0,0,19,14,80,0,0
140,,199950,0,19,13,0,0,0
142,,327861,0,19,14,0,0,0
143,,0,0,19,0,0,0,0
145,,166808,0,19,0,0,1,0
151,,0,0,18,12,0,0,0
153,,0,0,19,13,70,2,0
155,,0,0,19,16,70,2,0
156,,130731,0,18,0,100,0,0
157,,0,0,19,14,80,4,0
159,,0,0,19,11,70,6,0
162,,199907,0,19,13,0,0,0
163,,0,0,19,13,0,0,0
164,,343984,0,18,0,0,1,0
167,,1087509,0,18,0,0,0,0
169,,0,0,19,15,70,6,0
180,,0,0,19,13,0,0,0
202,,587634,0,19,0,0,0,0
