ID,BoltDirection[0],BoltDirection[1],SoundKitID[0],SoundKitID[1],SoundKitID[2],BoltDirectionVariance,MinDivergence,MaxDivergence,MinConvergenceSpeed,MaxConvergenceSpeed,SegmentSize,MinBoltWidth,MaxBoltWidth,MinBoltHeight,MaxBoltHeight,MaxSegmentCount,MinStrikeTime,MaxStrikeTime,MinEndTime,MaxEndTime,MinFadeTime,MaxFadeTime,MinIntervalTime,MaxIntervalTime,FlashColor,BoltColor,Brightness,MinCloudDepth,MaxCloudDepth,MinFadeInStrength,MaxFadeInStrength,MinStrikeStrength,MaxStrikeStrength,GroundBrightnessScalar,BoltBrightnessScalar,CloudBrightnessScalar,SoundEmitterDistance
7,0,0.05235988,0,0,0,0,3000,3000,2,2,20,100,100,1000,1000,800,0.2,0.3,0.2,0.3,0.2,0.3,0,0,-16760833,-16711894,1,0.4,0.6,0.2,0.3,0.6,0.7,1,1,1,40
8,0.017453292,0,15928,12280,39470,0,3000,3000,2,2,20,100,100,1000,1000,800,0.2,0.3,0.2,0.3,0.2,0.3,0,0,-1,-1,1,0.4,0.6,0.2,0.3,0.1,4,1,1,1,40
9,0.017453292,0.017453292,0,0,0,0,3000,3000,2,2,50,100,200,1000,1000,800,0.2,0.3,0.2,0.3,0.2,0.3,0,0,-1,-1,1,0.4,0.6,0.2,0.3,0.6,0.7,1,1,1,40
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
11,0,0,0,0,0,0,0,0,0,0,20,100,100,1000,1000,800,0.5,0.5,1,1,1.5,1.5,0,0,-1,-1,1,0.5,0.5,0.5,0.5,1,1,1,1,1,40
12,0.87266463,1.5707964,0,0,0,0,3000,5000,5000,30000,13,50,125,1000,3000,800,0.1,0.5,0.1,0.35,0.5,3,0,0,-8593665,-4655361,1.25,1,1,0.5,1,0.3,2,0.5,1,5,40
13,0,0,0,0,0,0.7853982,3000,5000,5000,30000,13,50,125,1000,2000,800,0.1,0.5,0.1,0.35,0.5,3,0,0,-14658,-7462,1,1,1,0.5,1,1,1,0,0,0,40
115,-0.017453292,0.017453292,0,0,0,0.61086524,0,5000,5000,0,13,50,100,0,0,1,0.1,0.5,0.1,0.25,0.1,3,0,0,-7412993,-4655361,1,1,1,0.5,1,1,1,1.5,1,1,40
116,-0.017453292,0.017453292,0,0,0,0.61086524,0,5000,5000,0,13,50,100,0,0,1,0.1,0.5,0.1,0.25,0.1,3,0,0,-7412993,-4655361,1,1,1,0.5,1,0.1,1,1.5,1,1,40
117,-0.017453292,0.017453292,0,0,0,0.61086524,0,5000,5000,0,13,50,100,0,0,1,0.1,0.5,0.1,0.25,0.4,2,0,0,-7412993,-4655361,1,1,1,0.5,1,0.5,4,0.3,1,3,40
118,-0.017453292,0.017453292,0,0,0,0.61086524,0,5000,5000,0,13,50,100,0,0,1,0.1,0.5,0.1,0.25,0.4,2,0,0,-7412993,-4655361,1,1,1,0.5,1,0.1,2,0.75,1,4,40
119,-0.017453292,0.017453292,0,0,0,0.61086524,0,5000,5000,0,13,50,100,0,0,1,0.1,0.5,0.1,0.25,0.4,2,0,0,-7412993,-4655361,1,1,1,0.5,1,0.1,1,0.75,1,5,40
