ID,DisplayName_lang,DisplayNameShort_lang,Flags,RangeMin[0],RangeMin[1],RangeMax[0],RangeMax[1]
1,Self Only,Self,0,0,0,0,0
2,Combat Range,Combat,1,0,0,5,0
3,Short Range,Short,0,0,0,20,0
4,Medium Range,Medium,0,0,0,30,0
5,Long Range,Long,0,0,0,40,0
6,Vision Range,Vision,0,0,0,100,0
7,Very Short Range,Very Short,0,0,0,10,0
8,Short Range,Short,0,10,0,20,0
9,Medium Range,Medium,0,10,0,30,0
10,Long Range,Long,0,10,0,40,0
11,Shorter Range,Shorter,0,0,0,15,0
12,Interact Range,Interact,0,0,0,5,0
13,Anywhere,Anywhere,0,0,0,50000,0
14,Extra Long Range,Extra Long,0,0,0,60,0
34,Medium-Short Range,Medium-Short,0,0,0,25,0
35,Medium-Long Range,Medium-Long,0,0,0,35,0
36,Longer Range,Longer,0,0,0,45,0
37,Extended Range,Extended,0,0,0,50,0
38,Extra Medium Range,Extra Medium,0,10,0,25,0
54,Geoff Monster Shoot,Geoff,0,5,0,30,0
74,Ranged Weapon,Ranged,0,8,0,30,0
94,Sting,Sting,0,8,0,40,0
95,Charge,Charge,0,8,0,25,0
96,Trap,Trap,0,0,0,2,0
114,Hunter Range,Hunter,0,8,0,35,0
134,Tower 80,Tower,0,0,0,80,0
135,Tower 100,Tower,0,0,0,100,0
136,Artillery Range,Artillery,0,30,0,80,0
476,200 - Two Hundred Yards,200,0,0,0,200,0
478,Tim Test Range,Tim,0,3,3,15,15
479,Extra Long Range (20-40),Extra Long,0,20,0,40,0
484,Combat Range (0-8),Combat,1,0,0,8,0
