ID,Name_lang,Enchantment[0],Enchantment[1],Enchantment[2],Enchantment[3],Enchantment[4],AllocationPct[0],AllocationPct[1],AllocationPct[2],AllocationPct[3],AllocationPct[4]
5,of the Monkey,2802,2803,0,0,0,6666,10000,0,0,0
6,of the Eagle,2804,2803,0,0,0,6666,10000,0,0,0
7,of the Bear,2803,2805,0,0,0,10000,6666,0,0,0
8,of the Whale,2806,2803,0,0,0,6666,10000,0,0,0
9,of the Owl,2804,2806,0,0,0,6666,6666,0,0,0
10,of the Gorilla,2804,2805,0,0,0,6666,6666,0,0,0
11,of the Falcon,2802,2804,0,0,0,6666,6666,0,0,0
12,of the Boar,2806,2805,0,0,0,6666,6666,0,0,0
13,of the Wolf,2802,2806,0,0,0,6666,6666,0,0,0
14,of the Tiger,2802,2805,0,0,0,6666,6666,0,0,0
15,of Spirit,2806,0,0,0,0,10000,0,0,0,0
16,of Stamina,2803,0,0,0,0,15000,0,0,0,0
17,of Strength,2805,0,0,0,0,10000,0,0,0,0
18,of Agility,2802,0,0,0,0,10000,0,0,0,0
19,of Intellect,2804,0,0,0,0,10000,0,0,0,0
20,of Power,2825,0,0,0,0,10000,0,0,0,0
21,of Spell Power,2824,0,0,0,0,11700,0,0,0,0
22,of Spell Power,2824,0,0,0,0,11700,0,0,0,0
23,of Spell Power,2824,0,0,0,0,11700,0,0,0,0
24,of Spell Power,2824,0,0,0,0,11700,0,0,0,0
25,of Spell Power,2824,0,0,0,0,11700,0,0,0,0
26,of Spell Power,2824,0,0,0,0,11700,0,0,0,0
27,of Defense,2813,0,0,0,0,10000,0,0,0,0
28,of Regeneration,2814,0,0,0,0,4000,0,0,0,0
29,of Eluding,2815,2802,0,0,0,6666,6666,0,0,0
30,of Concentration,2816,0,0,0,0,4000,0,0,0,0
31,of Arcane Protection,2803,2817,0,0,0,10000,6666,0,0,0
32,of Fire Protection,2803,2818,0,0,0,10000,6666,0,0,0
33,of Frost Protection,2803,2819,0,0,0,10000,6666,0,0,0
34,of Nature Protection,2803,2820,0,0,0,10000,6666,0,0,0
35,of Shadow Protection,2803,2821,0,0,0,10000,6666,0,0,0
36,of the Sorcerer,2803,2804,2824,0,0,7889,5259,6153,0,0
37,of the Physician,2803,2804,2824,0,0,7889,5259,6153,0,0
38,of the Prophet,2804,2806,2824,0,0,5259,5259,6153,0,0
39,of the Invoker,2804,2824,2822,0,0,5259,6153,5259,0,0
40,of the Bandit,2802,2803,2825,0,0,5259,7889,10518,0,0
41,of the Beast,2805,2802,2803,0,0,5259,5259,7889,0,0
42,of the Hierophant,2803,2806,2824,0,0,7889,5259,6153,0,0
43,of the Soldier,2805,2803,2823,0,0,5259,7889,5259,0,0
44,of the Elder,2803,2804,2816,0,0,7889,5259,2104,0,0
45,of the Champion,2805,2803,2813,0,0,5259,7889,5259,0,0
47,of Blocking,2826,2805,0,0,0,6666,6666,0,0,0
48,of Paladin Testing,2805,2906,2824,0,0,3506,5234,4102,0,0
49,of the Grove,2805,2802,2803,0,0,7266,4106,4790,0,0
50,of the Hunt,2825,2802,2804,0,0,14532,4106,3193,0,0
51,of the Mind,2824,2822,2804,0,0,8501,4106,3193,0,0
52,of the Crusade,2824,2804,2813,0,0,8501,4106,3193,0,0
53,of the Vision,2824,2804,2803,0,0,8501,4106,3193,0,0
54,of the Ancestor,2805,2823,2803,0,0,7266,4106,4790,0,0
55,of the Nightmare,2811,2803,2804,0,0,8501,6159,3193,0,0
56,of the Battle,2805,2803,2823,0,0,7266,6159,3193,0,0
57,of the Shadow,2825,2802,2803,0,0,14532,4106,4790,0,0
58,of the Sun,2824,2803,2804,0,0,6153,5259,5259,0,0
59,of the Moon,2804,2803,2806,0,0,5259,5259,5259,0,0
60,of the Wild,2825,2803,2802,0,0,10518,5259,5259,0,0
61,of Spell Power,2824,0,0,0,0,2659,0,0,0,0
62,of Strength,2805,0,0,0,0,5000,0,0,0,0
63,of Agility,2802,0,0,0,0,5000,0,0,0,0
64,of Power,2825,0,0,0,0,10000,0,0,0,0
65,of Magic,2824,0,0,0,0,5850,0,0,0,0
66,of the Knight,2803,2813,2824,0,0,7889,5259,6153,0,0
67,of the Seer,2803,2822,2824,0,0,7889,5259,6153,0,0
68,of the Bear,2805,2803,0,0,0,6666,6666,0,0,0
69,of the Eagle,2803,2804,0,0,0,6666,6666,0,0,0
70,of the Ancestor,2805,2822,2803,0,0,7266,4106,3193,0,0
71,of the Bandit,2802,2803,2825,0,0,5259,5259,10518,0,0
72,of the Battle,2805,2803,2822,0,0,7266,4106,3193,0,0
73,of the Elder,2803,2804,2816,0,0,5259,5259,2104,0,0
74,of the Beast,2805,2802,2803,0,0,5259,5259,5259,0,0
75,of the Champion,2805,2803,2813,0,0,5259,5259,5259,0,0
76,of the Grove,2805,2802,2803,0,0,7266,4106,3193,0,0
77,of the Knight,2803,2813,2824,0,0,5259,5259,6153,0,0
78,of the Monkey,2802,2803,0,0,0,6666,6666,0,0,0
79,of the Moon,2804,2803,2806,0,0,5259,3506,5259,0,0
80,of the Wild,2825,2803,2802,0,0,10518,3506,5259,0,0
81,of the Whale,2803,2806,0,0,0,6666,6666,0,0,0
82,of the Vision,2824,2804,2803,0,0,8501,4106,2129,0,0
83,of the Sun,2824,2803,2804,0,0,6153,3506,5259,0,0
84,of Stamina,2803,0,0,0,0,10000,0,0,0,0
85,of the Sorcerer,2803,2804,2824,0,0,5259,5259,6153,0,0
86,of the Soldier,2805,2803,2822,0,0,5259,5259,5259,0,0
87,of the Shadow,2825,2802,2803,0,0,14532,4106,3193,0,0
88,of the Foreseer,2804,3726,2824,0,0,5259,5259,6153,0,0
89,of the Thief,2803,2825,3726,0,0,7889,10518,5259,0,0
90,of the Necromancer,2803,3727,2824,0,0,7889,5259,6153,0,0
91,of the Marksman,2803,2802,3727,0,0,7889,5259,5259,0,0
92,of the Squire,2803,3727,2805,0,0,7889,5259,5259,0,0
93,of Restoration,2803,2824,2816,0,0,7889,6153,2103,0,0
94,,2802,0,0,0,0,9000,0,0,0,0
