ID,GossipNpcOption,IconFileDataID,Flags
1,0,132053,0
2,1,132060,1
3,2,132057,1
4,3,132058,1
5,4,132054,1
6,5,136458,1
7,6,132050,1
8,7,132055,1
9,8,132056,0
10,9,132051,0
11,10,528409,1
12,11,132053,0
13,12,132053,0
14,13,132053,0
15,14,0,0
16,15,0,0
17,16,132053,0
18,17,132053,0
19,18,132053,0
20,19,132053,0
24,20,132053,0
25,21,132053,0
26,22,0,1
27,23,132053,0
28,24,132053,0
29,25,132053,0
30,26,1019848,1
31,27,1019848,1
32,28,1130518,1
33,29,1019848,1
34,30,1019848,1
35,31,1019848,1
36,32,1019848,1
37,33,1019848,1
38,34,1673939,1
39,35,132053,0
40,36,1019848,1
41,37,132053,0
42,38,1019848,1
43,39,1019848,1
44,40,132053,0
45,41,132053,0
46,42,132053,0
47,44,132053,0
48,43,132053,0
49,45,132053,0
50,46,132053,0
51,49,132058,1
52,47,132053,0
53,52,132053,0
54,48,132053,0
55,50,132053,1
56,51,132053,0
57,53,132053,1
59,54,132056,0
60,62,132055,1
61,58,132053,0
