ID,Qualitymod[0],Qualitymod[1],Qualitymod[2],Qualitymod[3],Qualitymod[4],Qualitymod[5],Qualitymod[6]
1,0.9,0.95,1,1.1,1.2,1.2,1.2
2,0.9,0.95,1,1.1,1.2,1.2,1.2
3,0.9,0.95,1,1.1,1.2,1.2,1.2
4,0.9,0.95,1,1.1,1.2,1.2,1.2
5,0.9,0.95,1,1.1,1.2,1.2,1.2
6,0.9,0.95,1,1.1,1.2,1.2,1.2
7,0.9,0.95,1,1.1,1.2,1.2,1.2
8,0.9,0.95,1,1.1,1.2,1.2,1.2
9,0.9,0.95,1,1.1,1.2,1.2,1.2
10,0.9,0.95,1,1.1,1.2,1.2,1.2
11,0.9,0.95,1,1.1,1.2,1.2,1.2
12,0.9,0.95,1,1.1,1.2,1.2,1.2
13,0.9,0.95,1,1.1,1.2,1.2,1.2
14,0.9,0.95,1,1.1,1.2,1.2,1.2
15,0.9,0.95,1,1.1,1.2,1.2,1.2
16,0.9,0.95,1,1.1,1.2,1.2,1.2
17,0.9,0.95,1,1.1,1.2,1.2,1.2
18,0.9,0.95,1,1.1,1.2,1.2,1.2
19,0.9,0.95,1,1.1,1.2,1.2,1.2
20,0.9,0.95,1,1.1,1.2,1.2,1.2
21,0.9,0.95,1,1.1,1.2,1.2,1.2
22,0.9,0.95,1,1.1,1.2,1.2,1.2
23,0.9,0.95,1,1.1,1.2,1.2,1.2
24,0.9,0.95,1,1.1,1.2,1.2,1.2
25,0.9,0.95,1,1.1,1.2,1.2,1.2
26,0.9,0.95,1,1.1,1.2,1.2,1.2
27,0.9,0.95,1,1.1,1.2,1.2,1.2
28,0.9,0.95,1,1.1,1.2,1.2,1.2
29,0.9,0.95,1,1.1,1.2,1.2,1.2
30,0.9,0.95,1,1.1,1.2,1.2,1.2
31,0.9,0.95,1,1.1,1.2,1.2,1.2
32,0.9,0.95,1,1.1,1.2,1.2,1.2
33,0.9,0.95,1,1.1,1.2,1.2,1.2
34,0.9,0.95,1,1.1,1.2,1.2,1.2
35,0.9,0.95,1,1.1,1.2,1.2,1.2
36,0.9,0.95,1,1.1,1.2,1.2,1.2
37,0.9,0.95,1,1.1,1.2,1.2,1.2
