ID,CollectableSourceInfoID
22715,50928
22716,50928
22717,46247
22718,41605
22719,41605
22720,48552
22727,50931
22728,50931
22729,50931
22730,50932
22731,50932
22732,50933
22733,50933
22734,41607
22735,43859
22736,41608
22758,48554
22759,9280
22760,9280
22761,41609
22762,50935
22763,50936
22768,41611
22769,41611
22770,41610
22771,41612
22774,43860
22775,46252
22776,50939
22777,50940
22778,43863
22779,43864
22784,43866
22785,43866
22787,46253
22789,43867
22790,50944
22791,50944
22792,50944
22793,50944
22794,50945
22795,50946
22812,41615
22828,48558
22829,48558
22830,50952
22831,48559
22833,41617
22834,50954
22835,41618
22836,46258
22837,46258
22844,43870
22845,43870
22846,43871
22847,50956
22848,50957
22849,50957
22861,41620
22862,41620
22863,50961
22864,41621
22865,48562
22866,43876
22867,50962
22868,46260
22869,46260
22870,46260
22871,46260
22872,46260
22873,46260
22874,46260
22875,46260
22876,46260
22877,46260
22878,46260
22879,46260
22880,43877
22881,46261
22882,41623
22884,41625
22885,41625
22887,41626
22889,43878
22890,50966
22891,50966
22892,48565
22893,50967
22894,50967
22895,50967
22896,50967
22897,50967
22898,50967
22907,41627
22908,41628
22909,50970
22910,48567
22925,48568
22926,50973
22927,46266
22928,48569
22929,48569
22936,48571
22937,41630
22938,50975
22939,50975
22940,50975
22941,50975
22942,50975
22943,50975
22946,50977
22950,41631
22951,50979
22952,46268
22960,46269
22961,50981
22962,50981
22963,50981
22964,50981
22965,41633
22966,41633
22967,41633
22968,46270
22969,46271
22970,46271
22971,48576
22972,41635
22973,41635
22974,41634
22975,50982
22976,46273
22977,46273
22978,46273
22979,46273
22980,46273
22981,46273
22982,46273
22983,46273
22984,48577
22985,48577
22987,43881
22997,50985
22998,46274
23005,50987
23006,50987
23007,50987
23008,50987
23009,50987
23010,48580
23011,43885
23012,43885
23013,48581
23014,48582
23015,48582
23020,50989
23021,43887
23022,43887
23023,41636
23025,41638
23026,41638
23029,50992
23030,48583
23031,48584
23032,50993
23033,41640
23034,41640
23035,41641
23036,50994
23037,50994
23040,50996
23043,48585
23044,48585
23045,48585
23046,48585
23047,48585
23048,48585
23049,50998
23050,48586
23051,41645
23052,46277
23053,50999
23054,48587
23055,48587
23056,48587
23057,48587
23059,41646
23060,41646
23061,51001
23062,51001
23063,51001
23066,46280
23067,46280
23068,46280
23069,46280
23071,48589
23085,41649
23090,41650
23091,46281
23092,46281
23093,46281
23094,46281
23095,46281
23096,46281
23097,43895
23099,48591
23107,41651
23108,41651
23109,51012
23110,41652
23111,41652
23112,41652
23113,41652
23114,41653
23125,51014
23130,43898
23131,43898
23132,43898
23133,43899
23134,43899
23135,43899
23136,51016
23137,43900
23138,51017
23139,51017
23140,51017
23141,51017
23142,51017
23143,51017
23144,51017
23145,51017
23146,51017
23147,51017
23148,46285
23149,51018
23150,41655
23151,51019
23163,43902
