ID,Field_1_60_1_69876_000,Field_1_60_1_69876_001,Field_1_60_1_69876_002
1,193142,1,1
2,193143,1,1
3,193144,1,1
21,195840,1,1
22,195887,1,1
41,195834,1,1
42,195841,1,1
43,195842,1,1
44,195888,1,1
45,195889,1,1
61,412087,1,1
62,1306219,1,1
63,1306220,1,1
64,1302692,1,1
65,1279097,1,1
66,1302694,1,1
67,1302759,1,1
68,1302760,1,1
69,1302761,1,1
70,1307391,1,1
71,1361595,1,1
72,1361591,1,1
73,1302750,1,1
74,1302690,1,1
75,1361091,1,1
76,1361097,1,1
77,2060706,1,1
78,2060707,1,1
79,2060708,1,1
80,2060709,1,1
81,2060710,1,1
84,1371124,1,1
85,1371114,1,1
86,1371105,1,1
87,1368588,1,1
88,1368583,1,1
89,1368575,1,1
90,1368864,1,1
91,1363158,1,1
92,1306221,1,1
93,1363149,1,1
94,1034335,1,1
95,1034558,1,1
96,1034674,1,1
97,1241117,1,1
98,1034676,1,1
99,1241107,1,1
100,1120838,1,1
101,1239883,1,1
102,1120838,1,1
103,1120838,1,1
104,1120838,1,1
105,1120838,1,1
106,1239883,1,1
107,1337561,1,1
110,950853,1,1
111,1237624,1,1
112,1237624,1,1
113,1112525,1,1
114,1387460,1,1
115,1387476,1,1
116,1387470,1,1
117,1387473,1,1
118,1387484,1,1
119,1387489,1,1
120,1387494,1,1
121,1387502,1,1
122,1387506,1,1
123,1387454,1,1
124,113992,1,1
125,323174,1,1
128,1367071,1,1
129,1365658,1,1
130,1269394,1,1
131,1400992,1,1
132,1396953,1,1
134,1260825,1,1
135,1392727,1,1
136,1389366,1,1
137,1398854,1,1
138,1397618,1,1
139,1447182,1,1
141,1309274,1,1
142,1309275,1,1
143,1309276,1,1
144,1376302,1,1
145,1309277,1,1
146,1376385,1,1
147,1375557,1,1
148,1375558,1,1
149,328958,1,1
150,1097343,1,1
151,1100129,1,1
152,1126402,1,1
153,1139517,1,1
154,1259981,1,1
155,1323520,1,1
156,1131107,1,1
157,1109526,1,1
158,1088360,1,1
159,1260600,1,1
160,1261776,1,1
161,1302874,1,1
162,1114271,1,1
163,356007,1,1
164,398046,1,1
165,982346,1,1
166,849977,1,1
167,985381,1,1
168,1098323,1,1
169,1120479,1,1
170,1308534,1,1
171,1003714,1,1
172,520577,1,1
173,875028,1,1
174,1116934,1,1
175,1118767,1,1
176,1118642,1,1
177,1100587,1,1
178,1366806,1,1
179,1248343,1,1
180,1302674,1,1
181,1392723,1,1
182,849963,1,1
183,942595,1,1
184,880023,1,1
185,987520,1,1
186,983762,1,1
187,999762,1,1
188,892819,1,1
189,1020778,1,1
190,1115200,1,1
191,963165,1,1
192,1005200,1,1
193,1020346,1,1
194,1006131,1,1
195,1020347,1,1
196,1020355,1,1
197,1371331,1,1
198,880026,1,1
199,892499,1,1
200,849021,1,1
201,1378563,1,1
202,111520,1,1
203,110630,1,1
204,219600,1,1
205,972314,1,1
206,1092849,1,1
207,352648,1,1
208,352763,1,1
209,586062,1,1
210,659858,1,1
211,367552,1,1
212,1376518,1,1
213,1302874,1,1
214,1453753,1,1
215,1269394,1,1
216,1083309,1,1
217,1449437,1,1
218,1449408,1,1
219,1449285,1,1
220,1323498,1,1
221,1337563,1,1
222,109026,1,1
223,1365658,1,1
224,1090671,1,1
225,112553,1,1
226,308418,1,1
227,606302,1,1
228,589124,1,1
229,849966,1,1
230,1131661,1,1
231,1561830,1,1
232,1561826,1,1
233,1562508,1,1
234,1561824,1,1
235,1561818,1,1
236,1561834,1,1
237,1561832,1,1
238,368719,1,1
239,1569653,1,1
240,1668175,1,1
242,1885970,1,1
243,1724957,1,1
244,1724965,1,1
245,1724952,1,1
246,1724958,1,1
248,1569339,1,1
350,1970340,1,1
352,1784191,1,1
353,1784193,1,1
354,1784192,1,1
355,1818092,1,1
358,1247165,1,1
359,1247165,1,1
360,1247157,1,1
361,1247156,1,1
362,1247158,1,1
363,1376064,1,1
364,1247159,1,1
365,1376063,1,1
366,1376062,1,1
367,1247154,1,1
369,1247169,1,1
370,1247170,1,1
371,1247163,1,1
372,1465599,1,1
373,1465600,1,1
374,1465601,1,1
375,2174086,1,1
376,2174087,1,1
377,2174088,1,1
378,2174089,1,1
387,249657,1,1
388,331158,1,1
389,331158,1,1
390,331158,1,1
391,331158,1,1
392,328958,1,1
394,321999,1,1
395,321999,1,1
396,331156,1,1
397,331156,1,1
398,331156,1,1
399,328960,1,1
400,328960,1,1
401,108069,1,1
404,519063,1,1
405,2324283,1,1
406,2357504,1,1
407,2480442,1,1
408,2480443,1,1
409,2323113,1,1
410,2323115,1,1
411,2323116,1,1
412,2353899,1,1
413,2353900,1,1
414,2500297,1,1
415,2500298,1,1
416,2500299,1,1
417,2833945,1,1
418,2833946,1,1
419,2833947,1,1
420,2957921,1,1
421,2957922,1,1
422,2965308,1,1
423,2984811,1,1
424,3038196,1,1
425,3269742,1,1
426,3269743,1,1
427,3269744,1,1
428,3269745,1,1
429,3269746,1,1
430,3269747,1,1
431,3269748,1,1
432,3269749,1,1
433,3269750,1,1
434,3269751,1,1
435,3269767,1,1
436,2737386,1,1
437,2994774,1,1
439,3171841,1,1
440,2992350,1,1
441,3171081,1,1
442,2994773,1,1
443,2835368,1,1
444,2991928,1,1
445,3445776,1,1
446,3445775,1,1
447,3590347,1,1
448,3076518,1,1
449,3524904,1,1
451,3572293,1,1
452,3641170,1,1
455,3572296,1,1
456,3856278,1,1
457,4196520,1,1
459,4214138,1,1
460,3998637,1,1
461,4397603,1,1
463,4397602,1,1
464,4397601,1,1
465,2903219,1,1
466,2903218,1,1
468,4419437,1,1
469,4290182,1,1
470,4618041,1,1
471,4625121,1,1
474,5341080,1,1
475,5341081,1,1
476,5341082,1,1
477,5169969,1,1
482,5151911,1,1
483,5201715,1,1
485,5172986,1,1
486,5222581,1,1
487,4928492,1,1
488,5144429,1,1
489,5593569,1,1
490,5593571,1,1
492,5670308,1,1
493,5670314,1,1
494,5670315,1,1
495,5670316,1,1
496,5670317,1,1
497,5369135,1,1
498,5519245,1,1
499,5207351,1,1
500,5333052,1,1
501,5520445,1,1
502,5143779,1,1
503,6034137,1,1
504,6034138,1,1
505,6034139,1,1
506,5916194,1,1
507,5916195,1,1
508,6023169,1,1
509,6023177,1,1
510,5916197,1,1
511,5916196,1,1
512,6009482,1,1
513,6023218,1,1
514,6009480,1,1
515,6075658,1,1
516,6009479,1,1
517,6009481,1,1
518,6189137,1,1
519,6189138,1,1
520,6189139,1,1
521,6189141,1,1
522,6225720,1,1
523,6225721,1,1
527,5899064,1,1
528,5898960,1,1
529,5899063,1,1
530,5899067,1,1
531,5899068,1,1
532,5899069,1,1
533,5899070,1,1
534,5899071,1,1
535,5899065,1,1
536,5899066,1,1
537,5899073,1,1
538,5899072,1,1
539,5899074,1,1
540,5899075,1,1
541,5899076,1,1
542,6219457,1,1
590,202360,1,1
592,199142,1,1
608,201541,1,1
609,202447,1.5,1
610,202445,1.5,1
613,202443,1.5,1
614,165759,4,1
615,202446,1.5,1
617,202444,1.5,1
618,190731,1.5,1
622,198303,1,0.3
623,165961,6,1
625,190767,3,1
626,190207,1.2,1
627,190206,1.2,1
628,190205,1.2,1
629,165962,6,1
631,201452,1.75,1
632,240869,2,1
633,197022,1.69,0.28
634,197024,1.28,0.25
635,197453,1.28,0.32
636,201380,1.6,1.6
637,139834,3,2
638,139835,3,2
639,139836,3,2
640,139837,3,2
641,139838,3,2
642,139839,3,2
643,139840,3,2
644,139841,3,2
645,139842,3,2
646,139843,3,2
647,139844,3,2
648,139845,3,2
649,140948,1.5,0.5
650,140949,1.5,0.5
651,140950,1.5,0.5
652,140951,1.5,0.5
653,140954,1.5,0.5
654,140955,1.5,0.5
655,140956,1.5,0.5
656,140957,1.5,0.5
657,140958,1.5,0.5
658,140959,1.5,0.5
659,140960,1.5,0.5
660,140961,1.5,0.5
661,140962,1.5,0.5
662,140963,1.5,0.5
663,140964,1.5,0.5
664,140965,1.5,0.5
665,141621,1.43,1.35
666,141611,1.43,1.35
667,141612,1.43,1.35
668,141615,1.43,1.35
669,141616,1.43,1.35
670,141617,1.43,1.35
671,141618,1.43,1.35
672,141622,1.43,1.35
673,189652,1.25,1
674,190202,0.7,1
675,190203,0.7,1
676,190204,0.7,1
677,202448,1.5,1
679,202448,1.5,1
680,202450,1.5,1
683,202449,1.5,1
684,203848,1.45,1
685,197716,1,2.75
686,197719,1,0.8
687,197790,1.35,1
688,189097,1.45,1
689,189825,1,1
690,197437,1.4,0.47
691,191099,1.85,1
692,191100,1.85,1
693,199441,2,1
694,202490,1.8,1
695,202389,2.5,0.35
696,202390,1.2,1
697,202463,1.5,1
698,202464,1.5,1
699,202465,1.5,1
700,202466,1.5,1
701,202471,1.5,1
702,202472,1.5,1
703,202473,1.5,1
704,202474,1.5,1
705,202477,1.25,1
706,202478,1.25,1
707,202479,1.25,1
708,240870,1.7,1
709,146090,3,1
710,146094,3,1
711,146101,3,1
712,202480,1.25,1
713,202481,1.25,1
714,202482,1.25,1
715,202483,1.7,1
716,202484,1.7,1
717,202485,1.7,1
718,202486,1.7,1
719,198318,1,0.6
720,198319,1,0.6
721,198320,1,0.6
722,198323,1,0.6
723,190613,1.3,1
724,141623,1.43,1.35
725,141624,1.43,1.35
726,141625,1.43,1.35
727,141626,1.43,1.35
728,141627,1.43,1.35
729,141628,1.43,1.35
730,141629,1.43,1.35
731,141630,1.43,1.35
732,141631,1.43,1.35
733,141632,1.43,1.35
737,199041,1.23,0.58
738,146072,1.6,1
739,146076,1.6,1
740,146043,1.6,1
741,145997,1.5,1
742,145996,1.4,1
743,145995,1.45,1
744,145994,1.45,1
745,141909,1.45,1
747,141908,1.45,1
748,141907,1.45,1
749,141906,1.45,1
750,141905,1.45,1
751,141904,1.45,1
752,141903,1.45,1
753,141902,1.45,1
754,141901,1.45,1
755,141900,1.45,1
756,141899,1.45,1
757,141898,1.45,1
758,141896,1.45,1
759,141895,1.45,1
760,141894,1.45,1
761,141893,1.45,1
766,199908,0.6,1.3
767,199907,1.2,1.3
768,199905,1.25,1.3
769,199909,1.25,1.3
770,199914,8.6,0.14
771,199917,1.7,0.66
772,199920,1.76,0.66
773,199923,3.3,1.08
774,141114,2.2,1
775,141113,2.2,1
776,141112,2.2,1
777,141111,2.2,1
778,141110,2.2,1
779,141109,2.2,1
780,141108,2.2,1
781,141107,2.2,1
782,141106,2.2,1
783,141105,2.2,1
784,141104,2.2,1
785,141103,2.2,1
786,141100,2.2,1
787,141099,2.2,1
788,141098,2.2,1
789,141097,2.2,1
790,140835,3,0.5
791,140834,3,0.5
792,140833,3,0.5
793,140832,3,0.5
794,140831,3,0.5
795,140830,3,0.5
796,140829,3,0.5
797,140828,3,0.5
798,140827,3,0.5
799,140826,3,0.5
800,140825,3,0.5
801,140824,3,0.5
802,140821,3,0.5
803,140820,3,0.5
804,140819,3,0.5
805,140818,3,0.5
806,202271,1.75,1
807,202272,1.86,1
808,139666,1,1.5
809,139665,1,1.5
810,139664,1,1.5
811,139663,1,1.5
812,198798,3.75,0.37
813,139661,1,1.5
815,139660,1,1.5
816,139659,1,1.5
817,139658,1,1.5
818,198717,5,0.13
819,139657,1,1.5
820,139656,1,1.5
821,139655,1,1.5
822,139652,1,1.5
823,139651,1,1.5
824,190685,0.75,1
825,139650,1,1.5
826,139649,1,1.5
827,138914,2.2,0.2
828,138913,2.2,0.2
829,138912,2.2,0.2
830,138911,2.2,0.2
831,138910,2.2,0.2
832,138909,2.2,0.2
833,138908,2.2,0.2
834,138907,2.2,0.2
835,138904,2.2,0.2
836,138903,2.2,0.2
837,138900,2.2,0.2
838,198743,5.48,0.14
839,138899,2.2,0.2
840,138898,2.2,0.2
841,138897,2.2,0.2
842,198744,2.4,0.28
843,141667,1.53,1.86
844,141668,1.53,1.86
845,141671,1.53,1.86
846,138888,1,0.75
847,138887,1,0.75
848,138886,1,0.75
849,138885,1,0.75
850,138884,1,0.75
851,141672,1.53,1.86
852,141673,1.53,1.86
853,138883,1,0.75
854,138882,1,0.75
855,141674,1.53,1.86
856,141677,1.53,1.86
857,141678,1.53,1.86
858,141679,1.53,1.86
859,138881,1,0.75
860,141680,1.53,1.86
861,138880,1,0.75
862,138879,1,0.75
863,138878,1,0.75
864,138877,1,0.75
865,138874,1,0.75
866,138873,1,0.75
867,138872,1,0.75
868,138871,1,0.75
869,138767,1,0.75
870,138766,1,0.75
871,138765,1,0.75
872,138764,1,0.75
873,138763,1,0.75
874,138762,1,0.75
875,138761,1,0.75
876,138760,1,0.75
877,138759,1,0.75
878,138758,1,0.75
879,138757,1,0.75
881,138756,1,0.75
882,138753,1,0.75
883,138752,1,0.75
884,138751,1,0.75
885,138750,1,0.75
886,141681,1.53,1.86
887,141682,1.53,1.86
888,141683,1.53,1.86
889,141684,1.53,1.86
890,141685,1.53,1.86
891,141686,1.53,1.86
892,138244,3.4,0.5
893,141687,1.53,1.86
894,141688,1.53,1.86
895,138243,3.4,0.5
896,138242,3.4,0.5
897,138241,3.4,0.5
899,141978,5.9,0.75
900,138240,3.4,0.5
901,138239,3.4,0.5
902,141979,5.9,0.75
903,138238,3.4,0.5
