ID,Name,Flags,SkyboxFileDataID,CelestialSkyboxFileDataID
1,Environments\Stars\StratholmeSkybox.mdx,0,0,0
2,Environments\Stars\PortalWorldLegionSky.mdx,0,0,0
3,Environments\Stars\DeathClouds.mdx,0,0,0
4,Environments\Stars\Stars.mdx,0,0,0
5,Environments\Stars\CavernsOfTimeSky.mdx,0,0,0
6,Environments\Stars\DireMaulSkyBox.mdx,0,0,0
7,Environments\Stars\HellfireSkyBox.mdx,0,0,0
8,Environments\Stars\BoneWastesSkyBox.mdx,0,0,0
9,Environments\Stars\ShadowMoonSkyBox.mdx,0,0,0
10,Environments\Stars\NetherstormSkyBox.mdx,0,0,0
11,Environments\Stars\BladesEdgeSkyBox.mdx,0,0,0
12,Environments\Stars\NagrandSkyBox.mdx,1,0,0
14,Environments\Stars\BladesedgeForestSkyBox.mdx,0,0,0
15,Environments\Stars\BladesedgeNightElfSkyBox.mdx,0,0,0
18,Environments\Stars\ShadowmoonIllidan.mdx,0,0,0
19,Environments\Stars\DragonblightScarletSkyBox.mdx,2,0,0
21,ENVIRONMENTS\Stars\ZulDrakSkyB.mdx,1,0,0
23,ENVIRONMENTS\Stars\ColdarraSky.mdx,1,0,0
25,ENVIRONMENTS\Stars\IceCrownCitadelSky.mdx,0,0,0
26,ENVIRONMENTS\Stars\Aurora.mdx,2,0,0
27,ENVIRONMENTS\Stars\IceCrownSky.mdx,0,0,0
28,ENVIRONMENTS\Stars\IceCrownCitadelSky.mdx,0,0,0
29,ENVIRONMENTS\Stars\IceCrownDarkSky.mdx,1,0,0
30,ENVIRONMENTS\Stars\IceCrownCitadelSky.mdx,0,0,0
33,ENVIRONMENTS\Stars\NexusRaid_NebulaSky.mdx,0,0,0
34,ENVIRONMENTS\Stars\ChamberAspectsBlackSky.mdx,0,0,0
35,ENVIRONMENTS\Stars\BladesedgeForestSkyBox.mdx,0,0,0
36,ENVIRONMENTS\Stars\IceCrownScourgeSky.mdx,0,0,0
37,ENVIRONMENTS\Stars\StormPeaks_SkyA.mdx,1,0,0
38,ENVIRONMENTS\Stars\DeathKnightFireSkyBox.mdx,0,0,0
39,ENVIRONMENTS\Stars\DeathKnightFireSkyBox.mdx,0,0,0
40,ENVIRONMENTS\Stars\DeathKnightFireSkyBox.mdx,2,0,0
41,ENVIRONMENTS\Stars\IceCrownDarkSky.mdx,0,0,0
42,ENVIRONMENTS\Stars\IceCrownSunsetSky.mdx,0,0,0
45,ENVIRONMENTS\Stars\WintergraspSmokySky.mdx,1,0,0
48,ENVIRONMENTS\Stars\WintergraspSmokySky.mdx,0,0,0
49,ENVIRONMENTS\Stars\ChamberAspectsBlackSky.mdx,0,0,0
51,ENVIRONMENTS\Stars\ChamberAspectsBlackSky.mdx,0,0,0
52,ENVIRONMENTS\Stars\WintergraspSmokySky.mdx,1,0,0
55,ENVIRONMENTS\Stars\AuroraYellowGreen.mdx,2,0,0
56,ENVIRONMENTS\Stars\AuroraYellowGreen.mdx,2,0,0
57,ENVIRONMENTS\Stars\AuroraYellowGreen.mdx,2,0,0
58,ENVIRONMENTS\Stars\AuroraYellowGreen.mdx,2,0,0
59,ENVIRONMENTS\Stars\AuroraYellowGreen.mdx,2,0,0
60,ENVIRONMENTS\Stars\AuroraYellowGreen.mdx,2,0,0
61,ENVIRONMENTS\Stars\AuroraYellowGreen.mdx,2,0,0
62,ENVIRONMENTS\Stars\AuroraYellowGreen.mdx,2,0,0
63,ENVIRONMENTS\Stars\AuroraOrange.mdx,2,0,0
64,ENVIRONMENTS\Stars\AuroraOrange.mdx,2,0,0
65,ENVIRONMENTS\Stars\AuroraYellowGreen.mdx,2,0,0
66,ENVIRONMENTS\Stars\AuroraYellowGreen.mdx,2,0,0
67,ENVIRONMENTS\Stars\AuroraYellowGreen.mdx,2,0,0
68,ENVIRONMENTS\Stars\AuroraYellowGreen.mdx,2,0,0
69,ENVIRONMENTS\Stars\AuroraYellowGreen.mdx,2,0,0
70,ENVIRONMENTS\Stars\AuroraYellowGreen.mdx,2,0,0
71,ENVIRONMENTS\Stars\AuroraYellowGreen.mdx,2,0,0
72,ENVIRONMENTS\Stars\AuroraYellowGreen.mdx,2,0,0
73,ENVIRONMENTS\Stars\AuroraYellowGreen.mdx,2,0,0
74,ENVIRONMENTS\Stars\AuroraYellowGreen.mdx,2,0,0
75,ENVIRONMENTS\Stars\AuroraYellowGreen.mdx,2,0,0
76,ENVIRONMENTS\Stars\AuroraOrange.mdx,2,0,0
77,ENVIRONMENTS\Stars\AuroraYellowGreen.mdx,2,0,0
78,ENVIRONMENTS\Stars\AuroraOrange.mdx,2,0,0
79,ENVIRONMENTS\Stars\AuroraOrange.mdx,2,0,0
80,ENVIRONMENTS\Stars\ZulDrakSkyA.mdx,0,0,0
81,ENVIRONMENTS\Stars\DeathSkybox.mdx,0,0,0
82,ENVIRONMENTS\Stars\DeathSkybox.mdx,0,0,0
83,ENVIRONMENTS\Stars\DeathSkybox.mdx,0,0,0
84,ENVIRONMENTS\Stars\AuroraOrange.mdx,2,0,0
85,ENVIRONMENTS\Stars\AuroraOrange.mdx,2,0,0
