ID,Field_12_0_0_63534_000,Field_12_0_0_63534_001,HouseThemeID,TextureAFileDataID,TextureBFileDataID
276,5235394728480893495,0,6,6856592,0
277,5235394728480893495,0,20,6856592,6856592
278,5235394728480893495,0,7,6856592,6856592
279,2906876479718359642,0,6,5658170,0
280,2906876479718359642,0,20,5658170,5658170
281,2906876479718359642,0,7,5658170,5658170
282,2202902440920951891,0,6,7535056,0
283,2202902440920951891,0,20,7535056,7535056
284,2202902440920951891,0,7,7535056,7535056
285,2163196650997800641,0,6,6125277,0
286,2163196650997800641,0,20,6125277,6125303
287,2163196650997800641,0,7,6125277,6234498
288,2163196650997800641,1,6,6125278,0
289,2163196650997800641,1,20,6125278,6125304
290,2163196650997800641,1,7,6125278,6125330
291,2163196650997800641,2,6,6125279,0
292,2163196650997800641,2,20,6125279,6125305
293,2163196650997800641,2,7,6125279,6125331
294,2163196650997800641,3,6,6125299,0
295,2163196650997800641,3,20,6125299,6125325
296,2163196650997800641,3,7,6125299,6125351
297,2163201049044313485,0,6,6125280,0
298,2163201049044313485,0,20,6125280,6125306
299,2163201049044313485,0,7,6125280,6125332
300,2163201049044313485,1,6,6125281,0
301,2163201049044313485,1,20,6125281,6125307
302,2163201049044313485,1,7,6125281,6125333
303,2163201049044313485,2,6,6125279,0
304,2163201049044313485,2,20,6125279,6125305
305,2163201049044313485,2,7,6125279,6125331
306,2163194451974544219,0,6,6125282,0
307,2163194451974544219,0,20,6125282,6125308
308,2163194451974544219,0,7,6125282,6125334
309,2163194451974544219,1,6,6125283,0
310,2163194451974544219,1,20,6125283,6125309
311,2163194451974544219,1,7,6125283,6125335
312,2163194451974544219,2,6,6125279,0
313,2163194451974544219,2,20,6125279,6125305
314,2163194451974544219,2,7,6125279,6125331
315,9450478452378205046,0,6,6125301,0
316,9450478452378205046,0,20,6125301,6125327
317,9450478452378205046,0,7,6125301,6125353
318,9450478452378205046,1,6,6125302,0
319,9450478452378205046,1,20,6125302,6125328
320,9450478452378205046,1,7,6125302,6125354
321,9450478452378205046,2,6,6125291,0
322,9450478452378205046,2,20,6125291,6125317
323,9450478452378205046,2,7,6125291,6125343
324,9450478452378205046,3,6,6125279,0
325,9450478452378205046,3,20,6125279,6125305
326,9450478452378205046,3,7,6125279,6125331
327,2445789800307233535,0,6,6125280,0
328,2445789800307233535,0,20,6125280,6125306
329,2445789800307233535,0,7,6125280,6125332
330,2445789800307233535,1,6,6125281,0
331,2445789800307233535,1,20,6125281,6125307
332,2445789800307233535,1,7,6125281,6125333
333,2445789800307233535,2,6,6125294,0
334,2445789800307233535,2,20,6125294,6125320
335,2445789800307233535,2,7,6125294,6125346
