ID,MilestoneOrderIndex,RequiredContributionAmount,Field_12_0_0_63534_003,NeighborhoodInitiativeID
6,0,25,0,1
10,0,25,0,10
11,1,50,0,10
12,2,75,0,10
13,3,100,1,10
14,0,25,0,11
15,1,50,0,11
16,2,75,0,11
17,3,100,1,11
18,0,25,0,12
19,1,50,0,12
20,2,75,0,12
21,3,100,1,12
22,0,25,0,13
23,1,50,0,13
24,2,75,0,13
25,3,100,1,13
26,0,25,0,14
27,1,50,0,14
28,2,75,0,14
29,3,100,1,14
30,0,25,0,15
31,1,50,0,15
32,2,75,0,15
33,3,100,1,15
34,0,25,0,16
35,1,50,0,16
36,2,75,0,16
37,3,100,1,16
38,1,50,0,1
39,2,75,0,1
40,3,100,0,1
41,0,25,0,17
42,1,50,0,17
43,2,75,0,17
44,3,100,1,17
45,0,25,0,18
46,1,50,0,18
47,2,75,0,18
48,3,100,1,18
49,0,25,0,19
50,1,50,0,19
51,2,75,0,19
52,3,100,1,19
