ID,Field_1_60_1_69876_000,Field_1_60_1_69876_001,Field_1_60_1_69876_002,Field_1_60_1_69876_003
124,0,1,1,50
125,0,2,2,55
126,0,3,2,60
127,0,4,3,65
128,0,5,4,70
129,0,6,6,75
130,0,7,7,80
131,0,8,7,85
132,0,9,8,90
133,0,10,8,95
134,0,11,9,100
135,0,12,9,105
136,0,13,9,110
137,0,14,10,115
138,0,15,10,120
139,0,16,10,125
140,0,17,11,130
141,0,18,11,135
142,0,19,11,140
143,0,20,11,145
144,0,21,12,150
145,0,22,12,155
146,0,23,12,160
147,0,24,12,165
148,0,25,12,170
149,0,26,40,175
150,0,27,40,180
151,0,28,40,185
152,0,29,40,190
153,0,30,45,195
154,0,31,45,200
155,0,32,45,205
156,0,33,45,210
157,0,34,45,215
158,0,35,45,220
159,0,36,45,225
160,0,37,45,230
161,0,38,45,235
162,0,39,50,240
163,0,40,50,245
164,0,41,50,250
165,0,42,50,255
166,0,43,50,260
167,0,44,50,265
168,0,45,50,270
169,0,46,50,275
170,0,47,50,280
171,0,48,50,285
172,0,49,50,290
173,0,50,50,295
174,0,51,50,300
175,0,52,55,305
176,0,53,55,310
177,0,54,55,315
178,0,55,55,320
179,0,56,55,325
180,0,57,55,330
181,0,58,55,335
182,0,59,55,340
183,0,60,55,345
184,0,61,55,350
185,0,62,55,355
186,0,63,55,360
187,0,64,55,365
188,0,65,55,370
189,0,66,60,375
190,0,67,60,380
191,0,68,60,385
192,0,69,60,390
193,0,70,60,395
194,0,71,60,400
195,0,72,60,405
196,0,73,60,410
197,0,74,60,415
198,0,75,60,420
199,0,76,60,425
200,0,77,60,430
201,0,78,60,435
202,0,79,60,440
203,0,80,60,445
204,0,81,65,450
205,0,82,65,455
206,0,83,65,460
207,0,84,65,465
208,0,85,65,470
209,0,86,65,475
210,0,87,65,480
211,0,88,65,485
212,0,89,65,490
213,0,90,65,495
214,0,91,65,500
215,0,92,65,505
216,0,93,65,510
217,0,94,65,515
218,0,95,65,520
219,0,96,65,525
220,0,97,65,530
221,0,98,65,535
222,0,99,65,540
223,0,100,65,545
224,0,101,65,550
225,0,102,65,555
226,0,103,65,560
227,0,104,65,565
228,0,105,65,570
229,0,106,65,575
230,0,107,65,580
231,0,108,65,585
232,0,109,65,590
233,0,110,65,595
234,0,111,65,600
235,0,112,65,605
236,0,113,65,610
237,0,114,65,615
238,0,115,65,620
239,0,116,65,625
240,0,117,65,630
241,0,118,65,635
242,0,119,65,640
243,0,120,65,645
244,0,121,65,650
245,0,122,65,655
246,0,123,65,660
