ID,NodeTemplateID,PinTemplateID
3,1,2
4,2,1
5,5,1
6,2,2
7,5,2
8,7,1
9,7,2
10,8,1
11,8,2
12,6,1
13,6,2
14,9,1
15,9,2
16,18,1
17,18,2
18,19,1
19,19,2
20,6,1
21,6,2
22,18,1
23,18,2
24,19,1
25,19,2
26,20,1
27,20,2
28,21,1
29,21,2
30,22,1
31,22,2
32,23,1
33,23,2
34,24,1
35,24,2
36,25,1
37,25,2
38,26,1
39,26,2
40,27,1
41,27,2
42,28,1
43,28,2
44,29,1
45,29,2
46,30,1
47,30,2
48,31,1
49,31,2
50,32,1
51,32,2
52,33,1
53,33,2
54,34,1
55,34,2
56,35,1
57,35,2
58,36,1
59,36,2
60,37,1
61,37,2
62,38,1
63,38,2
64,39,1
65,39,2
66,40,1
67,40,2
68,41,1
69,41,2
70,43,1
71,43,2
72,44,1
73,44,2
74,45,1
75,45,2
76,46,1
77,46,2
78,47,1
79,47,2
80,48,1
81,48,2
85,51,1
86,51,2
87,52,1
88,52,2
89,53,1
90,53,2
91,54,1
92,54,2
93,55,1
94,55,2
95,56,1
96,56,2
97,57,1
98,57,2
99,58,1
100,58,2
101,59,1
102,59,2
103,60,1
104,60,2
105,61,1
106,61,2
107,62,1
108,62,2
109,63,1
110,63,2
111,64,1
112,64,2
113,65,1
114,65,2
115,66,1
116,66,2
117,67,1
118,67,2
119,68,1
120,68,2
121,69,1
122,69,2
123,70,1
124,70,2
125,71,1
126,71,2
127,72,1
128,72,2
129,73,1
130,73,2
131,74,1
132,74,2
133,75,1
134,75,2
135,76,1
136,76,2
137,77,1
138,77,2
139,78,1
140,78,2
141,79,1
142,79,2
143,80,1
144,80,2
145,16,1
146,16,2
148,82,2
