ID,ParentWidgetID,MapID
4472,2,489
4473,3,530
4474,4,530
4475,5,530
4476,6,489
4477,7,1813
4478,8,1813
4479,9,1955
4480,10,1813
4483,497,1
4484,498,1
4485,499,534
4486,500,534
4487,501,530
4488,502,530
4489,503,530
4490,504,530
4491,505,530
4492,506,530
4493,507,269
4494,508,562
4495,509,562
4496,510,530
4497,511,530
4498,512,530
4499,513,530
4500,514,530
4501,515,530
4502,516,559
4503,517,559
4504,518,530
4505,519,530
4506,520,530
4507,521,566
4508,522,560
4511,525,530
4512,526,530
4513,527,269
4514,528,534
4515,529,530
4516,530,530
4517,531,572
4518,532,572
4519,533,530
4520,534,1
4521,535,568
4524,538,571
4525,539,595
4526,540,571
4527,541,595
4528,542,571
4529,543,571
4530,544,578
4531,545,607
4532,546,607
4533,547,607
4534,548,607
4535,549,607
4536,550,607
4537,551,607
4538,552,607
4539,553,609
4540,554,609
4541,555,609
4542,556,609
4543,557,617
4544,558,617
4545,559,618
4546,560,618
4547,561,571
4548,562,571
4549,563,571
4550,564,571
4551,565,608
4552,566,608
4553,567,0
4554,568,0
4555,569,0
4556,570,0
4557,571,0
4558,572,0
4559,573,0
4560,574,0
4561,575,0
4562,576,0
4563,577,0
4564,578,0
4565,579,595
4566,580,0
4567,581,0
4568,582,0
4569,583,0
4570,584,0
4571,585,0
4572,586,0
4573,587,603
4576,590,607
4577,591,649
4578,592,668
4579,593,631
4580,594,631
4581,595,631
4582,596,631
4583,597,631
4584,598,631
4585,599,0
4586,600,0
4587,601,0
4588,602,0
4589,603,0
4590,604,0
4591,605,0
4592,606,0
4593,607,0
4594,608,0
4595,609,0
4596,610,0
4597,611,0
4598,612,724
4599,613,724
4600,614,1
4601,615,1
4602,616,1
4603,617,1
4604,618,1
4605,619,1
4606,620,1
4607,621,1
4608,622,1
4609,623,1
4610,624,1
4611,625,1
4612,626,1
4613,627,1
4617,631,728
4618,632,728
4619,633,728
4620,634,0
4621,635,0
4622,636,0
4623,637,0
4624,638,0
4625,639,0
4626,640,0
4627,641,0
4628,642,0
4629,643,0
4630,644,0
4631,645,0
4632,646,0
4633,647,0
4634,648,0
4635,649,0
4636,650,0
4637,651,1
4638,652,1
4639,653,1
4640,654,1
4641,655,1
4642,656,1
4643,657,1
4644,658,1
4645,659,1
4646,660,1
4647,661,1
4648,662,1
4649,663,1
4650,664,0
4651,665,1
4652,666,1
4653,667,1
4654,668,1
4655,669,1
4656,670,1
4657,671,1
4658,672,1
4659,673,1
4660,674,1
4661,675,1
4662,676,1
4663,677,1
4664,678,0
4665,679,0
4666,680,0
4667,681,0
4668,682,732
4669,683,732
4670,684,732
4671,685,732
4672,686,732
4673,687,732
4674,688,732
4675,689,0
4676,690,0
4677,691,0
4678,692,0
4679,693,0
4680,694,0
4681,695,0
4682,696,0
4683,697,0
4684,698,0
4687,701,732
4688,702,732
4689,703,657
4692,706,939
4693,707,938
4696,710,1005
4697,711,1010
4698,712,1010
4699,713,1010
4702,716,860
4703,717,1031
4704,718,1031
4705,719,980
4706,720,980
4707,721,1048
4708,722,994
4709,723,727
4710,724,870
4711,725,870
4712,726,870
4713,727,870
4714,728,870
4715,729,870
4716,730,1098
4717,731,1098
4718,732,1134
4719,733,1134
4722,736,1155
4723,737,1155
4724,738,1134
4725,739,870
4726,740,562
4727,741,617
4728,742,559
4729,743,618
4730,744,980
4731,745,572
4732,746,1136
4733,747,1136
4734,748,1136
4735,749,1136
4736,750,1157
4737,751,1136
4738,752,1136
4739,753,1136
4740,754,1136
4741,755,1168
4742,756,1134
4743,757,1134
4744,758,562
4745,759,562
4746,760,617
4747,761,617
4748,762,1504
4749,763,1504
4750,764,618
4751,765,618
4752,766,980
4753,767,980
4754,768,572
4755,769,572
4756,770,1116
4757,772,1191
4758,773,1191
4759,774,1191
4760,775,1191
4761,776,1191
4762,777,1191
4763,778,1191
4764,779,1191
4765,780,1191
4766,781,1191
4767,782,1191
4768,783,1191
4769,784,1191
4770,785,1191
4771,786,1191
4772,787,1191
4773,788,1280
4774,789,1280
4775,790,1280
4776,791,1191
4777,792,1191
4778,793,1358
4779,794,727
4780,795,727
4781,796,1191
4782,797,1191
4783,798,1191
4784,799,1191
4785,800,1191
4786,801,1191
4787,802,1431
4788,803,1431
4789,804,1191
4790,805,1191
4791,806,1191
4792,807,1191
4793,808,1191
4794,809,1191
4795,810,1191
4796,811,1191
4797,812,1191
4798,813,1191
4799,814,1191
4800,815,1191
4801,816,1191
4802,817,1191
4803,818,1191
4804,819,1191
4805,820,1191
4806,821,1191
4807,822,1191
4808,823,1191
4809,824,1191
4810,825,1191
4811,826,1191
4812,827,1191
4813,828,1191
4814,829,1191
4815,830,1191
4816,831,1191
4817,832,1191
4818,833,1191
4819,834,1191
4820,835,1191
4821,836,1191
4822,837,1191
4823,838,1191
4824,839,1191
4825,840,1191
4826,841,1191
4827,842,1191
4828,843,1191
4829,844,1191
4830,845,1191
4831,846,1191
4832,847,1191
4833,848,1191
4834,849,1191
4835,850,1191
4836,851,1191
