ID,SpellID,OrderIndex,ChrSpecializationID
9660,157389,0,251
9661,157409,1,251
9662,157376,2,251
9663,157367,3,251
10126,157342,0,252
10127,157441,1,252
10128,157412,2,252
10129,157437,3,252
10235,157292,0,104
10236,157284,1,104
10237,157286,2,104
10238,157283,3,104
10304,157452,0,72
10305,157454,1,72
10306,157473,2,72
10307,176051,3,72
10368,157482,0,70
10369,157493,1,70
10370,157496,2,70
10371,174718,3,70
10372,157197,0,256
10373,157193,1,256
10374,157145,2,256
10375,157129,3,256
10380,176051,0,71
10381,157452,1,71
10382,157461,2,71
10383,174737,3,71
10384,157269,0,103
10385,157274,1,103
10386,157280,2,103
10387,157276,3,103
10388,157229,0,102
10389,157227,1,102
10390,157232,2,102
10395,157305,0,105
10396,157300,1,105
10397,157312,2,105
10398,157301,3,105
10399,157482,0,66
10400,157485,1,66
10401,157488,2,66
10402,157486,3,66
10403,157453,0,65
10404,157478,1,65
10405,157455,2,65
10406,157482,3,65
10407,157129,0,258
10408,157223,1,258
10409,157217,2,258
10410,157218,3,258
10411,157338,0,250
10412,157337,1,250
10413,157343,2,250
10414,157336,3,250
10416,157193,0,257
10417,157145,1,257
10418,157206,2,257
10419,157207,3,257
10431,157449,0,73
10432,157497,1,73
10433,157479,2,73
10434,157494,3,73
