ID,GarrBuildingID,Type,HordeDoodadSet,AllianceDoodadSet,SpecializationID
44,91,0,1,1,0
45,90,0,1,1,0
60,51,0,1,1,0
61,142,0,2,1,0
62,143,0,1,1,0
63,52,0,1,1,0
64,140,0,1,1,0
65,141,0,1,1,0
72,76,0,1,1,0
73,126,0,1,1,0
74,128,0,1,0,0
75,60,0,1,1,0
76,93,0,1,1,0
77,94,0,1,0,0
78,95,0,1,1,0
79,96,0,1,1,0
80,117,0,1,1,0
81,118,0,1,1,0
82,119,0,1,1,0
83,120,0,1,1,0
84,121,0,1,1,0
85,122,0,1,1,0
86,123,0,1,1,0
87,124,0,1,1,0
88,125,0,1,1,0
89,127,0,1,1,0
90,129,0,1,1,0
91,130,0,1,1,0
92,131,0,1,1,0
93,132,0,1,0,0
94,64,0,1,1,0
95,134,0,1,1,0
96,135,0,1,1,0
97,38,0,0,1,0
98,38,0,0,2,0
99,39,0,0,2,0
100,39,0,0,3,0
101,39,0,0,1,0
102,39,0,0,4,0
103,37,0,0,1,0
104,37,0,0,2,0
105,159,0,0,1,0
106,160,0,0,1,0
107,161,0,0,1,0
108,145,0,0,1,0
110,10,0,0,1,0
111,136,0,0,1,0
112,137,0,0,1,0
113,29,0,0,1,0
114,10,0,0,3,0
115,36,0,0,1,0
116,26,0,0,2,0
