ID,PowerID,PowerRank,ItemBonusListID,PlayerConditionID,ArtifactID
1,0,1,0,9980,1
2,0,2,0,9992,1
12,0,1,716,4383,15
13,0,1,717,4383,12
14,0,1,718,4383,16
15,0,1,719,4383,3
16,0,1,721,4383,60
17,0,1,722,4383,59
18,0,1,723,4383,58
19,0,1,724,4383,57
20,0,1,725,4383,13
21,0,1,726,4383,56
22,0,1,727,4383,55
23,0,1,728,4383,34
24,0,1,729,4383,4
25,0,1,730,4383,54
26,0,1,731,4383,53
27,0,1,732,4383,52
28,0,1,733,4383,51
29,0,1,734,4383,50
30,0,1,735,4383,48
31,0,1,736,4383,49
32,0,1,737,4383,2
33,0,1,738,4383,46
34,0,1,739,4383,45
35,0,1,740,4383,47
36,0,1,741,4383,43
37,0,1,742,4383,44
38,0,1,743,4383,17
39,0,1,744,4383,40
40,0,1,745,4383,41
41,0,1,746,4383,42
42,0,1,747,4383,39
43,0,1,748,4383,37
44,0,1,749,4383,38
45,0,1,750,4383,36
46,0,1,751,4383,35
47,0,1,752,4383,11
