ID,JournalEncounterID,DifficultyID,CollectableSourceInfoID
2507,92,1,19612
2508,436,0,19613
2509,437,0,19614
2510,99,1,19615
2511,465,0,19616
2512,464,0,19617
2513,91,1,19618
2514,464,0,19619
2515,464,0,19620
2516,89,1,19621
2517,436,0,19622
2518,98,1,19623
2519,99,1,19624
2520,100,1,19625
2521,465,0,19626
2522,91,1,19627
2523,90,1,19628
2524,93,1,19629
2525,93,1,19630
2526,89,1,19631
2527,92,1,19632
2528,93,1,19633
2529,93,1,19634
2530,90,1,19635
2531,90,1,19636
2532,91,1,19637
2533,93,1,19638
2534,97,1,19639
2535,474,0,19640
2536,90,1,19641
2537,89,1,19642
2538,97,1,19643
2539,465,0,19644
2540,479,0,19645
2541,100,1,19646
2542,96,1,19647
2543,100,1,19648
2544,97,1,19649
2545,98,1,19650
2546,96,1,19651
2547,96,1,19652
2548,99,1,19653
2549,477,0,19654
2550,478,0,19655
2551,478,0,19656
2552,479,0,19657
2553,475,0,19658
2554,481,0,19659
2555,475,0,19660
2556,479,0,19661
2557,476,0,19662
2558,476,0,19663
2559,481,0,19664
2560,480,0,19665
2561,480,0,19666
2562,480,0,19667
2563,100,1,19668
2564,99,1,19669
2565,896,0,19670
2566,899,0,19671
2567,899,0,19672
2568,899,0,19673
2569,899,0,19674
2570,896,0,19675
2571,895,0,19676
2572,895,0,19677
2573,901,0,19678
2574,901,0,19679
2575,900,0,19680
2576,900,0,19681
2577,447,0,19682
2578,447,0,19683
2579,437,0,19684
2580,447,0,19685
2581,426,0,19686
2582,426,0,19687
2583,368,0,19688
2584,368,0,19689
2585,444,0,19690
2586,444,0,19691
2587,444,0,19692
2588,484,0,19693
2589,467,0,19694
2590,467,0,19695
2591,467,0,19696
2592,467,0,19697
2593,468,0,19698
2594,468,0,19699
2595,468,0,19700
2596,468,0,19701
2597,468,0,19702
2598,468,0,19703
2599,469,0,19704
2600,469,0,19705
2601,469,0,19706
2602,470,0,19707
2603,470,0,19708
2604,471,0,19709
2605,473,0,19710
2606,472,0,19711
2607,472,0,19712
2608,472,0,19713
2609,473,0,19714
2610,471,0,19715
2611,419,0,19716
2612,421,0,19717
2613,421,0,19718
2614,418,0,19719
2615,418,0,19720
2616,420,0,19721
2617,420,0,19722
2618,420,0,19723
2619,422,0,19724
2620,422,0,19725
2621,483,0,19726
2622,483,0,19727
2623,487,0,19728
2624,487,0,19729
2625,487,0,19730
2626,487,0,19731
2627,489,0,19732
2628,489,0,19733
2629,489,0,19734
2630,489,0,19735
2631,422,0,19736
2632,484,0,19737
2633,484,0,19738
2634,475,5,19739
2635,475,6,19739
2636,475,15,19739
2637,479,5,19740
2638,479,6,19740
2639,479,15,19740
2640,474,5,19741
2641,474,6,19741
2642,474,15,19741
2643,1146,1,19742
2644,1146,2,19742
2645,1146,3,19742
2646,1146,4,19742
2647,1146,1,19743
2648,1146,2,19743
2649,1146,3,19743
2650,1146,4,19743
2651,1141,5,19744
2652,1141,6,19744
2653,1141,1,19745
2654,1141,2,19745
2655,1141,3,19745
2656,1141,4,19745
2657,1141,7,19746
2658,1141,5,19747
2659,1141,6,19747
2660,1141,7,19748
2661,1146,5,19749
2662,1146,6,19749
2663,1146,7,19750
2664,1146,5,19751
2665,1146,6,19751
2666,433,1,19752
2667,433,2,19752
2668,433,3,19752
2669,433,4,19752
2670,433,5,19752
2671,433,6,19752
2672,433,1,19753
2673,433,2,19753
2674,433,3,19753
2675,433,4,19753
2676,1143,1,19754
2677,1143,2,19754
2678,1143,3,19754
2679,1143,4,19754
2680,1143,1,19755
2681,1143,2,19755
2682,1143,3,19755
2683,1143,4,19755
2684,1142,1,19756
2685,1142,2,19756
2686,1142,3,19756
2687,1142,4,19756
2688,1142,1,19757
2689,1142,2,19757
2690,1142,3,19757
2691,1142,4,19757
2692,1142,1,19758
2693,1142,2,19758
2694,1142,3,19758
2695,1142,4,19758
2696,459,7,19759
2697,459,5,19760
2698,459,6,19760
2699,458,5,19761
2700,458,6,19761
2701,458,7,19762
2702,458,7,19763
2703,458,1,19764
2704,458,2,19764
2705,458,3,19764
2706,458,4,19764
2707,458,5,19765
2708,458,6,19765
2709,458,7,19766
2710,463,5,19767
2711,463,6,19767
2712,463,1,19768
2713,463,2,19768
2714,463,3,19768
2715,463,4,19768
2716,463,5,19768
2717,463,6,19768
2718,463,1,19769
2719,463,2,19769
2720,463,3,19769
2721,463,4,19769
2722,463,1,19770
2723,463,2,19770
2724,463,3,19770
2725,463,4,19770
2726,463,1,19771
2727,463,2,19771
2728,463,3,19771
2729,463,4,19771
2730,457,5,19772
2731,457,6,19772
2732,457,5,19773
2733,457,6,19773
2734,457,5,19774
2735,457,6,19774
2736,457,5,19775
2737,457,6,19775
2738,457,5,19776
2739,457,6,19776
2740,457,7,19777
2741,463,7,19778
2742,489,7,19779
2743,436,1,19780
2744,436,2,19780
2745,436,3,19780
2746,436,4,19780
2747,471,0,19781
2748,471,0,19782
2749,371,0,19783
2750,369,0,19784
2751,369,0,19785
2752,369,0,19786
2753,371,0,19787
2754,371,0,19788
2755,371,0,19789
2756,370,0,19790
2757,370,0,19791
2758,372,0,19792
2759,372,0,19793
2760,372,0,19794
2761,372,0,19795
2762,372,0,19796
2763,372,0,19797
2764,372,0,19798
2765,372,0,19799
2766,370,0,19800
2767,387,0,19801
2768,372,0,19802
2769,372,0,19803
2770,372,0,19804
2771,372,0,19805
2772,372,0,19806
2773,372,0,19807
2774,372,0,19808
2775,372,0,19809
2776,372,0,19810
2777,372,0,19811
2778,380,0,19812
2779,381,0,19813
2780,381,0,19814
2781,386,0,19815
2782,373,0,19816
2783,373,0,19817
2784,373,0,19818
2785,373,0,19819
2786,374,0,19820
2787,374,0,19821
2788,374,0,19822
2789,374,0,19823
2790,375,0,19824
2791,375,0,19825
2792,375,0,19826
2793,377,0,19827
2794,377,0,19828
2795,377,0,19829
2796,377,0,19830
2797,384,0,19831
2798,384,0,19832
2799,384,0,19833
2800,384,0,19834
2801,378,0,19835
2802,378,0,19836
2803,378,0,19837
2804,378,0,19838
2805,379,0,19839
2806,379,0,19840
2807,376,0,19841
2808,376,0,19842
2809,376,0,19843
2810,385,0,19844
2811,385,0,19845
2812,380,0,19846
2813,385,0,19847
2814,387,0,19848
2815,385,0,19849
2816,385,0,19850
2817,385,0,19851
2818,387,0,19852
2819,385,0,19853
2820,387,0,19854
2821,387,0,19855
2822,378,0,19856
2823,386,0,19857
2824,459,0,19858
2825,457,0,19859
2826,459,0,19860
2827,459,0,19861
2828,458,0,19862
2829,459,0,19863
2830,387,2,19864
2831,387,1,19864
2832,387,2,19865
2833,387,1,19865
2834,387,1,19866
2835,387,2,19866
2836,378,2,19867
2837,378,1,19867
2838,390,2,19868
2839,390,1,19868
2840,389,0,19869
2841,389,0,19870
2842,389,0,19871
2843,383,0,19872
2844,383,0,19873
2845,396,0,19874
2846,396,0,19875
2847,396,0,19876
2848,388,0,19877
2849,388,0,19878
2850,388,0,19879
2851,388,0,19880
2852,388,0,19881
2853,390,0,19882
2854,391,0,19883
2855,395,0,19884
2856,395,0,19885
2857,395,0,19886
2858,394,0,19887
2859,394,0,19888
2860,391,0,19889
2861,477,0,19890
2862,393,0,19891
2863,393,0,19892
2864,389,0,19893
2865,389,0,19894
2866,392,0,19895
2867,392,0,19896
2868,456,0,19897
2869,456,0,19898
2870,456,0,19899
2871,449,0,19900
2872,456,0,19901
2873,449,0,19902
2874,449,0,19903
2875,449,0,19904
2876,449,0,19905
2877,456,0,19906
2878,456,0,19907
2879,449,0,19908
2880,455,0,19909
2881,455,0,19910
2882,455,0,19911
2883,454,0,19912
2884,443,0,19913
2885,446,0,19914
2886,446,0,19915
2887,443,0,19916
2888,443,0,19917
2889,448,0,19918
2890,448,0,19919
2891,448,0,19920
2892,445,0,19921
2893,445,0,19922
2894,445,0,19923
2895,445,0,19924
2896,450,0,19925
2897,450,0,19926
2898,450,0,19927
2899,450,0,19928
2900,456,0,19929
2901,453,0,19930
2902,453,0,19931
2903,453,0,19932
2904,453,0,19933
2905,453,0,19934
2906,452,0,19935
2907,452,0,19936
2908,452,0,19937
2909,452,0,19938
2910,452,0,19939
2911,451,0,19940
2912,451,0,19941
2913,451,0,19942
2914,451,0,19943
2915,451,0,19944
2916,1522,0,19945
2917,1520,0,19946
2918,1524,0,19947
2919,1526,0,19948
2920,1519,0,19949
2921,1523,0,19950
2922,1523,0,19951
2923,1519,0,19952
2924,1524,0,19953
2925,1522,0,19954
2926,1526,0,19955
2927,1520,0,19956
2928,1523,0,19957
2929,1521,0,19958
2930,1522,0,19959
2931,1520,0,19960
2932,1526,0,19961
2933,1525,0,19962
2934,1530,0,19963
2935,1526,0,19964
2936,1522,0,19965
2937,1520,0,19966
2938,1525,0,19967
2939,1523,0,19968
2940,1521,0,19969
2941,1519,0,19970
2942,1523,0,19971
2943,1535,0,19972
2944,1526,0,19973
2945,1522,0,19974
2946,1520,0,19975
2947,1524,0,19976
2948,1519,0,19977
2949,1521,0,19978
2950,1526,0,19979
2951,1522,0,19980
2952,1520,0,19981
2953,1524,0,19982
2954,1526,0,19983
2955,1522,0,19984
2956,1520,0,19985
