ID,VendorID,DeviceID,DriverVersionHi,DriverVersionLow,OsVersion,OsBits,Flags
1,4318,0,589842,852750,0,64,2
2,4318,0,393230,852750,8,0,2
3,4318,0,524303,730895,0,0,2
4,4318,0,524304,730895,0,0,2
5,4318,0,524305,796431,0,0,2
6,4098,0,393230,662284,8,0,2
7,4098,0,524302,665359,0,0,2
8,4098,0,524303,665359,0,0,2
9,4098,0,524305,656488,0,0,2
10,32902,0,393230,660753,8,0,2
11,32902,0,524303,657981,0,0,2
12,32902,0,589841,658421,0,0,2
13,32902,0,589842,658524,0,0,2
14,4318,0,589842,852514,0,0,1
15,4318,0,589842,853058,0,0,1
16,4318,0,589842,853074,0,0,1
17,32902,0,524302,657290,0,0,1
18,4318,0,524303,657446,0,0,1
