ID,Color,Field_11_0_0_54210_001,Field_11_0_0_54210_002
572,976162,32,0.75
664,8978617,32,0.75
665,16758016,32,0.75
712,13410881,64,0.4
713,5071278,64,1
714,12276820,64,1
715,7995647,64,0.7
716,13410881,64,0.4
717,13410881,64,0.4
718,11357951,64,0.4
721,0,32,0.75
725,13410881,64,0.4
726,13410881,64,0.4
727,13410881,64,0.4
728,13410881,64,0.4
729,13410881,64,0.4
730,13410881,64,0.4
731,13410881,64,0.4
732,13410881,64,0.4
733,13410881,64,0.4
734,13410881,64,0.4
735,13410881,64,0.4
736,13410881,64,0.4
737,13410881,64,0.4
740,13410881,64,0.4
741,13410881,64,0.4
742,13410881,64,0.4
743,13410881,64,0.4
745,13410881,64,0.4
747,13410881,64,0.4
748,11357951,64,0.4
750,16768115,32,0.75
751,13410881,64,0.4
752,13410881,64,0.4
753,13410881,64,0.4
754,11357951,64,0.4
755,0,64,0.4
757,0,64,0.4
758,0,64,0.4
760,13410881,64,0.4
761,13410881,64,0.4
762,13410881,64,0.4
763,13410881,64,0.4
764,0,32,0.75
765,13410881,64,0.4
766,13410881,64,0.4
767,11357951,64,0.4
771,11357951,64,0.4
772,13410881,64,0.4
774,11357951,64,0.4
775,13410881,64,0.4
776,13410881,64,0.4
778,13410881,64,0.4
780,0,32,0.75
782,0,32,0.75
783,13410881,64,0.4
784,0,32,0.75
785,0,32,0.75
786,0,32,0.75
787,0,32,0.75
788,0,32,0.75
789,0,32,0.75
790,0,32,0.75
799,0,32,0.75
807,0,32,0.75
812,0,32,0.75
824,0,32,0.75
825,0,32,0.75
826,0,32,0.75
827,0,32,0.75
828,0,32,0.75
829,0,32,0.75
830,0,32,0.75
839,0,32,0.75
840,0,32,0.75
841,0,32,0.75
842,0,32,0.75
843,0,32,0.75
844,0,32,0.75
845,0,32,0.75
882,0,32,0.75
884,0,32,0.75
885,0,32,0.75
886,0,32,0.75
887,0,32,0.75
888,0,32,0.75
913,0,32,0.75
914,0,32,0.75
915,0,32,0.75
916,0,32,0.75
917,0,32,0.75
918,0,32,0.75
919,0,32,0.75
936,0,0,0
937,0,64,0.1
938,0,0,0
943,0,32,0.75
946,0,32,0.75
947,0,32,0.75
954,0,0,0
956,0,64,0.1
975,0,32,0.75
982,0,32,0.75
1000,0,32,0.75
1003,0,32,0.75
1016,0,32,0.75
1020,0,32,0.75
1022,0,32,0.75
1030,0,32,0.75
1031,0,32,0.75
1032,0,32,0.75
1033,0,32,0.75
1034,0,32,0.75
1035,0,32,0.75
1036,0,32,0.75
1037,0,32,0.75
1038,0,32,0.75
1039,0,32,0.75
1040,0,32,0.75
1041,0,32,0.75
1042,0,32,0.75
1043,0,32,0.75
1044,0,32,0.75
1045,0,32,0.75
1046,0,32,0.75
1047,0,32,0.75
1048,0,32,0.75
1049,0,32,0.75
1050,0,32,0.75
1051,0,32,0.75
1052,0,32,0.75
1053,0,32,0.75
1054,0,32,0.75
1055,0,32,0.75
1056,0,32,0.75
1057,0,32,0.75
1058,0,32,0.75
1059,0,32,0.75
1060,0,32,0.75
1061,0,32,0.75
1062,0,32,0.75
1063,0,32,0.75
1064,0,32,0.75
1065,0,32,0.75
1066,0,32,0.75
1067,0,32,0.75
1068,0,32,0.75
1069,0,32,0.75
1070,0,32,0.75
1071,0,32,0.75
1072,0,32,0.75
1073,0,32,0.75
1077,0,32,0.75
1078,0,32,0.75
1079,0,32,0.75
1081,0,32,0.75
1093,0,32,0.75
1096,0,32,0.75
1097,0,32,0.75
1098,0,32,0.75
1101,0,32,0.75
1122,0,32,0.75
1123,0,32,0.75
1125,0,32,0.75
1129,0,32,0.75
1130,0,32,0.75
1131,0,32,0.75
1132,0,32,0.75
1134,0,32,0.75
1135,0,32,0.75
1142,0,32,0.75
1150,0,32,0.75
1153,0,32,0.75
1154,0,32,0.75
1155,0,32,0.75
1156,0,32,0.75
1157,0,32,0.75
1158,0,32,0.75
1159,0,32,0.75
1160,0,32,0.75
1161,0,32,0.75
1162,0,32,0.75
1163,0,32,0.75
1164,0,32,0.75
1165,0,32,0.75
1166,0,32,0.75
1167,0,32,0.75
1168,0,32,0.75
1169,0,32,0.75
1170,0,32,0.75
1171,0,32,0.75
1176,0,32,0.75
1177,0,32,0.75
1178,0,32,0.75
1188,0,32,0.75
1189,0,32,0.75
1190,0,32,0.75
1191,0,32,0.75
1192,0,32,0.75
1193,0,32,0.75
1194,0,32,0.75
1195,0,32,0.75
1196,0,32,0.75
1197,0,32,0.75
1198,0,32,0.75
1199,0,32,0.75
1200,0,32,0.75
1201,0,32,0.75
1202,0,32,0.75
1203,0,32,0.75
1204,0,32,0.75
1205,0,32,0.75
1216,0,32,0.75
1217,0,32,0.75
1218,0,32,0.75
1219,0,32,0.75
1220,0,32,0.75
1221,0,32,0.75
1222,0,32,0.75
1223,0,32,0.75
1224,0,32,0.75
1225,0,32,0.75
1226,0,32,0.75
1227,0,32,0.75
1228,0,32,0.75
1229,0,32,0.75
1230,0,32,0.75
1231,0,32,0.75
1232,0,32,0.75
1233,0,32,0.75
1234,0,32,0.75
1235,0,32,0.75
1236,0,32,0.75
1237,0,32,0.75
1238,0,32,0.75
1239,0,32,0.75
1240,0,32,0.75
1241,0,32,0.75
1243,0,32,0.75
1244,0,32,0.75
1245,0,32,0.75
1246,0,32,0.75
1247,0,32,0.75
1248,0,32,0.75
1249,0,32,0.75
1250,0,32,0.75
1251,0,32,0.75
1252,0,32,0.75
1253,0,32,0.75
1254,0,32,0.75
1255,0,32,0.75
1256,0,32,0.75
1257,0,32,0.75
1258,0,32,0.75
1259,0,32,0.75
1260,0,32,0.75
1261,0,32,0.75
1262,0,32,0.75
1263,0,32,0.75
1264,0,32,0.75
1265,0,32,0.75
1266,0,32,0.75
1267,0,32,0.75
1268,0,32,0.75
1269,0,32,0.75
1270,0,32,0.75
1271,0,32,0.75
1272,0,32,0.75
1273,0,32,0.75
1274,0,32,0.75
1299,0,32,0.75
1300,0,32,0.75
1301,0,32,0.75
1302,0,32,0.75
1303,0,32,0.75
1304,0,32,0.75
1305,0,32,0.75
1306,0,32,0.75
1307,0,32,0.75
1308,0,32,0.75
1309,0,32,0.75
1310,0,32,0.75
1311,0,32,0.75
1312,0,32,0.75
1313,0,32,0.75
1314,0,32,0.75
1315,0,32,0.75
1316,0,32,0.75
1317,0,32,0.75
1318,0,32,0.75
1319,0,32,0.75
1320,0,32,0.75
1321,0,32,0.75
1322,0,32,0.75
1323,0,32,0.75
1324,0,32,0.75
1325,0,32,0.75
1326,0,32,0.75
1327,0,32,0.75
1328,0,32,0.75
1334,0,32,0.75
1339,0,32,0.75
1340,0,32,0.75
1341,0,32,0.75
1342,0,32,0.75
1343,0,32,0.75
1344,0,32,0.75
1345,0,32,0.75
1346,0,32,0.75
1347,0,32,0.75
1348,0,32,0.75
1349,0,32,0.75
1352,0,32,0.75
1353,0,32,0.75
1354,0,32,0.75
1355,0,32,0.75
1356,0,32,0.75
1357,0,32,0.75
1358,0,32,0.75
1359,0,32,0.75
1360,0,32,0.75
1361,0,32,0.75
1362,0,32,0.75
1363,0,32,0.75
1364,0,32,0.75
1365,0,32,0.75
1366,0,32,0.75
1367,0,32,0.75
