ID,Name_lang,UiTextureAtlasMemberID,UiTextureKitID
3,Combat,3475,0
4,Generic,3475,0
5,Salvage,3567,0
6,Logistics,3580,0
7,Wildlife,3572,0
8,Trading,3575,0
9,Construction,3578,0
10,Provision,3568,0
11,Recruitment,3583,0
12,Training,3574,0
13,Patrol,3582,0
14,Research,3574,0
15,Defense,3577,0
16,Exploration,3476,0
17,Siege,3570,0
18,Alchemy,3571,0
19,Blacksmithing,3474,0
20,Enchanting,3566,0
21,Engineering,3581,0
22,Inscription,3579,0
23,Jewelcrafting,3576,0
24,Leatherworking,3584,0
25,Tailoring,3573,0
35,Treasure,3575,0
36,Pet Battle,3572,0
37,Ship-Combat,4613,174
38,Ship-Oil (Unused),4614,175
39,Ship-Training,4617,178
40,Ship-Treasure,4618,179
41,Ship-SiegeA,4615,176
42,Ship-SiegeH,4616,177
46,Scouting,3582,0
47,Ship-Bonus,4897,220
48,Ship-Legendary,4931,221
49,Ship-SiegeIHA,5016,224
50,Ship-SiegeIHH,5017,223
51,Zone Support - Alliance,5597,244
52,Invasion,3577,224
53,Artifact - Monk Mission,4929,221
54,Generic (7.0),3475,0
55,7.0 Tutorial,4929,221
57,Zone Support - Horde,5598,245
58,Artifact - Shaman Mission,4929,221
59,Artifact - Druid Mission,4929,221
60,Artifact - Mage Mission,4929,221
61,Artifact - Hunter Mission,4929,221
63,Artifact - Paladin Mission,4929,221
64,Artifact - Warlock Mission,4929,221
65,Artifact - Demon Hunter Mission,4929,221
66,Artifact - Rogue Mission,4929,221
67,Artifact - Priest Mission,4929,221
68,Artifact - Death Knight Mission,4929,221
69,Artifact - Warrior Mission,4929,221
70,7.0 Class Hall - Campaign Missions,6130,0
71,7.0 Class Hall - Generic Missions,6132,0
72,7.0 Class Hall - Treasure Missions,6128,0
73,7.0 Class Hall - Special Reward Missions,6131,0
74,7.0 Class Hall - Quest Missions,6130,0
75,7.0 Class Hall - Treasure Missions - Dungeon,6128,0
76,7.0 Class Hall - Treasure Missions - Raid,6128,0
79,7.2 Broken Shore - Generic Missions,6132,0
80,8.0 - Generic Missions,7747,0
81,8.0 - Stealth,7749,0
82,8.0 - Quick Strike,7748,0
83,8.0 - Long Campaign,8046,0
184,8.0 - Hub Unlock,7746,0
185,8.1 - Treasure Map,8778,0
186,8.2 - Holiday Mission,7746,0
187,8.2 - Deep Sea,9262,0
188,8.2 Azerite Essence - Treasure,8778,0
189,9.0 Encounter - Maldraxxus,6128,0
190,9.0 Encounter - Ardenweald,4929,0
191,9.0 Encounter - Revendreth,7748,0
192,9.0 Encounter - Bastion,6130,0
193,9.0 Encounter - Tazavesh,6128,0
194,9.0 Encounter - Maw Assault,6128,0
195,9.0 Encounter - Treasure,6128,0
196,9.2 Encounter - Zereth Mortis,6128,0
